pair_id,from_stage_id,to_stage_id,from_height_x1e12,to_height_x1e12,height_ratio_x1e12,graham_ratio_abs_error_x1e12,within_graham_tolerance_flag
0,0,1,4329004000,3649635000,1186147107861,146945791195,0
1,0,2,4329004000,2645503000,1636363292727,597161976061,0
2,0,3,4329004000,2615519000,1655122367683,615921051017,0
3,0,4,4329004000,2610966000,1658008568476,618807251810,0
4,1,2,3649635000,2645503000,1379561845138,340360528472,0
5,1,3,3649635000,2615519000,1395376978718,356175662052,0
6,1,4,3649635000,2610966000,1397810235751,358608919085,0
7,2,3,2645503000,2615519000,1011463881547,27737435119,0
8,2,4,2645503000,2610966000,1013227671291,25973645375,0
9,3,4,2615519000,2610966000,1001743799038,37457517628,0
