face_source_id,truncated_face_id,x_x1e12,y_x1e12,z_x1e12
0,12,-539344662917,0,-1412022659167
1,13,539344662917,0,-1412022659167
2,14,872677996250,872677996250,872677996250
3,15,0,1412022659167,539344662917
4,16,-872677996250,872677996250,-872677996250
5,17,539344662917,0,1412022659167
6,18,872677996250,-872677996250,872677996250
7,19,872677996250,-872677996250,-872677996250
8,20,0,1412022659167,-539344662917
9,21,1412022659167,-539344662917,0
10,22,-1412022659167,539344662917,0
11,23,-872677996250,-872677996250,-872677996250
12,24,-872677996250,872677996250,872677996250
13,25,-1412022659167,-539344662917,0
14,26,872677996250,872677996250,-872677996250
15,27,1412022659167,539344662917,0
16,28,0,-1412022659167,-539344662917
17,29,0,-1412022659167,539344662917
18,30,-539344662917,0,1412022659167
19,31,-872677996250,-872677996250,872677996250
