candidate_move_id,block_symbol_0_id,block_symbol_1_id,block_symbol_2_id,block_symbol_3_id,candidate_word_count,same_side_edge_count,positive_side_edge_count,negative_side_edge_count,cross_side_rejected_word_count,clean_move_flag,selected_move_flag,new_cut_flux_x1e12,cut_flux_reduction_x1e12,new_weighted_conductance_x1e12,conductance_reduction_x1e12,preserves_boundary_merge_flag
0,1,2,5,2,4,4,4,0,0,1,0,1027221366,703938,4464285714,0,1
1,1,2,5,5,7,7,7,0,0,1,0,1026694045,1231259,4464285714,0,1
2,1,4,5,1,7,7,7,0,0,1,0,1026694045,1231259,4464285714,0,1
3,1,4,5,5,7,7,0,7,0,1,0,1026694045,1231259,4418262150,46023564,1
4,2,1,4,5,20,20,10,10,1,0,0,1024415230,3510074,4398826979,65458735,1
5,4,5,1,1,1,1,1,0,0,1,0,1027749229,176075,4464285714,0,1
6,4,5,1,2,6,6,6,0,0,1,0,1026869759,1055545,4464285714,0,1
7,4,5,5,1,1,1,0,1,0,1,0,1027749229,176075,4457652303,6633411,1
8,4,5,5,2,6,6,0,6,0,1,0,1026869759,1055545,4424778761,39506953,1
9,5,1,1,5,2,2,1,1,1,0,0,1027573215,352089,4457652303,6633411,1
10,5,1,2,5,11,11,11,0,0,1,0,1025991792,1933512,4464285714,0,1
11,5,2,5,2,8,8,3,5,0,1,0,1026518392,1406912,4431314623,32971091,1
12,5,2,5,5,8,8,0,8,0,1,0,1026518392,1406912,4411764706,52521008,1
13,5,5,1,1,1,1,0,1,1,0,0,1027749229,176075,4457652303,6633411,1
14,5,5,2,5,12,12,0,12,0,1,1,1025816379,2108925,4385964912,78320802,1
