splice_witness_id,normalized_tail_template_id,parent_rank104_template_id,tail_entry_carrier_id,splice_path_count,rank104_original_path_count,rank104_template_match_flag,tail_carrier_0_id,tail_carrier_1_id,tail_carrier_2_id,tail_carrier_3_id,tail_carrier_4_id,tail_carrier_5_id,tail_cell_edge_0_id,tail_cell_edge_1_id,tail_cell_edge_2_id,tail_cell_edge_3_id,tail_cell_edge_4_id,tail_selected_atom_0_id,tail_selected_atom_1_id,tail_selected_atom_2_id,tail_selected_atom_3_id,tail_selected_atom_4_id
0,0,4,11,12,4,1,11,10,3,8,13,12,38,12,11,33,43,19,7,4,12,19
0,1,5,11,12,4,1,11,10,11,8,13,12,38,38,31,33,43,19,7,4,12,19
1,0,-1,13,8,0,0,13,10,3,8,13,12,40,12,11,33,43,19,7,4,12,19
1,1,-1,13,8,0,0,13,10,11,8,13,12,40,38,31,33,43,19,7,4,12,19
1,2,-1,13,8,0,0,13,11,3,8,13,12,42,13,11,33,43,19,7,4,12,19
2,0,0,9,4,4,1,9,10,3,8,13,12,34,12,11,33,43,19,7,4,12,19
2,1,1,9,4,4,1,9,10,11,8,13,12,34,38,31,33,43,19,7,4,12,19
2,2,2,9,4,4,1,9,11,3,8,13,12,35,13,11,33,43,19,7,4,12,19
2,3,3,10,4,4,1,10,11,3,8,13,12,38,13,11,33,43,19,7,4,12,19
2,4,4,11,4,4,1,11,10,3,8,13,12,38,12,11,33,43,19,7,4,12,19
2,5,5,11,4,4,1,11,10,11,8,13,12,38,38,31,33,43,19,7,4,12,19
