observable_id,observable_code,value_x1e12,aux_id
0,0,11000000000000,-1
1,1,185000000000000,-1
2,2,2000000000000,-1
3,3,30000000000000,-1
4,4,9000000000000,-1
5,5,0,-1
6,6,495000000000000,-1
7,7,49000000000000,-1
8,8,0,-1
9,9,0,-1
10,10,540000000000000,-1
11,11,57000000000000,-1
12,12,4000000000000,-1
13,13,3000000000000,-1
14,14,1000000000000,-1
15,15,2000000000000,-1
16,16,31000000000000,-1
17,17,185000000000000,-1
18,18,2000000000000,-1
19,19,12000000000000,-1
20,20,1000000000000,-1
21,21,0,-1
22,22,3000000000000,-1
23,23,0,-1
