partial_candidate_id,word_length,pre_tail_symbol_count,trace_node_count,metric_gromov_delta_twice,trace_signature_total_variation,first_return_closed_path_count,closure_excess_abs_from_24,normalized_tail_template_count,template_lift_count_min,template_lift_count_max,four_lift_template_count,any_four_lift_flag,all_four_lift_flag,exact_24_flag,exact_24_any_four_lift_flag,all_four_ge24_flag,best_oversplitter_flag,tail_entry_9_path_count,tail_entry_10_path_count,tail_entry_11_path_count,tail_entry_13_path_count,has_chord_31_28_flag,has_chord_50_34_flag,rank104_prefix_27_31_50_flag,shared_rewrite_tail_suffix_flag
0,12,7,7,2,137,12,12,3,4,4,3,1,1,0,0,0,0,0,0,0,12,0,1,1,0
1,11,6,11,2,169,16,8,3,4,8,2,1,0,0,0,0,0,0,8,8,0,1,0,0,0
2,12,7,11,2,169,92,68,9,4,12,1,1,0,0,0,0,0,36,4,16,36,1,0,0,0
3,13,8,13,2,169,16,8,3,4,8,2,1,0,0,0,0,0,0,8,8,0,1,0,0,0
4,10,5,10,2,175,8,16,2,4,4,2,1,1,0,0,0,0,0,0,8,0,1,0,0,0
5,13,8,10,2,175,8,16,2,4,4,2,1,1,0,0,0,0,0,0,8,0,1,0,0,0
6,13,8,11,2,175,8,16,2,4,4,2,1,1,0,0,0,0,0,0,8,0,1,0,0,0
7,13,8,11,2,179,8,16,2,4,4,2,1,1,0,0,0,0,0,0,8,0,1,0,0,0
8,12,7,12,2,195,12,12,3,4,4,3,1,1,0,0,0,0,0,4,8,0,0,1,1,0
9,13,8,12,2,195,60,36,9,4,8,3,1,0,0,0,0,0,24,4,8,24,0,1,1,0
10,12,7,11,2,197,24,0,2,12,12,0,0,0,1,0,0,0,0,0,24,0,0,1,1,0
11,13,8,13,2,197,84,60,7,12,12,0,0,0,0,0,0,0,36,12,0,36,0,1,1,0
12,13,8,10,2,199,24,0,3,8,8,0,0,0,1,0,0,0,0,0,0,24,0,1,1,0
13,11,6,12,2,201,4,20,2,2,2,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0
14,11,6,12,2,215,16,8,3,4,8,2,1,0,0,0,0,0,0,8,8,0,1,0,0,0
15,12,7,12,2,215,92,68,9,4,12,1,1,0,0,0,0,0,36,4,16,36,1,0,0,0
16,13,8,14,2,215,16,8,3,4,8,2,1,0,0,0,0,0,0,8,8,0,1,0,0,0
17,12,7,13,2,217,8,16,2,4,4,2,1,1,0,0,0,0,0,0,8,0,1,0,0,0
18,13,8,12,2,217,28,4,3,8,12,0,0,0,0,0,0,0,0,12,16,0,1,0,0,0
19,13,8,12,2,217,28,4,7,4,4,7,1,1,0,0,1,1,12,4,0,12,1,0,0,0
20,11,6,12,2,219,28,4,7,4,4,7,1,1,0,0,1,1,12,4,0,12,1,0,0,0
21,13,8,13,2,219,28,4,3,8,12,0,0,0,0,0,0,0,0,12,16,0,1,0,0,0
