observable_id,observable_code,value_x1e12,aux_id
0,0,794000000000000,-1
1,1,2513000000000000,-1
2,2,5849000000000000,-1
3,3,11698000000000000,-1
4,4,1668000000000000,-1
5,5,845000000000000,-1
6,6,308000000000000,-1
7,7,12000000000000,-1
8,8,5004000000000000,-1
9,9,845000000000000,-1
10,10,704000000000000,-1
11,11,6000000000000,-1
12,12,6000000000000,-1
13,13,1025816000,-1
14,14,6000000000000,-1
15,15,6000000000000,-1
16,16,1025816000,-1
17,17,5000000000000,-1
18,18,5000000000000,-1
19,19,854847000,-1
20,20,4392387000,-1
21,21,883227902000,-1
22,22,116772098000,-1
23,23,60341591000,-1
24,24,196518833000,-1
25,25,205642834000,-1
26,26,276856087000,-1
27,27,133061873000,-1
28,28,97993795000,-1
29,29,2137117000,-1
30,30,769362000,-1
31,31,1624209000,-1
32,32,7608138000,-1
33,33,446000000000000,-1
