poincare_point_id,automaton_state_id,promoted_recurrent_class_id,spectral_side_code,poincare_x_x1e12,poincare_y_x1e12,poincare_radius_x1e12,fiedler_value_x1e12,third_mode_value_x1e12,left_boundary_flag,right_boundary_flag,gate_word_flag,promoted_window_repair_flag,promoted_only_flag
0,0,0,-1,-346434362000,-54573823000,350706529000,-74603435000,-11752283000,0,0,0,0,0
1,1,0,-1,-374003089000,-58829319000,378601637000,-80540265000,-12668689000,0,0,0,0,0
2,2,0,-1,-316031163000,-49681433000,319912395000,-68056212000,-10698724000,0,0,0,0,0
3,3,0,-1,-346235497000,-54447403000,350490426000,-74560610000,-11725059000,0,0,0,0,0
4,4,0,-1,-346259201000,-54463358000,350516322000,-74565715000,-11728495000,0,0,0,0,0
5,5,0,-1,-374058542000,-58861091000,378661354000,-80552206000,-12675531000,0,0,0,0,0
6,6,0,-1,-315242491000,-49174879000,319054849000,-67886374000,-10589639000,0,0,0,0,0
7,7,0,-1,-468290887000,-73400862000,474008482000,-100844814000,-15806620000,0,0,0,0,0
8,8,0,-1,-344942305000,-53624129000,349085578000,-74282126000,-11547770000,0,0,0,0,0
9,9,0,-1,-315557430000,-49376595000,319397151000,-67954195000,-10633078000,0,0,0,0,0
10,10,0,-1,-342805938000,-52254632000,346765710000,-73822066000,-11252853000,0,0,0,0,0
11,11,0,-1,-344287283000,-53199560000,348373257000,-74141069000,-11456340000,0,0,0,0,0
12,12,0,-1,-313992488000,-48379999000,317697823000,-67617190000,-10418465000,0,0,0,0,0
13,13,0,-1,-389736287000,-56478099000,393807248000,-83928354000,-12162362000,0,0,0,0,0
14,14,0,-1,-343928075000,-52956644000,347981217000,-74063715000,-11404029000,0,0,0,0,0
15,15,0,-1,-314993352000,-48998709000,318781564000,-67832723000,-10551702000,0,0,0,0,0
16,16,0,-1,-294172027000,-35894607000,296353850000,-63348923000,-7729779000,0,0,0,0,0
17,17,0,-1,-216531700000,-20732842000,217522017000,-46629349000,-4464745000,0,0,0,0,0
18,18,0,-1,-307902438000,-44497571000,311101181000,-66305719000,-9582397000,0,0,0,0,0
19,19,0,-1,-840249669000,-128376375000,850000000000,-180944844000,-27645406000,0,0,0,0,0
20,20,0,-1,-243225026000,-37464227000,246093441000,-52377664000,-8067791000,0,0,0,0,0
21,21,0,-1,-313224558000,-47866706000,316860924000,-67451819000,-10307929000,0,0,0,0,0
22,22,0,-1,-314993352000,-48998709000,318781564000,-67832723000,-10551702000,0,0,0,0,0
23,23,0,-1,-344863577000,-53548540000,348996179000,-74265172000,-11531492000,0,0,0,0,0
24,24,0,-1,-368398939000,-55276351000,372522822000,-79333430000,-11903570000,0,0,0,0,0
25,25,0,-1,-326760251000,-42265756000,329482406000,-70366684000,-9101784000,0,0,0,1,0
26,26,0,-1,-341134116000,-51221383000,344958136000,-73462046000,-11030347000,0,0,0,0,0
27,27,0,-1,-422548877000,-65726365000,427630107000,-90994431000,-14153944000,0,0,0,0,0
28,28,0,-1,-282365462000,-44245027000,285810910000,-60806420000,-9528013000,0,0,0,0,0
29,29,0,-1,-345118570000,-53759089000,349280499000,-74320084000,-11576833000,0,0,0,0,0
30,30,0,-1,-315983709000,-49650148000,319860660000,-68045993000,-10691987000,0,0,0,0,0
31,31,0,-1,-445564648000,-69403611000,450937597000,-95950797000,-14945826000,0,0,0,0,0
32,32,0,-1,-399263807000,-62536009000,404131588000,-85980072000,-13466912000,0,0,0,0,0
33,33,0,-1,-316021778000,-49674472000,319902043000,-68054191000,-10697225000,0,0,0,0,0
34,34,0,-1,-345705086000,-54121600000,349915924000,-74446388000,-11654898000,0,0,0,0,0
35,35,0,-1,-399458717000,-62662709000,404343767000,-86022045000,-13494197000,0,0,0,0,0
36,36,0,-1,-399319707000,-62577382000,404193218000,-85992110000,-13475822000,0,0,0,0,0
37,37,0,-1,-399086890000,-62423422000,403939388000,-85941974000,-13442667000,0,0,0,0,0
38,38,0,-1,-372275526000,-57742632000,376727061000,-80168240000,-12434675000,0,0,0,0,0
39,39,0,-1,-467014300000,-72609098000,472625050000,-100569905000,-15636117000,0,0,0,0,0
40,40,0,-1,-397264443000,-61288690000,401964353000,-85549516000,-13198306000,0,0,0,0,0
41,41,0,-1,-345255393000,-53835102000,349427396000,-74349548000,-11593202000,0,0,0,0,0
42,42,0,-1,-369705522000,-56111085000,373939336000,-79614798000,-12083327000,0,0,0,0,0
43,43,0,-1,-371385034000,-57173864000,375760155000,-79976475000,-12312193000,0,0,0,0,0
44,44,0,-1,-370610366000,-56698550000,374922350000,-79809653000,-12209836000,0,0,0,0,0
45,45,0,-1,-412704600000,-59547433000,416978398000,-88874500000,-12823333000,0,0,0,0,0
46,46,0,-1,-370916560000,-56859792000,375249425000,-79875591000,-12244558000,0,0,0,0,0
47,47,0,-1,-344534389000,-53356343000,348641427000,-74194282000,-11490103000,0,0,0,0,0
48,48,0,-1,-321623490000,-39050878000,323985556000,-69260500000,-8409471000,0,0,0,0,0
49,49,0,-1,-249525945000,-23729840000,250651755000,-53734544000,-5110138000,0,0,0,0,0
50,50,0,-1,-336741521000,-48439066000,340207576000,-72516115000,-10431184000,0,0,0,0,0
51,51,0,-1,-763802547000,-115201686000,772441428000,-164482222000,-24808282000,0,0,0,0,0
52,52,0,-1,-280423952000,-42999095000,283701454000,-60388323000,-9259706000,0,0,0,0,0
53,53,0,-1,-342591714000,-52117240000,346533244000,-73775934000,-11223266000,0,0,0,0,0
54,54,0,-1,-344534389000,-53356343000,348641427000,-74194282000,-11490103000,0,0,0,0,0
55,55,0,-1,-371928762000,-57494066000,376346345000,-80093565000,-12381147000,0,0,0,0,0
56,56,0,-1,-393272361000,-58787626000,397641968000,-84689835000,-12659711000,0,0,0,0,0
57,57,0,-1,-352159110000,-45359204000,355068298000,-75836240000,-9767947000,0,0,0,1,0
58,58,0,-1,-367932633000,-55034551000,372025838000,-79233013000,-11851499000,0,0,0,0,0
59,59,0,-1,-444870453000,-68962633000,450183923000,-95801305000,-14850863000,0,0,0,0,0
60,60,0,-1,-314068465000,-48460711000,317785212000,-67633552000,-10435846000,0,0,0,0,0
61,61,0,-1,-282515242000,-44338308000,285973334000,-60838675000,-9548100000,0,0,0,0,0
62,62,0,-1,-344235139000,-53207248000,348322899000,-74129840000,-11457996000,0,0,0,0,0
63,63,0,-1,-343792213000,-52934674000,347843593000,-74034457000,-11399298000,0,0,0,0,0
64,64,0,-1,-398560442000,-62107517000,403370512000,-85828605000,-13374638000,0,0,0,0,0
65,65,0,-1,-372943205000,-58160659000,377451052000,-80312022000,-12524696000,0,0,0,0,0
66,66,0,-1,-341629632000,-51575849000,345500903000,-73568753000,-11106680000,0,0,0,0,0
67,67,0,-1,-370972615000,-56939805000,375316963000,-79887663000,-12261789000,0,0,0,0,0
68,68,0,-1,-312826836000,-47686467000,316440561000,-67366171000,-10269115000,0,0,0,0,0
69,69,0,-1,-388167732000,-55658280000,392137772000,-83590571000,-11985817000,0,0,0,0,0
70,70,0,-1,-342524071000,-52117682000,346466437000,-73761367000,-11223362000,0,0,0,0,0
71,71,0,-1,-313705208000,-48214237000,317388673000,-67555325000,-10382768000,0,0,0,0,0
72,72,0,-1,-292718633000,-35274155000,294836334000,-63035939000,-7596167000,0,0,0,0,0
73,73,0,-1,-215422407000,-20300350000,216376796000,-46390466000,-4371610000,0,0,0,0,0
74,74,0,-1,-306588410000,-43771607000,309697283000,-66022748000,-9426063000,0,0,0,0,0
75,75,0,-1,-694468315000,-103509485000,702139911000,-149551336000,-22290408000,0,0,0,0,0
76,76,0,-1,-242225635000,-36857550000,245013749000,-52162448000,-7937145000,0,0,0,0,0
77,77,0,-1,-311929514000,-47090541000,315464009000,-67172936000,-10140784000,0,0,0,0,0
78,78,0,-1,-313705208000,-48214237000,317388673000,-67555325000,-10382768000,0,0,0,0,0
79,79,0,-1,-343450950000,-52689383000,347469029000,-73960968000,-11346475000,0,0,0,0,0
80,80,0,-1,-393079737000,-58733744000,397443496000,-84648354000,-12648107000,0,0,0,0,0
81,81,0,-1,-324995257000,-41641384000,327652135000,-69986598000,-8967327000,0,0,0,1,0
82,82,0,-1,-367644554000,-54912582000,371722894000,-79170976000,-11825234000,0,0,0,0,0
83,83,0,-1,-444065111000,-68477140000,449313856000,-95627877000,-14746314000,0,0,0,0,0
84,86,0,1,66510365000,-206262321000,216720497000,14322776000,-44417873000,0,0,0,0,0
85,87,0,1,82887868000,-264706710000,277380679000,17849614000,-57003669000,0,0,0,0,0
86,88,0,1,94547643000,-294808785000,309598896000,20360506000,-63486047000,0,0,0,0,0
87,89,0,1,93016433000,-280981568000,295977530000,20030765000,-60508403000,0,0,0,0,0
88,90,0,1,93637323000,-286415282000,301333141000,20164472000,-61678535000,0,0,0,0,0
89,91,0,-1,-189619023000,-4034643000,189661942000,-40833797000,-868846000,0,0,0,0,0
90,92,0,-1,-189481048000,-4025498000,189523803000,-40804085000,-866877000,0,0,0,0,0
91,93,0,-1,-189055337000,-3949253000,189096581000,-40712409000,-850458000,0,0,0,1,1
92,94,0,-1,-218170933000,-4607205000,218219574000,-46982352000,-992146000,0,0,0,0,0
93,95,0,-1,-218183035000,-4612941000,218231795000,-46984958000,-993381000,0,0,0,0,0
94,96,0,-1,-216855064000,-4399332000,216899684000,-46698984000,-947381000,0,0,0,1,1
95,97,0,-1,-187969378000,-3920100000,188010250000,-40478552000,-844180000,0,0,0,0,0
96,98,0,-1,-188148948000,-3942104000,188190241000,-40517222000,-848918000,0,0,0,0,0
97,99,0,-1,-185533674000,-3518828000,185567040000,-39954031000,-757767000,0,0,0,1,1
98,100,0,1,76485962000,54495920000,93914363000,16470986000,11735507000,0,0,0,0,0
99,101,0,1,87300840000,66885998000,109978059000,18799932000,14403667000,0,0,0,0,0
100,102,0,1,85680645000,72422122000,112187952000,18451029000,15595852000,0,0,0,0,0
101,103,0,1,74178381000,64074063000,98019986000,15974056000,13798127000,0,0,0,0,0
102,104,0,1,33397045000,61081099000,69615108000,7191937000,13153602000,0,0,0,0,0
103,105,0,1,66644062000,121055806000,138188057000,14351567000,26068947000,0,0,0,0,0
104,106,0,1,61151405000,107729352000,123875371000,13168742000,23199141000,0,0,0,0,0
105,107,0,1,63093915000,107218093000,124404829000,13587055000,23089043000,0,0,0,0,0
106,108,0,1,52335246000,87086102000,101602004000,11270213000,18753689000,0,0,0,0,0
107,109,0,1,98368945000,105178575000,144010354000,21183410000,22649840000,0,0,0,0,0
108,110,0,1,79925796000,90602670000,120817948000,17211742000,19510970000,0,0,0,0,0
109,111,0,1,99137687000,132918582000,165818065000,21348956000,28623554000,0,0,0,0,0
110,112,0,1,109302199000,132539550000,171795527000,23537848000,28541931000,0,0,0,0,0
111,113,0,1,39131887000,48903253000,62632522000,8426916000,10531145000,0,0,0,0,0
112,114,0,1,135252359000,167871572000,215578443000,29126125000,36150559000,0,0,0,0,0
113,115,0,1,39131887000,48903253000,62632522000,8426916000,10531145000,0,0,0,0,0
114,116,0,1,39131887000,48903253000,62632522000,8426916000,10531145000,0,0,0,1,0
115,117,0,1,58533738000,86655829000,104572612000,12605037000,18661031000,0,0,0,0,0
116,118,0,1,99638868000,107441915000,146532143000,21456884000,23137243000,0,0,0,0,0
117,119,0,1,69255311000,80183840000,105951623000,14913890000,17267311000,0,0,0,0,0
118,120,0,1,74499645000,109835853000,132718167000,16043240000,23652769000,0,0,0,0,0
119,121,0,1,56317083000,82869251000,100194444000,12127688000,17845605000,0,0,0,0,0
120,122,0,1,95693752000,108935169000,144997122000,20607317000,23458810000,0,0,0,0,0
121,123,0,1,98368008000,133717066000,166001563000,21183208000,28795505000,0,0,0,0,0
122,124,0,1,114076870000,144108032000,183795150000,24566057000,31033163000,0,0,0,0,0
123,125,0,1,85857487000,108990405000,138745870000,18489111000,23470705000,0,0,0,0,0
124,126,0,1,96067120000,133102909000,164150163000,20687720000,28663248000,0,0,0,0,0
125,127,0,1,123104033000,159819067000,201734323000,26510025000,34416480000,0,0,0,0,0
126,128,0,1,60970751000,81803955000,102026072000,13129839000,17616197000,0,0,0,0,0
127,129,0,1,74243585000,100555584000,124994142000,15988098000,21654295000,0,0,0,0,0
128,130,0,1,101225352000,126234441000,161807620000,21798528000,27184148000,0,0,0,0,0
129,131,0,1,76393094000,54738090000,93979589000,16450987000,11787657000,0,0,0,0,0
130,132,0,1,86872625000,67996937000,110319701000,18707718000,14642904000,0,0,0,0,0
131,133,0,1,55267395000,69790806000,89023826000,11901641000,15029207000,0,0,0,0,0
132,134,0,1,102450703000,95109932000,139792867000,22062403000,20481593000,0,0,0,0,0
133,135,0,1,84424281000,77943927000,114903068000,18180475000,16784954000,0,0,0,0,0
134,136,0,1,74824040000,101788386000,126330964000,16113097000,21919775000,0,0,0,0,0
135,137,0,1,67446667000,85467808000,108875154000,14524405000,18405195000,0,0,0,0,0
136,138,0,1,76362286000,108753824000,132885639000,16444353000,23419758000,0,0,0,0,0
137,139,0,1,88200281000,126397314000,154128423000,18993624000,27219222000,0,0,0,0,0
138,140,0,1,56355053000,80974580000,98654826000,12135865000,17437594000,0,0,0,0,0
139,141,0,1,56355053000,80974580000,98654826000,12135865000,17437594000,0,0,0,0,0
140,142,0,1,74376904000,101978481000,126220182000,16016808000,21960711000,0,0,0,0,0
141,143,0,1,132448003000,182953398000,225863718000,28522217000,39398378000,0,0,0,1,0
142,144,0,1,60819660000,85951616000,105293454000,13097302000,18509382000,0,0,0,1,0
143,145,0,1,99792198000,128382331000,162605368000,21489903000,27646688000,0,0,0,1,0
144,146,0,1,37067119000,52640515000,64381637000,7982275000,11335952000,0,0,0,1,0
145,148,0,1,52303080000,73770701000,90430794000,11263286000,15886264000,0,0,0,1,0
146,149,0,1,94145451000,119740791000,152319477000,20273895000,25785763000,0,0,0,1,0
147,152,0,1,65712486000,86261448000,108439698000,14150955000,18576103000,0,0,0,0,0
148,153,0,1,63973222000,87867200000,108688629000,13776411000,18921896000,0,0,0,1,0
149,154,0,1,75023133000,99523582000,124633117000,16155971000,21432057000,0,0,0,1,0
150,155,0,1,38024529000,50258246000,63021870000,8188450000,10822939000,0,0,0,1,0
151,157,0,1,70425491000,120466406000,139541767000,15165884000,25942022000,0,0,0,0,0
152,158,0,1,68805281000,111751223000,131234533000,14816978000,24065237000,0,0,0,0,0
153,159,0,1,67985466000,77106099000,102797734000,14640434000,16604530000,0,0,0,0,0
154,160,0,1,58060252000,56218571000,80817824000,12503073000,12106474000,0,0,0,0,0
155,161,0,1,73349675000,104831898000,127944917000,15795597000,22575185000,0,0,0,0,0
156,162,0,1,67383544000,112118826000,130809683000,14510812000,24144399000,0,0,0,0,0
157,163,0,1,68736928000,110393021000,130043778000,14802258000,23772753000,0,0,0,0,0
158,164,0,1,76963021000,128402705000,149701574000,16573719000,27651076000,0,0,0,0,0
159,165,0,1,90915564000,143810339000,170138336000,19578350000,30969056000,0,0,0,0,0
160,166,0,1,62541239000,95078673000,113804045000,13468038000,20474861000,0,0,0,0,0
161,167,0,1,62541239000,95078673000,113804045000,13468038000,20474861000,0,0,0,0,0
162,168,0,1,81638383000,117027036000,142689007000,17580542000,25201365000,0,0,0,0,0
163,169,0,1,99510038000,146461368000,177068292000,21429141000,31539946000,0,0,0,1,0
164,170,0,1,67480042000,101351424000,121760696000,14531592000,21825677000,0,0,0,1,0
165,171,0,1,82078002000,114056539000,140519367000,17675212000,24561679000,0,0,0,1,0
166,172,0,1,81896689000,113501536000,139963089000,17636167000,24442161000,0,0,0,1,0
167,173,0,1,74504866000,103135735000,127231894000,16044364000,22209922000,0,0,0,1,0
168,174,0,1,139381319000,124622202000,186970172000,30015282000,26836958000,0,0,0,0,0
169,175,0,1,89004500000,91983095000,127994886000,19166810000,19808240000,0,0,0,0,0
170,176,0,1,80531985000,82022261000,114948040000,17342283000,17663209000,0,0,0,0,0
171,177,0,1,90124785000,93625786000,129954856000,19408059000,20161987000,0,0,0,0,0
172,178,0,1,37954680000,48884998000,61889423000,8173408000,10527214000,0,0,0,0,0
173,179,0,1,136540171000,174661046000,221697315000,29403451000,37612649000,0,0,0,0,0
174,180,0,1,88937159000,118762285000,148372163000,19152308000,25575045000,0,0,0,0,0
175,181,0,1,143108126000,154288151000,210439467000,30817837000,33225417000,0,0,0,0,0
176,182,0,1,99719561000,118017103000,154505753000,21474261000,25414573000,0,0,0,0,0
177,183,0,1,94218895000,113253933000,147321599000,20289711000,24388841000,0,0,0,0,0
178,184,0,1,54441371000,74017062000,91882470000,11723760000,15939317000,0,0,0,0,0
179,186,0,1,66369508000,88799063000,110861108000,14292443000,19122569000,0,0,0,0,0
180,187,0,1,107887556000,130335841000,169195616000,23233210000,28067370000,0,0,0,0,0
181,188,0,1,108546584000,133105463000,171753967000,23375129000,28663799000,0,0,0,0,0
182,189,0,1,53812224000,68698389000,87265251000,11588275000,14793959000,0,0,0,0,0
183,190,0,1,60107593000,56133621000,82242971000,12943961000,12088180000,0,0,0,0,0
184,191,0,1,89870588000,129972109000,158017314000,19353319000,27989042000,0,0,0,0,0
185,192,0,1,81586564000,87971465000,119980607000,17569383000,18944349000,0,0,0,0,0
186,193,0,1,54922412000,81038620000,97896523000,11827350000,17451385000,0,0,0,0,0
187,194,0,1,112447870000,108866488000,156513372000,24215258000,23444020000,0,0,0,0,0
188,195,0,1,104617102000,100363566000,144974423000,22528929000,21612945000,0,0,0,0,0
189,196,0,1,95546745000,91391036000,132217631000,20575659000,19680742000,0,0,0,0,0
190,197,0,1,85184075000,81465699000,117868514000,18344094000,17543355000,0,0,0,0,0
191,198,0,1,60119074000,55745337000,81986863000,12946433000,12004565000,0,0,0,0,0
192,199,0,1,95133728000,91388682000,131917844000,20486718000,19680235000,0,0,0,0,0
193,200,0,1,191310580000,190019074000,269642330000,41198068000,40919947000,0,0,0,0,0
194,201,0,1,91317142000,93379702000,130608534000,19664829000,20108994000,0,0,0,0,0
195,202,0,1,94464461000,91773399000,131703801000,20342593000,19763082000,0,0,0,0,0
196,203,0,1,95547325000,91396800000,132222034000,20575784000,19681983000,0,0,0,0,0
197,204,0,1,104513680000,100328039000,144875204000,22506658000,21605294000,0,0,0,0,0
198,205,0,1,84707839000,82110943000,117972984000,18241539000,17682306000,0,0,0,0,0
199,206,0,1,93222145000,94089857000,132451008000,20075065000,20261923000,0,0,0,0,0
200,207,0,1,88328213000,139669145000,165255388000,19021173000,30077265000,0,0,0,0,0
201,208,0,1,101724623000,150375845000,181551077000,21906044000,32382915000,0,0,0,0,0
202,209,0,1,70086119000,71447737000,100084181000,15092802000,15386022000,0,0,0,0,0
203,210,0,1,62369627000,91270819000,110545614000,13431082000,19654853000,0,0,0,0,0
204,211,0,1,62369627000,91270819000,110545614000,13431082000,19654853000,0,0,0,0,0
205,212,0,1,133325041000,134116400000,189110484000,28711084000,28881500000,0,0,0,0,0
206,213,0,1,93428413000,105518237000,140936037000,20119484000,22722985000,0,0,0,0,0
207,214,0,1,122124440000,165785235000,205910474000,26299074000,35701274000,0,0,0,0,0
208,215,0,1,101796504000,138167187000,171617888000,21921523000,29753823000,0,0,0,0,0
209,216,0,1,143845802000,168736288000,221728550000,30976693000,36336773000,0,0,0,0,0
210,217,0,1,97319869000,121481728000,155656568000,20957495000,26160668000,0,0,0,0,0
211,218,0,1,92094433000,117794169000,149522075000,19832216000,25366565000,0,0,0,0,0
212,219,0,1,112255820000,143329257000,182056708000,24173900000,30865457000,0,0,0,0,0
213,220,0,1,99977755000,128081531000,162482091000,21529862000,27581912000,0,0,0,0,0
214,221,0,1,75119973000,101409109000,126201497000,16176825000,21838099000,0,0,0,0,0
215,222,0,1,110188747000,156246082000,191192045000,23728763000,33647050000,0,0,0,0,0
216,223,0,1,97070121000,134964678000,166247023000,20903713000,29064174000,0,0,0,0,0
217,224,0,1,127505583000,156629733000,201966697000,27457884000,33729668000,0,0,0,0,0
218,225,0,1,135219031000,172132465000,218892147000,29118948000,37068128000,0,0,0,0,0
219,226,0,1,57725245000,78051628000,97078631000,12430931000,16808147000,0,0,0,0,0
