poincare_point_id,automaton_state_id,repaired_recurrent_class_id,spectral_side_code,poincare_x_x1e12,poincare_y_x1e12,poincare_radius_x1e12,fiedler_value_x1e12,third_mode_value_x1e12,left_boundary_flag,right_boundary_flag,gate_word_flag
0,0,0,-1,-310479657000,-167192350000,352634229000,-82214652000,-44272340000,0,0,0
1,1,0,-1,-335288489000,-180431574000,380754414000,-88784001000,-47778071000,0,0,0
2,2,0,-1,-283339501000,-152420219000,321734668000,-75027970000,-40360697000,0,0,0
3,3,0,-1,-310520178000,-167286344000,352714476000,-82225381000,-44297229000,0,0,0
4,4,0,-1,-310483087000,-167200434000,352641081000,-82215560000,-44274480000,0,0,0
5,5,0,-1,-335438264000,-180778123000,381050598000,-88823662000,-47869836000,0,0,0
6,6,0,-1,-283057106000,-151745275000,321166552000,-74953192000,-40181972000,0,0,0
7,7,0,-1,-420168162000,-225855149000,477023933000,-111260040000,-59806180000,0,0,0
8,8,0,-1,-310064606000,-166206600000,351802066000,-82104747000,-44011314000,0,0,0
9,9,0,-1,-283251207000,-152205297000,321555125000,-75004590000,-40303785000,0,0,0
10,10,0,-1,-308791234000,-163211267000,349270588000,-81767559000,-43218153000,0,0,0
11,11,0,-1,-309796833000,-165567312000,351264306000,-82033841000,-43842031000,0,0,0
12,12,0,-1,-282717967000,-150940397000,320487835000,-74863388000,-39968841000,0,0,0
13,13,0,-1,-351172669000,-175961281000,392790804000,-92990114000,-46594342000,0,0,0
14,14,0,-1,-308401889000,-162263142000,348483935000,-81664461000,-42967091000,0,0,0
15,15,0,-1,-282204919000,-149693220000,319449020000,-74727534000,-39638590000,0,0,0
16,16,0,-1,-257310490000,-92572801000,273456417000,-68135518000,-24513170000,0,0,0
17,17,0,-1,-184302680000,-37457442000,188070566000,-48803135000,-9918687000,0,0,0
18,18,0,-1,-274540176000,-131957390000,304606403000,-72697919000,-34942163000,0,0,0
19,19,0,-1,-753535269000,-393299629000,850000000000,-199535261000,-104145284000,0,0,0
20,20,0,-1,-217744474000,-113968428000,245767082000,-57658483000,-30178707000,0,0,0
21,21,0,-1,-280177221000,-144964383000,315458314000,-74190602000,-38386400000,0,0,0
22,22,0,-1,-282204919000,-149693220000,319449020000,-74727534000,-39638590000,0,0,0
23,23,0,-1,-308868022000,-163338726000,349398045000,-81787892000,-43251904000,0,0,0
24,24,0,-1,-333742825000,-176782435000,377672216000,-88374711000,-46811783000,0,0,0
25,25,0,-1,-281359415000,-147754548000,317796361000,-74503645000,-39125232000,0,0,0
26,26,0,-1,-309566286000,-165020265000,350803326000,-81972792000,-43697174000,0,0,0
27,27,0,-1,-380071190000,-204309419000,431504864000,-100642408000,-54100896000,0,0,0
28,28,0,-1,-253164566000,-135715953000,287247484000,-67037682000,-35937426000,0,0,0
29,29,0,-1,-309552773000,-165053720000,350807141000,-81969214000,-43706033000,0,0,0
30,30,0,-1,-283279799000,-152278207000,321614827000,-75012161000,-40323092000,0,0,0
31,31,0,-1,-399612763000,-213028840000,452848371000,-105816994000,-56409789000,0,0,0
32,32,0,-1,-358284946000,-192525530000,406736011000,-94873436000,-50980536000,0,0,0
33,33,0,-1,-283243693000,-152194433000,321543364000,-75002600000,-40300909000,0,0,0
34,34,0,-1,-309989875000,-166059081000,351666519000,-82084958000,-43972251000,0,0,0
35,35,0,-1,-358229230000,-192404392000,406629599000,-94858683000,-50948459000,0,0,0
36,36,0,-1,-358137573000,-192192280000,406448513000,-94834412000,-50892292000,0,0,0
37,37,0,-1,-357912832000,-191662282000,406000032000,-94774901000,-50751949000,0,0,0
38,38,0,-1,-334393177000,-178334637000,378974986000,-88546924000,-47222804000,0,0,0
39,39,0,-1,-419179737000,-223567725000,475072815000,-110998306000,-59200473000,0,0,0
40,40,0,-1,-357413520000,-190489225000,405006876000,-94642684000,-50441325000,0,0,0
41,41,0,-1,-309950691000,-165958553000,351584516000,-82074582000,-43945632000,0,0,0
42,42,0,-1,-333082278000,-175259899000,376377252000,-88199799000,-46408617000,0,0,0
43,43,0,-1,-334199352000,-177867194000,378584132000,-88495599000,-47099026000,0,0,0
44,44,0,-1,-334015068000,-177438619000,378220213000,-88446801000,-46985540000,0,0,0
45,45,0,-1,-371946507000,-185497963000,415636497000,-98491002000,-49119644000,0,0,0
46,46,0,-1,-332634596000,-174172000000,375475246000,-88081254000,-46120543000,0,0,0
47,47,0,-1,-308695539000,-162955873000,349066688000,-81742219000,-43150525000,0,0,0
48,48,0,-1,-281379848000,-100718708000,298862638000,-74509056000,-26670196000,0,0,0
49,49,0,-1,-212420598000,-42738046000,216677297000,-56248727000,-11316985000,0,0,0
50,50,0,-1,-300291713000,-143605233000,332862698000,-79516896000,-38026498000,0,0,0
51,51,0,-1,-685263472000,-353034267000,770856161000,-181456969000,-93483063000,0,0,0
52,52,0,-1,-251065509000,-130763361000,283077633000,-66481854000,-34625986000,0,0,0
53,53,0,-1,-306471694000,-157785892000,344704637000,-81153348000,-41781520000,0,0,0
54,54,0,-1,-308695539000,-162955873000,349066688000,-81742219000,-43150525000,0,0,0
55,55,0,-1,-333134957000,-175319053000,376451418000,-88213749000,-46424281000,0,0,0
56,56,0,-1,-356335611000,-187959717000,402869610000,-94357255000,-49771514000,0,0,0
57,57,0,-1,-307806763000,-160932052000,347338637000,-81506872000,-42614620000,0,0,0
58,58,0,-1,-333943251000,-177260573000,378073281000,-88427784000,-46938393000,0,0,0
59,59,0,-1,-400156296000,-214264297000,453909959000,-105960921000,-56736936000,0,0,0
60,60,0,-1,-282051769000,-149434169000,319192374000,-74686980000,-39569994000,0,0,0
61,61,0,-1,-253201519000,-135800258000,287319890000,-67047467000,-35959750000,0,0,0
62,62,0,-1,-309089003000,-163970704000,349889131000,-81846408000,-43419251000,0,0,0
63,63,0,-1,-309053017000,-163884211000,349816812000,-81836879000,-43396348000,0,0,0
64,64,0,-1,-357664203000,-191099326000,405515270000,-94709064000,-50602879000,0,0,0
65,65,0,-1,-334473738000,-178530571000,379138294000,-88568256000,-47274687000,0,0,0
66,66,0,-1,-307717924000,-160780159000,347189545000,-81483348000,-42574399000,0,0,0
67,67,0,-1,-333683674000,-176696359000,377579657000,-88359048000,-46788990000,0,0,0
68,68,0,-1,-281691012000,-148585479000,318476798000,-74591452000,-39345262000,0,0,0
69,69,0,-1,-349877392000,-173211063000,390405253000,-92647126000,-45866088000,0,0,0
70,70,0,-1,-307215123000,-159571394000,346185155000,-81350207000,-42254319000,0,0,0
71,71,0,-1,-281111993000,-147191930000,317315957000,-74438128000,-38976252000,0,0,0
72,72,0,-1,-256160655000,-90993111000,271841917000,-67831043000,-24094870000,0,0,0
73,73,0,-1,-183435356000,-36486413000,187028843000,-48573469000,-9661560000,0,0,0
74,74,0,-1,-273447395000,-129707295000,302650723000,-72408552000,-34346341000,0,0,0
75,75,0,-1,-623061827000,-316689412000,698926480000,-164986046000,-83858988000,0,0,0
76,76,0,-1,-216896062000,-112040935000,244125117000,-57433825000,-29668309000,0,0,0
77,77,0,-1,-279081934000,-142507468000,313360980000,-73900571000,-37735811000,0,0,0
78,78,0,-1,-281111993000,-147191930000,317315957000,-74438128000,-38976252000,0,0,0
79,79,0,-1,-307670082000,-160602424000,347064861000,-81470679000,-42527335000,0,0,0
80,80,0,-1,-355864396000,-186911541000,401964417000,-94232477000,-49493958000,0,0,0
81,81,0,-1,-280401809000,-145599406000,315949935000,-74250072000,-38554553000,0,0,0
82,82,0,-1,-333373675000,-175965868000,376964181000,-88276961000,-46595557000,0,0,0
83,83,0,-1,-399250628000,-212178588000,452129204000,-105721101000,-56184643000,0,0,0
84,86,0,1,49723638000,-97346618000,109310586000,13166761000,-25777271000,0,0,0
85,87,0,1,61806883000,-125623839000,140005142000,16366391000,-33265046000,0,0,0
86,88,0,1,70627620000,-139686119000,156526268000,18702111000,-36988722000,0,0,0
87,89,0,1,69651203000,-132793334000,149951191000,18443558000,-35163520000,0,0,0
88,90,0,1,70050059000,-135384952000,152433907000,18549174000,-35849778000,0,0,0
89,91,0,-1,-150448715000,39163449000,155462509000,-39838645000,10370436000,0,0,0
90,92,0,-1,-150358885000,39107870000,155361578000,-39814858000,10355718000,0,0,0
91,93,0,-1,-173192930000,44688799000,178865536000,-45861286000,11833542000,0,0,0
92,94,0,-1,-173202327000,44758777000,178892130000,-45863774000,11852072000,0,0,0
93,95,0,-1,-149335570000,37972344000,154087674000,-39543885000,10055032000,0,0,0
94,96,0,-1,-149453852000,38165402000,154249966000,-39575206000,10106154000,0,0,0
95,97,0,1,57878665000,-17200014000,60380297000,15326203000,-4554544000,0,0,0
96,98,0,1,66181404000,-16773697000,68273971000,17524759000,-4441655000,0,0,0
97,99,0,1,65143149000,-12153028000,66267080000,17249830000,-3218108000,0,0,0
98,100,0,1,56403203000,-9973043000,57278118000,14935502000,-2640850000,0,0,0
99,101,0,1,26480108000,16556731000,31230137000,7011902000,4384203000,0,0,0
100,102,0,1,52858624000,32838783000,62228769000,13996902000,8695671000,0,0,0
101,103,0,1,48029392000,25290743000,54281158000,12718127000,6696959000,0,0,0
102,104,0,1,49296837000,22646298000,54249728000,13053745000,5996713000,0,0,0
103,105,0,1,40784468000,17274774000,44292106000,10799680000,4574340000,0,0,0
104,106,0,1,75561687000,1538806000,75577355000,20008647000,407474000,0,0,0
105,107,0,1,61451404000,3639222000,61559069000,16272260000,963662000,0,0,0
