observable_id,observable_code,value_x1e12,aux_id
0,0,6000000000000,-1
1,1,5000000000000,-1
2,2,1000000000000,-1
3,3,2447000000000000,-1
4,4,170969397,-1
5,5,2000000000000,-1
6,6,211000000000000,-1
7,7,46000000000000,-1
8,8,138000000000000,-1
9,9,22000000000000,-1
10,10,2000000000000,-1
11,11,3000000000000,-1
12,12,7000000000000,-1
13,13,7000000000000,-1
14,14,4000000000000,-1
15,15,1455000000000000,-1
16,16,1000000000000,-1
17,17,1000000000000,-1
18,18,1000000000000,-1
19,19,29226,-1
20,20,1070270,-1
