transfer_edge_id,source_state_id,target_state_id,edge_weight,native_transition_flag,derived_transition_flag,promoted_transition_flag,promoted_only_transition_flag,old_repaired_edge_flag,old_spectral_cut_edge_flag,spectral_cut_edge_flag,undirected_stationary_flux_x1e12,source_to_target_probability_x1e12,target_to_source_probability_x1e12,source_stationary_mass_x1e12,target_stationary_mass_x1e12
0,0,1,1,0,1,0,0,1,0,0,170677590,166666666667,142857142858,512032770,597371565
1,0,5,1,0,1,0,0,1,0,0,170677590,166666666667,142857142858,512032770,597371565
2,0,19,1,0,1,0,0,1,0,0,170677590,166666666667,27777777778,512032770,3072196621
3,0,30,1,0,1,0,0,1,0,0,170677590,166666666667,200000000000,512032770,426693975
4,0,33,1,0,1,0,0,1,0,0,170677590,166666666666,200000000000,512032770,426693975
5,0,61,1,0,1,0,0,1,0,0,170677590,166666666666,250000000000,512032770,341355180
6,1,3,1,0,1,0,0,1,0,0,170677590,142857142857,166666666667,597371565,512032770
7,1,19,1,0,1,0,0,1,0,0,170677590,142857142857,27777777778,597371565,3072196621
8,1,28,1,0,1,1,0,1,0,0,170677590,142857142857,200000000000,597371565,426693975
9,1,31,1,0,1,0,0,1,0,0,170677590,142857142857,100000000000,597371565,853387950
10,1,32,1,0,1,0,0,1,0,0,170677590,142857142857,125000000000,597371565,682710360
11,1,35,1,0,1,0,0,1,0,0,170677590,142857142857,125000000000,597371565,682710360
12,2,3,1,0,1,0,0,1,0,0,170677590,200000000000,166666666667,426693975,512032770
13,2,4,1,0,1,0,0,1,0,0,170677590,200000000000,166666666667,426693975,512032770
14,2,7,1,0,1,0,0,1,0,0,170677590,200000000000,90909090910,426693975,938726745
15,2,19,1,0,1,0,0,1,0,0,170677590,200000000000,27777777778,426693975,3072196621
16,2,34,1,0,1,0,0,1,0,0,170677590,200000000000,166666666667,426693975,512032770
17,3,5,1,0,1,0,0,1,0,0,170677590,166666666667,142857142857,512032770,597371565
18,3,19,1,0,1,0,0,1,0,0,170677590,166666666667,27777777778,512032770,3072196621
19,3,27,1,0,1,0,0,1,0,0,170677590,166666666666,111111111112,512032770,768049155
20,3,35,1,0,1,0,0,1,0,0,170677590,166666666666,125000000000,512032770,682710360
21,4,5,1,0,1,0,0,1,0,0,170677590,166666666667,142857142857,512032770,597371565
22,4,7,1,0,1,0,0,1,0,0,170677590,166666666667,90909090909,512032770,938726745
23,4,9,1,0,1,0,0,1,0,0,170677590,166666666667,200000000000,512032770,426693975
24,4,19,1,0,1,0,0,1,0,0,170677590,166666666666,27777777778,512032770,3072196621
25,4,36,1,0,1,0,0,1,0,0,170677590,166666666666,125000000000,512032770,682710360
26,5,19,1,0,1,0,0,1,0,0,170677590,142857142857,27777777778,597371565,3072196621
27,5,27,1,0,1,0,0,1,0,0,170677590,142857142857,111111111111,597371565,768049155
28,5,30,1,0,1,0,0,1,0,0,170677590,142857142857,200000000000,597371565,426693975
29,5,37,1,0,1,0,0,1,0,0,170677590,142857142857,125000000000,597371565,682710360
30,6,7,1,0,1,0,0,1,0,0,170677590,200000000000,90909090909,426693975,938726745
31,6,8,1,0,1,0,0,1,0,0,170677590,200000000000,166666666667,426693975,512032770
32,6,11,1,0,1,0,0,1,0,0,170677590,200000000000,166666666667,426693975,512032770
33,6,19,1,0,1,0,0,1,0,0,170677590,200000000000,27777777778,426693975,3072196621
34,6,38,1,0,1,0,0,1,0,0,170677590,200000000000,142857142858,426693975,597371565
35,7,8,1,0,1,0,0,1,0,0,170677590,90909090909,166666666667,938726745,512032770
36,7,12,1,0,1,0,0,1,0,0,170677590,90909090909,200000000000,938726745,426693975
37,7,19,1,0,1,0,0,1,0,0,170677590,90909090909,27777777778,938726745,3072196621
38,7,29,1,0,1,0,0,1,0,0,170677590,90909090909,166666666667,938726745,512032770
39,7,31,1,0,1,0,0,1,0,0,170677590,90909090909,100000000000,938726745,853387950
40,7,36,1,0,1,0,0,1,0,0,170677590,90909090909,125000000000,938726745,682710360
41,7,39,1,0,1,0,0,1,0,0,170677590,90909090909,90909090910,938726745,938726745
42,7,64,1,0,1,0,0,1,0,0,170677590,90909090909,125000000000,938726745,682710360
43,8,9,1,0,1,0,0,1,0,0,170677590,166666666667,200000000000,512032770,426693975
44,8,19,1,0,1,0,0,1,0,0,170677590,166666666667,27777777778,512032770,3072196621
45,8,24,1,0,1,0,0,1,0,0,170677590,166666666666,142857142858,512032770,597371565
46,8,40,1,0,1,0,0,1,0,0,170677590,166666666666,125000000000,512032770,682710360
47,9,19,1,0,1,0,0,1,0,0,170677590,200000000000,27777777778,426693975,3072196621
48,9,27,1,0,1,0,0,1,0,0,170677590,200000000000,111111111111,426693975,768049155
49,9,41,1,0,1,0,0,1,0,0,170677590,200000000000,166666666667,426693975,512032770
