hyperedge_id,block_code_a,block_code_b,block_code_c,pairwise_shadow_inert_flag,state_count,new_state_count,edge_count,new_edge_count,cut_edge_count,old_cut_edge_still_cut_count,old_cut_edge_same_side_count,promoted_cut_edge_count,promoted_only_cut_edge_count,lambda_2_x1e12,cut_conductance_x1e12,conductance_reduction_x1e12,support_changed_flag,borromean_opening_flag,selected_best_flag
0,1452,4521,2114,1,984,124,3134,563,11,6,0,11,5,2479064000,4670913000,-341909000,0,0,0
1,1452,4521,1145,1,984,124,3134,563,11,6,0,11,5,2479064000,4670913000,-341909000,0,0,0
2,1452,4521,5214,1,984,124,3134,563,11,6,0,11,5,2479064000,4670913000,-341909000,0,0,0
3,1452,4521,5521,1,984,124,3134,563,11,6,0,11,5,2479064000,4670913000,-341909000,0,0,0
4,1452,2114,1145,1,984,124,3134,563,11,6,0,11,5,2479064000,4670913000,-341909000,0,0,0
5,1452,2114,5214,1,984,124,3134,563,11,6,0,11,5,2479064000,4670913000,-341909000,0,0,0
6,1452,2114,5521,1,984,124,3134,563,11,6,0,11,5,2479064000,4670913000,-341909000,0,0,0
7,1452,1145,5214,1,984,124,3134,563,11,6,0,11,5,2479064000,4670913000,-341909000,0,0,0
8,1452,1145,5521,1,984,124,3134,563,11,6,0,11,5,2479064000,4670913000,-341909000,0,0,0
9,1452,5214,5521,1,984,124,3134,563,11,6,0,11,5,2479064000,4670913000,-341909000,0,0,0
10,4521,2114,1145,1,982,122,3129,558,11,6,0,11,5,2456465000,4670913000,-341909000,0,0,0
11,4521,2114,5214,1,984,124,3134,563,11,6,0,11,5,2479064000,4670913000,-341909000,0,0,0
12,4521,2114,5521,1,984,124,3134,563,11,6,0,11,5,2479064000,4670913000,-341909000,0,0,0
13,4521,1145,5214,1,984,124,3134,563,11,6,0,11,5,2479064000,4670913000,-341909000,0,0,0
14,4521,1145,5521,1,984,124,3134,563,11,6,0,11,5,2479064000,4670913000,-341909000,0,0,0
15,4521,5214,5521,1,984,124,3134,563,11,6,0,11,5,2479064000,4670913000,-341909000,0,0,0
16,2114,1145,5214,1,981,121,3124,553,11,6,0,11,5,2479674000,4670913000,-341909000,0,0,0
17,2114,1145,5521,1,973,113,3108,537,13,6,0,13,7,2406296000,5501481000,-1172477000,0,0,0
18,2114,5214,5521,1,980,120,3122,551,11,6,0,11,5,2480783000,4670913000,-341909000,0,0,1
19,1145,5214,5521,1,981,121,3124,553,11,6,0,11,5,2479674000,4670913000,-341909000,0,0,0
