partner_id,partner_kind,block_code,near_occurrence_count,near_word_count,near_min_distance,occurrence_count,word_count,unrepaired_word_count,rank_min,rank_max,local_touch_flag,base_promoted_flag
0,1,1145,116,113,1,156,149,84,3,14,0,0
1,1,5211,18,18,1,42,42,8,6,12,0,0
2,1,1143,7,7,1,9,9,0,3,11,0,0
3,1,1144,3,3,1,6,6,3,3,11,0,0
4,1,1211,2,2,1,4,4,0,10,11,0,0
5,1,1452,105,102,2,909,784,124,4,15,0,0
6,1,5521,10,10,2,378,356,69,5,16,0,0
7,1,1431,7,7,2,209,209,0,3,7,0,0
8,1,4521,5,5,2,864,728,112,5,16,0,0
9,1,1445,3,3,2,124,121,6,3,14,0,0
10,1,1521,2,2,2,168,160,16,3,16,0,0
11,1,4121,2,2,2,33,33,2,9,11,0,0
12,1,2521,1,1,2,178,173,16,7,16,0,0
13,1,5221,1,1,2,142,141,15,6,16,0,0
14,2,1451,11,11,2,56,55,12,3,12,1,0
15,2,4512,0,0,-1,227,226,8,4,11,1,0
16,2,4552,0,0,-1,79,79,0,4,15,1,0
17,2,5125,0,0,-1,279,260,17,5,11,1,0
18,2,1255,0,0,-1,196,195,31,6,10,1,0
19,2,5255,0,0,-1,143,142,25,4,14,1,0
20,2,1252,0,0,-1,135,134,10,6,14,1,0
21,2,2145,0,0,-1,597,553,91,2,14,1,0
22,2,5252,0,0,-1,121,107,11,4,15,1,0
23,2,4511,0,0,-1,23,23,0,4,11,1,0
24,2,4551,0,0,-1,9,9,0,4,11,1,0
25,2,5115,0,0,-1,38,38,1,5,10,1,0
26,2,5511,0,0,-1,16,16,4,4,11,1,0
