triple_id,triple_kind,block_code_a,block_code_b,block_code_c,state_count,new_state_count,edge_count,new_edge_count,cut_edge_count,old_cut_edge_still_cut_count,old_cut_edge_same_side_count,promoted_cut_edge_count,promoted_only_cut_edge_count,lambda_2_x1e12,cut_conductance_x1e12,conductance_reduction_x1e12,support_changed_flag,selected_best_flag
0,1,2114,5255,1145,954,94,3061,490,6,6,0,6,0,1968334000,2615519000,1713485000,0,0
1,1,2114,5255,5211,952,92,3058,487,6,6,0,6,0,1969615000,2615519000,1713485000,0,0
2,1,2114,5255,1143,952,92,3058,487,6,6,0,6,0,1969615000,2615519000,1713485000,0,0
3,1,2114,5255,1144,952,92,3058,487,6,6,0,6,0,1969615000,2615519000,1713485000,0,0
4,1,2114,5255,1211,952,92,3058,487,6,6,0,6,0,1969615000,2615519000,1713485000,0,0
5,1,2114,5255,1452,984,124,3134,563,11,6,0,11,5,2479064000,4670913000,-341909000,0,0
6,1,2114,5255,5521,971,111,3105,534,13,6,0,13,7,2407679000,5501481000,-1172477000,0,0
7,1,2114,5255,1431,952,92,3058,487,6,6,0,6,0,1969615000,2615519000,1713485000,0,0
8,1,2114,5255,4521,982,122,3129,558,11,6,0,11,5,2456465000,4670913000,-341909000,0,0
9,1,2114,5255,1445,952,92,3058,487,6,6,0,6,0,1969615000,2615519000,1713485000,0,0
10,1,2114,5255,1521,957,97,3063,492,6,6,0,6,0,1967643000,2610966000,1718038000,0,1
11,1,2114,5255,4121,953,93,3060,489,6,6,0,6,0,1968663000,2615519000,1713485000,0,0
12,1,2114,5255,2521,956,96,3064,493,6,6,0,6,0,1980204000,2615519000,1713485000,0,0
13,1,2114,5255,5221,954,94,3061,490,6,6,0,6,0,1972748000,2615519000,1713485000,0,0
14,2,2114,1145,1451,948,88,3049,478,6,6,0,6,0,1971088000,2645503000,1683501000,0,0
15,2,2114,1145,4512,948,88,3049,478,6,6,0,6,0,1971088000,2645503000,1683501000,0,0
16,2,2114,1145,4552,947,87,3048,477,6,6,0,6,0,1971088000,2645503000,1683501000,0,0
17,2,2114,1145,5125,956,96,3064,493,7,6,0,7,1,2058455000,3085059000,1243945000,0,0
18,2,2114,1145,1255,960,100,3070,499,7,6,0,7,1,2082648000,3076923000,1252081000,0,0
19,2,2114,1145,1252,951,91,3054,483,6,6,0,6,0,1981663000,2645503000,1683501000,0,0
20,2,2114,1145,2145,982,122,3128,557,11,6,0,11,5,2477296000,4670913000,-341909000,0,0
21,2,2114,1145,5252,951,91,3055,484,6,6,0,6,0,1971843000,2636204000,1692800000,0,0
22,2,2114,1145,4511,947,87,3048,477,6,6,0,6,0,1971088000,2645503000,1683501000,0,0
23,2,2114,1145,4551,947,87,3048,477,6,6,0,6,0,1971088000,2645503000,1683501000,0,0
24,2,2114,1145,5115,948,88,3050,479,7,6,0,7,1,1988397000,3085059000,1243945000,0,0
25,2,2114,1145,5511,948,88,3050,479,7,6,0,7,1,1988397000,3085059000,1243945000,0,0
