intervention_id,intervention_size,block_code_a,block_code_b,candidate_touch_count,cut_edge_touch_count,opposite_pair_touch_count,state_count,new_state_count,edge_count,new_edge_count,cut_edge_count,old_cut_edge_still_cut_count,old_cut_edge_same_side_count,promoted_cut_edge_count,promoted_only_cut_edge_count,lambda_2_x1e12,cut_conductance_x1e12,conductance_reduction_x1e12,support_changed_flag,selected_best_flag
0,1,1451,-1,6,6,3,872,12,2605,34,6,6,0,6,0,2411093000,4329004000,0,0,0
1,1,4512,-1,5,5,2,868,8,2594,23,6,6,0,6,0,2414110000,4329004000,0,0,0
2,1,4552,-1,5,5,2,860,0,2571,0,6,6,0,6,0,2422953000,4329004000,0,0,0
3,1,5125,-1,5,5,2,877,17,2611,40,7,6,0,7,1,2533207000,5032351000,-703347000,0,0
4,1,1255,-1,3,3,0,891,31,2680,109,7,6,0,7,1,2524570000,4467135000,-138131000,0,0
5,1,5255,-1,3,3,0,885,25,2666,95,6,6,0,6,0,2463337000,3816794000,512210000,0,0
6,1,1252,-1,2,2,0,870,10,2593,22,6,6,0,6,0,2522363000,4231312000,97692000,0,0
7,1,2145,-1,2,1,0,951,91,2951,380,11,6,0,11,5,2726629000,5437469000,-1108465000,0,0
8,1,5252,-1,2,2,0,871,11,2597,26,6,6,0,6,0,2545901000,4201681000,127323000,0,0
9,2,1451,4512,11,6,3,872,12,2605,34,6,6,0,6,0,2411093000,4329004000,0,0,0
10,2,1451,4552,11,6,3,872,12,2605,34,6,6,0,6,0,2411093000,4329004000,0,0,0
11,2,1451,5125,11,6,3,881,21,2622,51,7,6,0,7,1,2530061000,5032351000,-703347000,0,0
12,2,1451,1255,9,6,3,902,42,2713,142,7,6,0,7,1,2511471000,4467135000,-138131000,0,0
13,2,1451,5255,9,6,3,896,36,2698,127,6,6,0,6,0,2450547000,3816794000,512210000,0,0
14,2,1451,1252,8,6,3,882,22,2627,56,6,6,0,6,0,2509977000,4231312000,97692000,0,0
15,2,1451,2145,8,6,3,954,94,2959,388,11,6,0,11,5,2721508000,5437469000,-1108465000,0,0
16,2,1451,5252,8,6,3,882,22,2629,58,6,6,0,6,0,2533812000,4201681000,127323000,0,0
17,2,4512,4552,10,5,2,868,8,2594,23,6,6,0,6,0,2414110000,4329004000,0,0,0
18,2,4512,5125,10,5,2,877,17,2611,40,7,6,0,7,1,2533207000,5032351000,-703347000,0,0
19,2,4512,1255,8,5,2,898,38,2702,131,7,6,0,7,1,2514900000,4467135000,-138131000,0,0
20,2,4512,5255,8,5,2,893,33,2689,118,6,6,0,6,0,2453255000,3816794000,512210000,0,0
21,2,4512,1252,7,5,2,878,18,2616,45,6,6,0,6,0,2513155000,4231312000,97692000,0,0
22,2,4512,2145,7,6,3,954,94,2959,388,11,6,0,11,5,2721508000,5437469000,-1108465000,0,0
23,2,4512,5252,7,5,2,879,19,2620,49,6,6,0,6,0,2536389000,4201681000,127323000,0,0
24,2,4552,5125,10,5,2,877,17,2611,40,7,6,0,7,1,2533207000,5032351000,-703347000,0,0
25,2,4552,1255,8,5,2,891,31,2680,109,7,6,0,7,1,2524570000,4467135000,-138131000,0,0
26,2,4552,5255,8,5,2,885,25,2666,95,6,6,0,6,0,2463337000,3816794000,512210000,0,0
27,2,4552,1252,7,5,2,870,10,2593,22,6,6,0,6,0,2522363000,4231312000,97692000,0,0
28,2,4552,2145,7,6,3,951,91,2951,380,11,6,0,11,5,2726629000,5437469000,-1108465000,0,0
29,2,4552,5252,7,5,2,871,11,2597,26,6,6,0,6,0,2545901000,4201681000,127323000,0,0
30,2,5125,1255,8,5,2,900,40,2707,136,7,6,0,7,1,2520245000,4467135000,-138131000,0,0
31,2,5125,5255,8,5,2,901,41,2706,135,11,6,0,11,5,2592567000,6922593000,-2593589000,0,0
32,2,5125,1252,7,5,2,885,25,2631,60,7,6,0,7,1,2636925000,4919185000,-590181000,0,0
33,2,5125,2145,7,6,3,955,95,2962,391,11,6,0,11,5,2723154000,5437469000,-1108465000,0,0
34,2,5125,5252,7,5,2,887,27,2637,66,7,6,0,7,1,2655982000,4857738000,-528734000,0,0
35,2,1255,5255,6,3,0,915,55,2779,208,8,6,0,8,2,2658022000,4530011000,-201007000,0,0
36,2,1255,1252,5,5,2,900,40,2712,141,7,6,0,7,1,2528551000,4355943000,-26939000,0,0
37,2,1255,2145,5,4,1,962,102,3006,435,11,6,0,11,5,2644401000,5186233000,-857229000,0,0
38,2,1255,5252,5,5,2,902,42,2712,141,7,6,0,7,1,2548410000,4313001000,16003000,0,0
39,2,5255,1252,5,5,2,894,34,2686,115,6,6,0,6,0,2464579000,3750000000,579004000,0,0
40,2,5255,2145,5,4,1,960,100,3000,429,11,6,0,11,5,2657173000,5186233000,-857229000,0,0
41,2,5255,5252,5,5,2,894,34,2695,124,6,6,0,6,0,2451808000,3708282000,620722000,0,1
42,2,1252,2145,4,3,0,954,94,2962,391,11,6,0,11,5,2709411000,5378973000,-1049969000,0,0
43,2,1252,5252,4,2,0,878,18,2615,44,6,6,0,6,0,2561465000,4115226000,213778000,0,0
44,2,2145,5252,4,3,0,951,91,2951,380,11,6,0,11,5,2726629000,5437469000,-1108465000,0,0
