block_id,block,block_code,touch_count,cut_edge_touch_count,opposite_pair_touch_count,already_promoted_flag,candidate_flag
0,1.4.5.1,1451,6,6,3,0,1
1,1.4.5.5,1455,6,6,3,1,0
2,4.5.1.2,4512,5,5,2,0,1
3,4.5.5.2,4552,5,5,2,0,1
4,5.1.2.5,5125,5,5,2,0,1
5,5.5.2.5,5525,5,5,2,1,0
6,1.2.5.5,1255,3,3,0,0,1
7,5.2.5.5,5255,3,3,0,0,1
8,1.2.5.2,1252,2,2,0,0,1
9,2.1.4.5,2145,2,1,0,0,1
10,5.2.5.2,5252,2,2,0,0,1
11,4.5.1.1,4511,1,1,0,0,0
12,4.5.5.1,4551,1,1,0,0,0
13,5.1.1.5,5115,1,1,0,0,0
14,5.5.1.1,5511,1,1,0,0,0
