triple_id,block_code_a,block_code_b,block_code_c,candidate_touch_count,cut_edge_touch_count,full_face_count,max_face_edge_touch_count,state_count,new_state_count,edge_count,new_edge_count,cut_edge_count,old_cut_edge_still_cut_count,old_cut_edge_same_side_count,promoted_cut_edge_count,promoted_only_cut_edge_count,lambda_2_x1e12,cut_conductance_x1e12,conductance_reduction_x1e12,support_changed_flag,selected_best_flag
0,1451,4512,4552,16,6,4,3,872,12,2605,34,6,6,0,6,0,2411093000,4329004000,0,0,0
1,1451,4512,5125,16,6,4,3,881,21,2622,51,7,6,0,7,1,2530061000,5032351000,-703347000,0,0
2,1451,4512,1255,14,6,4,3,902,42,2713,142,7,6,0,7,1,2511471000,4467135000,-138131000,0,0
3,1451,4512,5255,14,6,4,3,896,36,2698,127,6,6,0,6,0,2450547000,3816794000,512210000,0,0
4,1451,4512,1252,13,6,4,3,882,22,2627,56,6,6,0,6,0,2509977000,4231312000,97692000,0,0
5,1451,4512,2145,13,6,4,3,954,94,2959,388,11,6,0,11,5,2721508000,5437469000,-1108465000,0,0
6,1451,4512,5252,13,6,4,3,882,22,2629,58,6,6,0,6,0,2533812000,4201681000,127323000,0,0
7,1451,4552,5125,16,6,4,3,881,21,2622,51,7,6,0,7,1,2530061000,5032351000,-703347000,0,0
8,1451,4552,1255,14,6,4,3,902,42,2713,142,7,6,0,7,1,2511471000,4467135000,-138131000,0,0
9,1451,4552,5255,14,6,4,3,896,36,2698,127,6,6,0,6,0,2450547000,3816794000,512210000,0,0
10,1451,4552,1252,13,6,4,3,882,22,2627,56,6,6,0,6,0,2509977000,4231312000,97692000,0,0
11,1451,4552,2145,13,6,4,3,954,94,2959,388,11,6,0,11,5,2721508000,5437469000,-1108465000,0,0
12,1451,4552,5252,13,6,4,3,882,22,2629,58,6,6,0,6,0,2533812000,4201681000,127323000,0,0
13,1451,5125,1255,14,6,4,3,904,44,2718,147,7,6,0,7,1,2516792000,4467135000,-138131000,0,0
14,1451,5125,5255,14,6,4,3,904,44,2715,144,11,6,0,11,5,2589734000,6922593000,-2593589000,0,0
15,1451,5125,1252,13,6,4,3,889,29,2642,71,7,6,0,7,1,2633623000,4919185000,-590181000,0,0
16,1451,5125,2145,13,6,4,3,955,95,2962,391,11,6,0,11,5,2723154000,5437469000,-1108465000,0,0
17,1451,5125,5252,13,6,4,3,890,30,2646,75,7,6,0,7,1,2653299000,4857738000,-528734000,0,0
18,1451,1255,5255,12,6,4,3,925,65,2810,239,8,6,0,8,2,2644626000,4530011000,-201007000,0,0
19,1451,1255,1252,11,6,4,3,911,51,2745,174,7,6,0,7,1,2515543000,4355943000,-26939000,0,0
20,1451,1255,2145,11,6,4,3,965,105,3014,443,11,6,0,11,5,2639289000,5186233000,-857229000,0,0
21,1451,1255,5252,11,6,4,3,912,52,2743,172,7,6,0,7,1,2535761000,4313001000,16003000,0,0
22,1451,5255,1252,11,6,4,3,905,45,2718,147,6,6,0,6,0,2451943000,3750000000,579004000,0,0
23,1451,5255,2145,11,6,4,3,963,103,3008,437,11,6,0,11,5,2652027000,5186233000,-857229000,0,0
24,1451,5255,5252,11,6,4,3,904,44,2724,153,6,6,0,6,0,2440016000,3708282000,620722000,0,0
25,1451,1252,2145,10,6,4,3,957,97,2970,399,11,6,0,11,5,2704286000,5378973000,-1049969000,0,0
26,1451,1252,5252,10,6,4,3,889,29,2647,76,6,6,0,6,0,2549255000,4115226000,213778000,0,0
27,1451,2145,5252,10,6,4,3,954,94,2959,388,11,6,0,11,5,2721508000,5437469000,-1108465000,0,0
28,4512,4552,5125,15,5,2,3,877,17,2611,40,7,6,0,7,1,2533207000,5032351000,-703347000,0,0
29,4512,4552,1255,13,5,2,3,898,38,2702,131,7,6,0,7,1,2514900000,4467135000,-138131000,0,0
30,4512,4552,5255,13,5,2,3,893,33,2689,118,6,6,0,6,0,2453255000,3816794000,512210000,0,0
31,4512,4552,1252,12,5,2,3,878,18,2616,45,6,6,0,6,0,2513155000,4231312000,97692000,0,0
32,4512,4552,2145,12,6,4,3,954,94,2959,388,11,6,0,11,5,2721508000,5437469000,-1108465000,0,0
33,4512,4552,5252,12,5,2,3,879,19,2620,49,6,6,0,6,0,2536389000,4201681000,127323000,0,0
34,4512,5125,1255,13,5,2,3,900,40,2707,136,7,6,0,7,1,2520245000,4467135000,-138131000,0,0
35,4512,5125,5255,13,5,2,3,901,41,2706,135,11,6,0,11,5,2592567000,6922593000,-2593589000,0,0
36,4512,5125,1252,12,5,2,3,885,25,2631,60,7,6,0,7,1,2636925000,4919185000,-590181000,0,0
37,4512,5125,2145,12,6,4,3,955,95,2962,391,11,6,0,11,5,2723154000,5437469000,-1108465000,0,0
38,4512,5125,5252,12,5,2,3,887,27,2637,66,7,6,0,7,1,2655982000,4857738000,-528734000,0,0
39,4512,1255,5255,11,5,2,3,922,62,2801,230,8,6,0,8,2,2647673000,4530011000,-201007000,0,0
40,4512,1255,1252,10,5,2,3,907,47,2734,163,7,6,0,7,1,2519034000,4355943000,-26939000,0,0
41,4512,1255,2145,10,6,4,3,965,105,3014,443,11,6,0,11,5,2639289000,5186233000,-857229000,0,0
42,4512,1255,5252,10,5,2,3,909,49,2734,163,7,6,0,7,1,2538598000,4313001000,16003000,0,0
43,4512,5255,1252,10,5,2,3,902,42,2709,138,6,6,0,6,0,2454667000,3750000000,579004000,0,0
