component_id,cell_count,edge_count,native_cell_count,derived_only_cell_count,left_boundary_flag,right_boundary_flag,gate_word_flag,merged_boundary_flag,min_variation,max_closed_path_count
0,787,2501,532,255,1,1,1,1,127,1800
1,15,21,15,0,0,0,0,0,173,1200
2,11,13,0,11,0,0,0,0,161,552
3,6,5,0,6,0,0,0,0,217,1200
4,4,3,4,0,0,0,0,0,173,900
5,2,1,1,1,0,0,0,0,193,16
6,2,1,1,1,0,0,0,0,193,16
7,2,1,2,0,0,0,0,0,153,120
8,2,1,0,2,0,0,0,0,161,320
9,2,1,2,0,0,0,0,0,215,48
10,2,1,0,2,0,0,0,0,185,80
11,1,0,1,0,0,0,0,0,169,180
12,1,0,0,1,0,0,0,0,187,12
13,1,0,0,1,0,0,0,0,213,96
14,1,0,0,1,0,0,0,0,187,48
15,1,0,1,0,0,0,0,0,201,16
16,1,0,0,1,0,0,0,0,161,240
17,1,0,0,1,0,0,0,0,189,128
18,1,0,1,0,0,0,0,0,215,36
19,1,0,0,1,0,0,0,0,185,60
20,1,0,1,0,0,0,0,0,221,92
21,1,0,1,0,0,0,0,0,215,92
