transfer_edge_id,source_state_id,target_state_id,edge_weight,native_transition_flag,derived_transition_flag,derived_only_transition_flag,spectral_cut_edge_flag,boundary_path_edge_flag,undirected_stationary_flux_x1e12,source_to_target_probability_x1e12,target_to_source_probability_x1e12,source_stationary_mass_x1e12,target_stationary_mass_x1e12
0,0,1,1,0,1,1,0,0,171320884,166666666667,142857142858,513962652,599623094
1,0,5,1,0,1,1,0,0,171320884,166666666667,142857142858,513962652,599623094
2,0,19,1,0,1,1,0,0,171320884,166666666667,27777777778,513962652,3083775913
3,0,30,1,0,1,1,0,0,171320884,166666666667,200000000000,513962652,428302210
4,0,33,1,0,1,1,0,0,171320884,166666666666,200000000000,513962652,428302210
5,0,61,1,0,1,1,0,0,171320884,166666666666,250000000000,513962652,342641768
6,1,3,1,0,1,1,0,0,171320884,142857142857,166666666667,599623094,513962652
7,1,19,1,0,1,1,0,0,171320884,142857142857,27777777778,599623094,3083775913
8,1,28,1,0,1,1,0,0,171320884,142857142857,250000000000,599623094,342641768
9,1,31,1,0,1,1,0,0,171320884,142857142857,100000000000,599623094,856604420
10,1,32,1,0,1,1,0,0,171320884,142857142857,125000000000,599623094,685283536
11,1,35,1,0,1,1,0,0,171320884,142857142857,125000000000,599623094,685283536
12,2,3,1,0,1,1,0,0,171320884,200000000000,166666666667,428302210,513962652
13,2,4,1,0,1,1,0,0,171320884,200000000000,166666666667,428302210,513962652
14,2,7,1,0,1,1,0,0,171320884,200000000000,90909090910,428302210,942264862
15,2,19,1,0,1,1,0,0,171320884,200000000000,27777777778,428302210,3083775913
16,2,34,1,0,1,1,0,0,171320884,200000000000,166666666667,428302210,513962652
17,3,5,1,0,1,1,0,0,171320884,166666666667,142857142857,513962652,599623094
18,3,19,1,0,1,1,0,0,171320884,166666666667,27777777778,513962652,3083775913
19,3,27,1,0,1,1,0,0,171320884,166666666666,111111111112,513962652,770943978
20,3,35,1,0,1,1,0,0,171320884,166666666666,125000000000,513962652,685283536
21,4,5,1,0,1,1,0,0,171320884,166666666667,142857142857,513962652,599623094
22,4,7,1,0,1,1,0,0,171320884,166666666667,90909090909,513962652,942264862
23,4,9,1,0,1,1,0,0,171320884,166666666667,200000000000,513962652,428302210
24,4,19,1,0,1,1,0,0,171320884,166666666666,27777777778,513962652,3083775913
25,4,36,1,0,1,1,0,0,171320884,166666666666,125000000000,513962652,685283536
26,5,19,1,0,1,1,0,0,171320884,142857142857,27777777778,599623094,3083775913
27,5,27,1,0,1,1,0,0,171320884,142857142857,111111111111,599623094,770943978
28,5,30,1,0,1,1,0,0,171320884,142857142857,200000000000,599623094,428302210
29,5,37,1,0,1,1,0,0,171320884,142857142857,125000000000,599623094,685283536
30,6,7,1,0,1,1,0,0,171320884,200000000000,90909090909,428302210,942264862
31,6,8,1,0,1,1,0,0,171320884,200000000000,166666666667,428302210,513962652
32,6,11,1,0,1,1,0,0,171320884,200000000000,166666666667,428302210,513962652
33,6,19,1,0,1,1,0,0,171320884,200000000000,27777777778,428302210,3083775913
34,6,38,1,0,1,1,0,0,171320884,200000000000,142857142858,428302210,599623094
35,7,8,1,0,1,1,0,0,171320884,90909090909,166666666667,942264862,513962652
36,7,12,1,0,1,1,0,0,171320884,90909090909,200000000000,942264862,428302210
37,7,19,1,0,1,1,0,0,171320884,90909090909,27777777778,942264862,3083775913
38,7,29,1,0,1,1,0,0,171320884,90909090909,166666666667,942264862,513962652
39,7,31,1,0,1,1,0,0,171320884,90909090909,100000000000,942264862,856604420
40,7,36,1,0,1,1,0,0,171320884,90909090909,125000000000,942264862,685283536
41,7,39,1,0,1,1,0,0,171320884,90909090909,90909090910,942264862,942264862
42,7,64,1,0,1,1,0,0,171320884,90909090909,125000000000,942264862,685283536
43,8,9,1,0,1,1,0,0,171320884,166666666667,200000000000,513962652,428302210
44,8,19,1,0,1,1,0,0,171320884,166666666667,27777777778,513962652,3083775913
45,8,24,1,0,1,1,0,0,171320884,166666666666,142857142858,513962652,599623094
46,8,40,1,0,1,1,0,0,171320884,166666666666,125000000000,513962652,685283536
47,9,19,1,0,1,1,0,0,171320884,200000000000,27777777778,428302210,3083775913
48,9,27,1,0,1,1,0,0,171320884,200000000000,111111111111,428302210,770943978
49,9,41,1,0,1,1,0,0,171320884,200000000000,166666666667,428302210,513962652
50,10,11,1,0,1,1,0,0,171320884,166666666667,166666666667,513962652,513962652
51,10,12,1,0,1,1,0,0,171320884,166666666667,200000000000,513962652,428302210
52,10,13,1,0,1,1,0,0,171320884,166666666667,125000000000,513962652,685283536
53,10,19,1,0,1,1,0,0,171320884,166666666667,27777777778,513962652,3083775913
54,10,26,1,0,1,1,0,0,171320884,166666666666,166666666667,513962652,513962652
55,10,42,1,0,1,1,0,0,171320884,166666666666,142857142858,513962652,599623094
56,11,19,1,0,1,1,0,0,171320884,166666666667,27777777778,513962652,3083775913
57,11,24,1,0,1,1,0,0,171320884,166666666667,142857142857,513962652,599623094
58,11,27,1,0,1,1,0,0,171320884,166666666666,111111111111,513962652,770943978
59,11,43,1,0,1,1,0,0,171320884,166666666666,142857142858,513962652,599623094
60,12,19,1,0,1,1,0,0,171320884,200000000000,27777777778,428302210,3083775913
61,12,26,1,0,1,1,0,0,171320884,200000000000,166666666667,428302210,513962652
62,12,44,1,0,1,1,0,0,171320884,200000000000,142857142858,428302210,599623094
63,13,14,1,0,1,1,0,0,171320884,125000000000,166666666667,685283536,513962652
64,13,16,1,0,1,1,0,0,171320884,125000000000,200000000000,685283536,428302210
65,13,18,1,0,1,1,0,0,171320884,125000000000,200000000000,685283536,428302210
66,13,19,1,0,1,1,0,0,171320884,125000000000,27777777778,685283536,3083775913
67,13,24,1,0,1,1,0,0,171320884,125000000000,142857142857,685283536,599623094
68,13,25,1,0,1,1,0,0,171320884,125000000000,200000000000,685283536,428302210
69,13,45,1,0,1,1,0,0,171320884,125000000000,111111111112,685283536,770943978
70,14,15,1,0,1,1,0,0,171320884,166666666667,200000000000,513962652,428302210
71,14,19,1,0,1,1,0,0,171320884,166666666667,27777777778,513962652,3083775913
72,14,22,1,0,1,1,0,0,171320884,166666666667,200000000000,513962652,428302210
73,14,23,1,0,1,1,0,0,171320884,166666666666,166666666667,513962652,513962652
74,14,46,1,0,1,1,0,0,171320884,166666666666,142857142858,513962652,599623094
75,15,19,1,0,1,1,0,0,171320884,200000000000,27777777778,428302210,3083775913
76,15,22,1,0,1,1,0,0,171320884,200000000000,200000000000,428302210,428302210
