observable_id,observable_code,value_x1e12,aux_id
0,0,787000000000000,-1
1,1,2501000000000000,-1
2,2,5837000000000000,-1
3,3,11674000000000000,-1
4,4,1668000000000000,-1
5,5,833000000000000,-1
6,6,746000000000000,-1
7,7,5004000000000000,-1
8,8,833000000000000,-1
9,9,6000000000000,-1
10,10,6000000000000,-1
11,11,1027925000,-1
12,12,4464286000,-1
13,13,884872366000,-1
14,14,115127634000,-1
15,15,49389559000,-1
16,16,294814140000,-1
17,17,132863678000,-1
18,18,192310698000,-1
19,19,41209484000,-1
20,20,2141511000,-1
21,21,770944000,-1
22,22,1627548000,-1
23,23,7623779000,-1
24,24,443000000000000,-1
