global_rank,prefix_class_rank,strongification_witness_id,prefix_class_id,edit_cost,substitution_count,insertion_count,word_length,symbol_0_id,symbol_1_id,symbol_2_id,symbol_3_id,symbol_4_id,symbol_5_id,symbol_6_id,symbol_7_id,symbol_8_id,symbol_9_id,trace_node_count,trace_node_0_id,trace_node_1_id,trace_node_2_id,trace_node_3_id,trace_node_4_id,trace_node_5_id,trace_node_6_id,trace_node_7_id,trace_node_8_id,trace_node_9_id,trace_node_10_id,trace_node_11_id,trace_detour_overhead,signature_valley_depth,metric_gromov_delta_twice,trace_signature_total_variation,closed_path_count,target_last_symbol_rank,first_node44_consumed_symbol_count,score_dominator_count,score_pareto_flag,closure_augmented_dominator_count,closure_augmented_pareto_flag,source_best_score_flag,global_lexicographic_best_flag,prefix_class_best_flag
1,1,17,1,3,0,3,10,2,1,3,4,1,5,2,1,4,5,9,48,42,27,31,34,29,28,34,44,-1,-1,-1,6,37,1,143,8,9,10,0,1,0,1,1,1,1
2,2,14,1,3,1,2,9,2,1,3,4,1,2,0,4,5,-1,9,48,42,27,31,28,7,13,19,44,-1,-1,-1,6,45,4,189,8,8,9,1,0,1,0,0,0,0
3,3,15,1,3,1,2,9,2,1,3,4,1,2,1,4,5,-1,9,48,42,27,31,28,22,28,34,44,-1,-1,-1,6,65,2,229,8,8,9,1,0,1,0,0,0,0
4,4,12,1,3,0,3,10,2,1,3,4,0,5,2,0,4,5,10,48,42,27,31,16,19,14,13,19,44,-1,-1,7,37,2,151,4,9,10,1,0,1,0,0,0,0
5,5,16,1,3,0,3,10,2,1,3,4,1,5,2,0,4,5,10,48,42,27,31,34,29,14,13,19,44,-1,-1,7,37,3,151,8,9,10,2,0,1,0,0,0,0
6,6,11,1,3,1,2,9,2,1,3,4,0,2,1,4,5,-1,10,48,42,27,31,16,13,7,28,34,44,-1,-1,7,45,3,189,4,8,9,3,0,3,0,0,0,0
7,1,6,0,3,0,3,9,2,1,4,5,1,2,0,4,5,-1,10,48,42,27,28,34,29,7,13,19,44,-1,-1,7,45,3,205,2,8,9,4,0,4,0,1,0,1
8,2,2,0,3,0,3,9,2,1,4,0,5,2,0,4,5,-1,10,48,42,27,28,9,19,14,13,19,44,-1,-1,7,52,2,219,4,8,9,2,0,2,0,0,0,0
9,3,1,0,3,1,2,8,2,1,4,0,2,1,4,5,-1,-1,10,48,42,27,28,9,13,7,28,34,44,-1,-1,7,52,2,257,4,7,8,3,0,3,0,0,0,0
10,4,7,0,3,0,3,9,2,1,4,5,1,2,1,4,5,-1,10,48,42,27,28,34,29,22,28,34,44,-1,-1,7,65,2,245,2,8,9,4,0,4,0,0,0,0
11,7,10,1,3,1,2,9,2,1,3,4,0,2,0,4,5,-1,10,48,42,27,31,16,13,2,13,19,44,-1,-1,7,66,2,231,4,8,9,4,0,4,0,0,0,0
12,5,0,0,3,1,2,8,2,1,4,0,2,0,4,5,-1,-1,10,48,42,27,28,9,13,2,13,19,44,-1,-1,7,66,2,299,4,7,8,7,0,6,0,0,0,0
13,8,13,1,3,0,3,10,2,1,3,4,0,5,2,1,4,5,11,48,42,27,31,16,19,14,29,28,34,44,-1,8,37,4,145,4,9,10,1,0,1,0,0,0,0
14,6,5,0,3,0,3,9,2,1,4,5,0,2,1,4,5,-1,11,48,42,27,28,34,19,14,7,28,34,44,-1,8,45,2,205,2,8,9,2,0,2,0,0,0,0
15,9,19,1,3,0,3,10,2,1,3,4,5,0,2,1,4,5,11,48,42,27,31,50,19,14,7,28,34,44,-1,8,45,4,207,4,9,10,8,0,6,0,0,0,0
16,10,20,1,3,0,3,10,2,1,3,4,5,1,2,0,4,5,11,48,42,27,31,50,34,29,7,13,19,44,-1,8,45,4,215,4,9,10,9,0,7,0,0,0,0
17,7,9,0,3,0,3,9,2,1,4,5,5,2,1,4,5,-1,11,48,42,27,28,34,54,45,29,28,34,44,-1,8,49,2,213,12,8,9,3,0,0,1,0,0,0
18,11,23,1,3,0,3,10,2,1,3,4,5,5,2,1,4,5,11,48,42,27,31,50,54,45,29,28,34,44,-1,8,49,4,161,24,9,10,4,0,0,1,0,0,0
19,12,22,1,3,0,3,10,2,1,3,4,5,5,2,0,4,5,11,48,42,27,31,50,54,45,14,13,19,44,-1,8,49,4,167,24,9,10,5,0,1,0,0,0,0
20,8,8,0,3,0,3,9,2,1,4,5,5,2,0,4,5,-1,11,48,42,27,28,34,54,45,14,13,19,44,-1,8,49,4,219,12,8,9,13,0,3,0,0,0,0
21,9,3,0,3,0,3,9,2,1,4,0,5,2,1,4,5,-1,11,48,42,27,28,9,19,14,29,28,34,44,-1,8,52,1,213,4,8,9,1,0,1,0,0,0,0
22,13,21,1,3,0,3,10,2,1,3,4,5,1,2,1,4,5,11,48,42,27,31,50,34,29,22,28,34,44,-1,8,65,2,255,4,9,10,8,0,6,0,0,0,0
23,10,4,0,3,0,3,9,2,1,4,5,0,2,0,4,5,-1,11,48,42,27,28,34,19,14,2,13,19,44,-1,8,66,2,247,2,8,9,9,0,9,0,0,0,0
24,14,18,1,3,0,3,10,2,1,3,4,5,0,2,0,4,5,11,48,42,27,31,50,19,14,2,13,19,44,-1,8,66,2,249,4,9,10,10,0,7,0,0,0,0
