candidate_id,rank_order,carrier_0_id,carrier_1_id,carrier_2_id,carrier_3_id,carrier_4_id,cell_edge_0_id,cell_edge_1_id,cell_edge_2_id,cell_edge_3_id,symbol_0_id,symbol_1_id,symbol_2_id,symbol_3_id,cycle_window_node_0_id,cycle_window_node_1_id,cycle_window_node_2_id,cycle_window_node_3_id,trace_node_count,trace_edge_count,trace_detour_overhead,trace_signature_total_variation,signature_valley_depth,trace_min_signature_after_node42,metric_gromov_delta_twice,metric_diameter,metric_radius,first_node44_trace_rank,geodesic_equivalent_flag,x1_tail_preserving_flag,x0_tail_flag,selected_tail_cycle_flag,best_rank_flag
0,1,12,10,13,6,12,39,40,26,25,2,5,4,3,44,50,41,42,3,2,0,53,0,185,0,2,1,2,1,0,0,0,1
1,2,12,10,13,7,12,39,40,30,29,2,5,4,3,44,50,41,42,3,2,0,53,0,185,0,2,1,2,1,0,0,0,1
2,3,12,10,13,8,12,39,40,33,32,2,5,4,3,44,50,41,42,3,2,0,53,0,185,0,2,1,2,1,0,0,0,1
3,4,12,11,13,6,12,41,42,26,25,2,5,4,3,44,50,41,42,3,2,0,53,0,185,0,2,1,2,1,0,0,0,1
4,5,12,11,13,7,12,41,42,30,29,2,5,4,3,44,50,41,42,3,2,0,53,0,185,0,2,1,2,1,0,0,0,1
5,6,12,11,13,8,12,41,42,33,32,2,5,4,3,44,50,41,42,3,2,0,53,0,185,0,2,1,2,1,0,0,0,1
6,7,12,3,8,13,12,14,11,33,43,2,1,4,5,28,34,44,29,6,5,3,127,37,146,1,3,2,5,0,1,0,1,0
7,8,12,11,8,13,12,41,31,33,43,2,1,4,5,28,34,44,29,6,5,3,127,37,146,1,3,2,5,0,1,0,0,0
8,9,12,3,7,13,12,14,10,30,43,2,0,4,5,13,19,44,14,6,5,3,135,41,142,1,3,2,5,0,0,1,0,0
9,10,12,11,7,13,12,41,28,30,43,2,0,4,5,13,19,44,14,6,5,3,135,41,142,1,3,2,5,0,0,1,0,0
