candidate_id,rank_order,first_contact_edge_id,trace_detour_overhead,signature_valley_depth,metric_gromov_delta_twice,typed_boundary_cost,geodesic_optimal_flag,pareto_frontier_flag,dominated_flag,carrier_mask_pure_x2_flag,carrier_mask_mixed_x2_x5_flag,atom_level_x2_witness_flag,atom_x5_cowitness_flag,requires_atom_selector_flag,ambiguity_intrinsic_in_carrier_quotient_flag
0,1,39,0,0,0,2,1,1,0,0,1,1,1,1,1
1,2,39,0,0,0,2,1,1,0,0,1,1,1,1,1
2,3,39,0,0,0,2,1,1,0,0,1,1,1,1,1
3,4,41,0,0,0,2,1,1,0,0,1,1,1,1,1
4,5,41,0,0,0,2,1,1,0,0,1,1,1,1,1
5,6,41,0,0,0,2,1,1,0,0,1,1,1,1,1
6,7,14,3,37,1,0,0,1,0,1,0,1,0,0,0
7,8,41,3,37,1,1,0,0,1,0,1,1,1,1,1
8,9,14,3,41,1,1,0,0,1,1,0,1,0,0,0
9,10,41,3,41,1,2,0,0,1,0,1,1,1,1,1
