scope_code,word_id,prefix_length,required_symbol_id,path_count,distinct_start_carrier_count,distinct_end_carrier_count,first_missing_flag,full_word_flag
0,0,1,2,4,1,4,0,0
0,0,2,1,6,1,4,0,0
0,0,3,4,8,1,4,0,0
0,0,4,2,0,0,0,1,0
0,0,5,5,0,0,0,0,0
1,0,1,2,20,5,5,0,0
1,0,2,1,24,5,4,0,0
1,0,3,4,32,5,4,0,0
1,0,4,2,0,0,0,1,0
1,0,5,5,0,0,0,0,0
0,1,1,2,4,1,4,0,0
0,1,2,1,6,1,4,0,0
0,1,3,5,4,1,4,0,0
0,1,4,2,8,1,5,0,0
0,1,5,4,0,0,0,1,0
1,1,1,2,20,5,5,0,0
1,1,2,1,24,5,4,0,0
1,1,3,5,16,4,4,0,0
1,1,4,2,32,4,5,0,0
1,1,5,4,0,0,0,1,0
