closed_path_id,repair_id,target_word_id,closure_suffix_length,closure_suffix_symbol_0_id,closure_suffix_symbol_1_id,path_symbol_length,carrier_0_id,carrier_1_id,carrier_2_id,carrier_3_id,carrier_4_id,carrier_5_id,carrier_6_id,carrier_7_id,carrier_8_id,carrier_9_id,cell_edge_0_id,cell_edge_1_id,cell_edge_2_id,cell_edge_3_id,cell_edge_4_id,cell_edge_5_id,cell_edge_6_id,cell_edge_7_id,cell_edge_8_id,selected_atom_0_id,selected_atom_1_id,selected_atom_2_id,selected_atom_3_id,selected_atom_4_id,selected_atom_5_id,selected_atom_6_id,selected_atom_7_id,selected_atom_8_id
0,0,0,0,-1,-1,6,12,3,8,13,10,11,12,-1,-1,-1,14,11,33,40,38,41,-1,-1,-1,7,4,12,19,7,19,-1,-1,-1
1,0,0,0,-1,-1,6,12,3,8,13,11,10,12,-1,-1,-1,14,11,33,42,38,39,-1,-1,-1,7,4,12,19,7,19,-1,-1,-1
2,0,0,0,-1,-1,6,12,3,8,13,12,10,12,-1,-1,-1,14,11,33,43,39,39,-1,-1,-1,7,4,12,19,7,19,-1,-1,-1
3,0,0,0,-1,-1,6,12,3,8,13,12,11,12,-1,-1,-1,14,11,33,43,41,41,-1,-1,-1,7,4,12,19,7,19,-1,-1,-1
4,0,0,0,-1,-1,6,12,11,8,13,10,11,12,-1,-1,-1,41,31,33,40,38,41,-1,-1,-1,7,4,12,19,7,19,-1,-1,-1
5,0,0,0,-1,-1,6,12,11,8,13,11,10,12,-1,-1,-1,41,31,33,42,38,39,-1,-1,-1,7,4,12,19,7,19,-1,-1,-1
6,0,0,0,-1,-1,6,12,11,8,13,12,10,12,-1,-1,-1,41,31,33,43,39,39,-1,-1,-1,7,4,12,19,7,19,-1,-1,-1
7,0,0,0,-1,-1,6,12,11,8,13,12,11,12,-1,-1,-1,41,31,33,43,41,41,-1,-1,-1,7,4,12,19,7,19,-1,-1,-1
8,1,1,1,3,-1,7,12,3,11,10,11,13,6,12,-1,-1,14,13,38,38,42,26,25,-1,-1,7,4,19,7,19,12,11,-1,-1
9,1,1,1,3,-1,7,12,3,11,10,11,13,7,12,-1,-1,14,13,38,38,42,30,29,-1,-1,7,4,19,7,19,12,11,-1,-1
10,1,1,1,3,-1,7,12,3,11,10,11,13,8,12,-1,-1,14,13,38,38,42,33,32,-1,-1,7,4,19,7,19,12,11,-1,-1
11,1,1,1,3,-1,7,12,3,11,10,12,13,6,12,-1,-1,14,13,38,39,43,26,25,-1,-1,7,4,19,7,19,12,11,-1,-1
12,1,1,1,3,-1,7,12,3,11,10,12,13,7,12,-1,-1,14,13,38,39,43,30,29,-1,-1,7,4,19,7,19,12,11,-1,-1
13,1,1,1,3,-1,7,12,3,11,10,12,13,8,12,-1,-1,14,13,38,39,43,33,32,-1,-1,7,4,19,7,19,12,11,-1,-1
14,1,1,1,3,-1,7,12,3,11,12,10,13,6,12,-1,-1,14,13,41,39,40,26,25,-1,-1,7,4,19,7,19,12,11,-1,-1
15,1,1,1,3,-1,7,12,3,11,12,10,13,7,12,-1,-1,14,13,41,39,40,30,29,-1,-1,7,4,19,7,19,12,11,-1,-1
16,1,1,1,3,-1,7,12,3,11,12,10,13,8,12,-1,-1,14,13,41,39,40,33,32,-1,-1,7,4,19,7,19,12,11,-1,-1
17,1,1,1,3,-1,7,12,3,11,12,11,13,6,12,-1,-1,14,13,41,41,42,26,25,-1,-1,7,4,19,7,19,12,11,-1,-1
18,1,1,1,3,-1,7,12,3,11,12,11,13,7,12,-1,-1,14,13,41,41,42,30,29,-1,-1,7,4,19,7,19,12,11,-1,-1
19,1,1,1,3,-1,7,12,3,11,12,11,13,8,12,-1,-1,14,13,41,41,42,33,32,-1,-1,7,4,19,7,19,12,11,-1,-1
