strongification_witness_id,prefix_class_id,edit_cost,substitution_count,insertion_count,substitution_0_position,substitution_0_from_symbol_id,substitution_0_to_symbol_id,substitution_1_position,substitution_1_from_symbol_id,substitution_1_to_symbol_id,substitution_2_position,substitution_2_from_symbol_id,substitution_2_to_symbol_id,insertion_0_slot,insertion_0_symbol_id,insertion_1_slot,insertion_1_symbol_id,insertion_2_slot,insertion_2_symbol_id,strong_word_length,strong_word_symbol_0_id,strong_word_symbol_1_id,strong_word_symbol_2_id,strong_word_symbol_3_id,strong_word_symbol_4_id,strong_word_symbol_5_id,strong_word_symbol_6_id,strong_word_symbol_7_id,strong_word_symbol_8_id,strong_word_symbol_9_id,target_last_symbol_rank,first_node44_consumed_symbol_count,closed_path_count,trace_node_count,trace_node_0_id,trace_node_1_id,trace_node_2_id,trace_node_3_id,trace_node_4_id,trace_node_5_id,trace_node_6_id,trace_node_7_id,trace_node_8_id,trace_node_9_id,trace_node_10_id,trace_node_11_id,trace_detour_overhead,signature_valley_depth,metric_gromov_delta_twice,trace_signature_total_variation,best_score_flag
0,0,3,1,2,3,5,0,-1,-1,-1,-1,-1,-1,5,0,5,4,-1,-1,8,2,1,4,0,2,0,4,5,-1,-1,7,8,4,10,48,42,27,28,9,13,2,13,19,44,-1,-1,7,66,2,299,0
1,0,3,1,2,3,5,0,-1,-1,-1,-1,-1,-1,5,1,5,4,-1,-1,8,2,1,4,0,2,1,4,5,-1,-1,7,8,4,10,48,42,27,28,9,13,7,28,34,44,-1,-1,7,52,2,257,0
2,0,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,5,0,5,4,9,2,1,4,0,5,2,0,4,5,-1,8,9,4,10,48,42,27,28,9,19,14,13,19,44,-1,-1,7,52,2,219,0
3,0,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,5,1,5,4,9,2,1,4,0,5,2,1,4,5,-1,8,9,4,11,48,42,27,28,9,19,14,29,28,34,44,-1,8,52,1,213,0
4,0,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,5,0,5,4,9,2,1,4,5,0,2,0,4,5,-1,8,9,2,11,48,42,27,28,34,19,14,2,13,19,44,-1,8,66,2,247,0
5,0,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,5,1,5,4,9,2,1,4,5,0,2,1,4,5,-1,8,9,2,11,48,42,27,28,34,19,14,7,28,34,44,-1,8,45,2,205,0
6,0,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,5,0,5,4,9,2,1,4,5,1,2,0,4,5,-1,8,9,2,10,48,42,27,28,34,29,7,13,19,44,-1,-1,7,45,3,205,1
7,0,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,5,1,5,4,9,2,1,4,5,1,2,1,4,5,-1,8,9,2,10,48,42,27,28,34,29,22,28,34,44,-1,-1,7,65,2,245,0
8,0,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,5,5,0,5,4,9,2,1,4,5,5,2,0,4,5,-1,8,9,12,11,48,42,27,28,34,54,45,14,13,19,44,-1,8,49,4,219,0
9,0,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,5,5,1,5,4,9,2,1,4,5,5,2,1,4,5,-1,8,9,12,11,48,42,27,28,34,54,45,29,28,34,44,-1,8,49,2,213,0
