transition_id,source_state_id,target_state_id,source_trace_node_id,source_suffix_left_symbol_id,source_suffix_right_symbol_id,label_symbol_id,raw_target_node_id,target_trace_node_id,target_suffix_left_symbol_id,target_suffix_right_symbol_id,duplicate_trace_flag,node27_transition_flag,node44_transition_flag,observed_transition_count,distinct_candidate_count
0,0,1,48,5,3,2,42,42,3,2,0,0,0,1287,1287
1,1,2,42,3,2,1,27,27,2,1,0,1,0,1287,1287
2,2,3,27,2,1,4,28,28,1,4,0,0,0,374,374
3,3,4,28,1,4,5,34,34,4,5,0,0,0,135,135
4,4,5,34,4,5,2,44,44,5,2,0,0,1,281,281
5,4,6,34,4,5,1,34,34,5,1,1,0,0,2,2
6,6,7,34,5,1,4,34,34,1,4,1,0,0,2,2
7,7,4,34,1,4,5,34,34,4,5,1,0,0,7,7
8,2,8,27,2,1,3,27,27,1,3,1,1,0,188,188
9,8,9,27,1,3,4,31,31,3,4,0,0,0,98,98
10,9,10,31,3,4,5,50,50,4,5,0,0,0,52,52
11,10,5,50,4,5,2,44,44,5,2,0,0,1,258,258
12,2,11,27,2,1,5,29,29,1,5,0,0,0,51,51
13,11,12,29,1,5,2,29,29,5,2,1,0,0,7,7
14,12,13,29,5,2,5,45,45,2,5,0,0,0,3,3
15,13,14,45,2,5,4,44,44,5,4,0,0,1,3,3
16,2,15,27,2,1,0,7,7,1,0,0,0,0,135,135
17,15,16,7,1,0,2,7,7,0,2,1,0,0,13,13
18,16,17,7,0,2,5,14,14,2,5,0,0,0,9,9
19,17,14,14,2,5,4,44,44,5,4,0,0,1,9,9
20,2,18,27,2,1,2,26,26,1,2,0,0,0,140,140
21,18,19,26,1,2,5,29,29,2,5,0,0,0,55,55
22,19,14,29,2,5,4,44,44,5,4,0,0,1,86,86
23,2,20,27,2,1,1,22,22,1,1,0,0,0,399,399
24,20,21,22,1,1,2,22,22,1,2,1,0,0,55,55
25,21,19,22,1,2,5,29,29,2,5,0,0,0,35,35
26,18,22,26,1,2,2,26,26,2,2,1,0,0,41,41
27,22,23,26,2,2,5,39,39,2,5,0,0,0,21,21
28,23,14,39,2,5,4,44,44,5,4,0,0,1,21,21
29,12,24,29,5,2,1,29,29,2,1,1,0,0,2,2
30,24,3,29,2,1,4,28,28,1,4,0,0,0,2,2
31,4,25,34,4,5,0,19,19,5,0,0,0,0,2,2
32,25,26,19,5,0,4,19,19,0,4,1,0,0,2,2
33,26,27,19,0,4,5,19,19,4,5,1,0,0,7,7
34,27,5,19,4,5,2,44,44,5,2,0,0,1,155,155
35,11,28,29,1,5,5,35,35,5,5,0,0,0,14,14
36,28,29,35,5,5,1,35,35,5,1,1,0,0,3,3
37,29,7,35,5,1,4,34,34,1,4,0,0,0,3,3
38,16,30,7,0,2,1,7,7,2,1,1,0,0,2,2
39,30,3,7,2,1,4,28,28,1,4,0,0,0,2,2
40,11,31,29,1,5,4,34,34,5,4,0,0,0,30,30
41,31,32,34,5,4,4,53,53,4,4,0,0,0,44,44
42,32,33,53,4,4,5,53,53,4,5,1,0,0,44,44
43,33,5,53,4,5,2,44,44,5,2,0,0,1,474,474
44,15,34,7,1,0,4,9,9,0,4,0,0,0,42,42
45,34,27,9,0,4,5,19,19,4,5,0,0,0,64,64
46,3,35,28,1,4,0,9,9,4,0,0,0,0,10,10
47,35,36,9,4,0,1,9,9,0,1,1,0,0,4,4
48,36,37,9,0,1,4,9,9,1,4,1,0,0,4,4
49,37,4,9,1,4,5,34,34,4,5,0,0,0,36,36
50,8,38,27,1,3,0,8,8,3,0,0,0,0,10,10
51,38,39,8,3,0,1,8,8,0,1,1,0,0,4,4
52,39,37,8,0,1,4,9,9,1,4,0,0,0,4,4
53,3,40,28,1,4,4,33,33,4,4,0,0,0,207,207
54,40,33,33,4,4,5,53,53,4,5,0,0,0,78,78
55,20,41,22,1,1,4,24,24,1,4,0,0,0,74,74
56,41,4,24,1,4,5,34,34,4,5,0,0,0,107,107
57,21,42,22,1,2,1,22,22,2,1,1,0,0,10,10
58,42,3,22,2,1,4,28,28,1,4,0,0,0,22,22
59,22,43,26,2,2,1,26,26,2,1,1,0,0,10,10
60,43,3,26,2,1,4,28,28,1,4,0,0,0,10,10
61,19,44,29,2,5,1,29,29,5,1,1,0,0,2,2
62,44,7,29,5,1,4,34,34,1,4,0,0,0,2,2
63,8,45,27,1,3,3,30,30,3,3,0,0,0,84,84
64,45,46,30,3,3,4,47,47,3,4,0,0,0,64,64
65,46,10,47,3,4,5,50,50,4,5,0,0,0,96,96
66,9,47,31,3,4,4,49,49,4,4,0,0,0,68,68
67,47,33,49,4,4,5,53,53,4,5,0,0,0,78,78
68,12,48,29,5,2,0,14,14,2,0,0,0,0,2,2
69,48,49,14,2,0,4,13,13,0,4,0,0,0,2,2
70,49,27,13,0,4,5,19,19,4,5,0,0,0,30,30
71,28,50,35,5,5,0,20,20,5,0,0,0,0,3,3
72,50,26,20,5,0,4,19,19,0,4,0,0,0,3,3
73,28,51,35,5,5,4,54,54,5,4,0,0,0,8,8
74,51,32,54,5,4,4,53,53,4,4,0,0,0,8,8
75,15,52,7,1,0,5,10,10,0,5,0,0,0,4,4
76,52,53,10,0,5,4,19,19,5,4,0,0,0,4,4
77,53,32,19,5,4,4,53,53,4,4,0,0,0,4,4
78,15,54,7,1,0,3,8,8,0,3,0,0,0,14,14
79,54,55,8,0,3,4,16,16,3,4,0,0,0,22,22
80,55,10,16,3,4,5,50,50,4,5,0,0,0,26,26
81,18,56,26,1,2,0,7,7,2,0,0,0,0,22,22
82,56,49,7,2,0,4,13,13,0,4,0,0,0,22,22
83,18,42,26,1,2,1,22,22,2,1,0,0,0,22,22
84,21,56,22,1,2,0,7,7,2,0,0,0,0,10,10
85,42,20,22,2,1,1,22,22,1,1,1,0,0,4,4
86,41,40,24,1,4,4,33,33,4,4,0,0,0,67,67
87,19,57,29,2,5,0,14,14,5,0,0,0,0,2,2
88,57,26,14,5,0,4,19,19,0,4,0,0,0,2,2
89,56,58,7,2,0,1,7,7,0,1,1,0,0,2,2
90,58,37,7,0,1,4,9,9,1,4,0,0,0,2,2
91,20,59,22,1,1,5,25,25,1,5,0,0,0,20,20
92,59,31,25,1,5,4,34,34,5,4,0,0,0,20,20
93,22,60,26,2,2,0,11,11,2,0,0,0,0,10,10
94,60,49,11,2,0,4,13,13,0,4,0,0,0,10,10
95,16,61,7,0,2,0,2,2,2,0,0,0,0,2,2
96,61,49,2,2,0,4,13,13,0,4,0,0,0,2,2
97,34,62,9,0,4,4,18,18,4,4,0,0,0,40,40
98,62,33,18,4,4,5,53,53,4,5,0,0,0,38,38
99,35,63,9,4,0,0,4,4,0,0,0,0,0,6,6
100,63,64,4,0,0,4,4,4,0,4,1,0,0,6,6
101,64,27,4,0,4,5,19,19,4,5,0,0,0,54,54
102,20,65,22,1,1,3,23,23,1,3,0,0,0,26,26
103,65,9,23,1,3,4,31,31,3,4,0,0,0,34,34
104,38,66,8,3,0,0,3,3,0,0,0,0,0,6,6
105,66,64,3,0,0,4,4,4,0,4,0,0,0,6,6
106,20,67,22,1,1,0,6,6,1,0,0,0,0,82,82
107,67,34,6,1,0,4,9,9,0,4,0,0,0,64,64
108,15,68,7,1,0,0,1,1,0,0,0,0,0,42,42
109,68,64,1,0,0,4,4,4,0,4,0,0,0,30,30
110,15,69,7,1,0,1,6,6,0,1,0,0,0,22,22
111,69,37,6,0,1,4,9,9,1,4,0,0,0,22,22
112,67,69,6,1,0,1,6,6,0,1,1,0,0,10,10
113,68,70,1,0,0,1,1,1,0,1,1,0,0,10,10
114,70,37,1,0,1,4,9,9,1,4,0,0,0,10,10
115,69,71,6,0,1,1,6,6,1,1,1,0,0,4,4
