transition_id,from_state_id,to_state_id,boundary_spine_rank,boundary_mask_edge_id,gate_symbol_id,negative_branch_order_rank,negative_carrier_mask_class_id,phase_code,accepting_state_flag,accepted_negative_carrier_mask_class_id,source_to_branch_flag,post_branch_tail_flag,boundary_partition_code,undirected_stationary_flux_x1e12,total_entropy_contribution_x1e12
1,0,1,1,14,5,1,13,-1,1,13,1,0,5,43567340880,135084234325
2,1,2,2,15,5,1,13,-1,0,-1,1,0,5,32425551018,110115416069
3,2,3,3,2,0,2,7,-1,1,7,1,0,5,23966124030,88632748377
4,3,4,4,6,0,2,7,-1,0,-1,1,0,5,22135706800,83622072791
5,4,5,5,3,1,3,8,-1,1,8,1,0,5,16978273445,68642448146
6,5,6,6,7,3,2,7,-1,0,-1,1,0,5,16474783260,67102808206
7,6,7,7,8,1,3,8,-1,0,-1,1,0,5,15681554700,64645757642
8,7,8,8,11,5,4,9,0,1,9,1,0,5,14668386000,61448773709
9,8,9,9,9,3,3,8,-1,0,-1,1,0,5,11671197804,51560650171
10,9,10,10,13,5,1,13,-1,0,-1,1,0,5,11557048944,51169955752
11,10,11,11,12,5,4,9,0,0,-1,1,0,5,10917134100,48958533108
12,11,12,12,5,3,5,6,1,1,6,1,0,5,8492755176,40218963410
13,12,13,13,10,5,4,9,0,0,-1,1,0,5,3891062880,21463920902
14,13,14,14,4,3,6,4,1,1,4,1,0,5,2823477696,16480422590
15,14,15,15,1,1,3,8,-1,0,-1,0,1,4,1924482056,11970732035
16,15,16,16,0,0,2,7,-1,0,-1,0,1,4,1787572600,11251042693
