boundary_spine_rank,boundary_mask_edge_id,positive_carrier_mask_class_id,negative_carrier_mask_class_id,boundary_partition_code,undirected_stationary_flux_x1e12,total_entropy_contribution_x1e12,positive_center_x_x1e12,positive_center_y_x1e12,negative_center_x_x1e12,negative_center_y_x1e12,positive_axis_coordinate_x1e12,negative_axis_coordinate_x1e12,positive_residual_coordinate_x1e12,negative_residual_coordinate_x1e12,axis_delta_abs_x1e12,residual_delta_abs_x1e12,residual_bend_fraction_x1e12,hyperbolic_edge_length_x1e12,euclidean_edge_length_x1e12,axis_midpoint_x1e12,residual_midpoint_x1e12,residual_excursion_x1e12,axis_dominant_flag,residual_dominant_flag
1,14,11,13,5,43567340880,135084234325,24249099425,-43196823900,-101028690300,56266673200,95149700746,-174786314178,-18830038433,153594469828,269936014924,172424508261,389782765920,321097465327,159960969782,-39818306716,67382215697,153594469828,1,0
2,15,12,13,5,32425551018,110115416069,-2824425467,32530573133,-101028690300,56266673200,24534534025,-174786314178,125725908658,153594469828,199320848203,27868561170,122666638585,203187756023,101032074500,-75125890077,139660189243,153594469828,1,0
3,2,3,7,5,23966124030,88632748377,44885760667,-104867293967,-19354069733,-120989979400,149914376927,25649971417,-137725127333,-184354619475,124264405510,46629492142,272856390911,134246062560,66232143219,87782174172,-161039873404,184354619475,1,0
4,6,11,7,5,22135706800,83622072791,24249099425,-43196823900,-19354069733,-120989979400,95149700746,25649971417,-18830038433,-184354619475,69499729329,165524581042,704287061967,179692509950,89179658013,60399836081,-101592328954,184354619475,0,1
5,3,3,8,5,16978273445,68642448146,44885760667,-104867293967,-9229826633,-111093693033,149914376927,43554955090,-137725127333,-162132241780,106359421837,24407114447,186646485719,110292881123,54472606273,96734666008,-149928684557,162132241780,1,0
6,7,12,7,5,16474783260,67102808206,-2824425467,32530573133,-19354069733,-120989979400,24534534025,25649971417,125725908658,-184354619475,1115437392,310080528133,996415643146,310082552127,154407866346,25092252721,-29314355409,184354619475,0,1
7,8,11,8,5,15681554700,64645757642,24249099425,-43196823900,-9229826633,-111093693033,95149700746,43554955090,-18830038433,-162132241780,51594745656,143302203347,735271660639,152393787772,75702201606,69352327918,-90481140107,162132241780,0,1
8,11,11,9,5,14668386000,61448773709,24249099425,-43196823900,-37660884300,141814586300,95149700746,-65261173255,-18830038433,338024125115,160410874001,356854163548,689886494627,392421540319,195095022973,14944263745,159597043341,338024125115,0,1
9,9,12,8,5,11671197804,51560650171,-2824425467,32530573133,-9229826633,-111093693033,24534534025,43554955090,125725908658,-162132241780,19020421065,287858150438,938019715838,288490388255,143767030281,34044744557,-18203166561,162132241780,0,1
10,13,10,13,5,11557048944,51169955752,-27165243100,110014113450,-101028690300,56266673200,-39135264067,-174786314178,275628482174,153594469828,135651050111,122034012346,473578139076,184860594656,91348761161,-106960789123,214611476001,275628482174,1,0
11,12,12,9,5,10917134100,48958533108,-2824425467,32530573133,-37660884300,141814586300,24534534025,-65261173255,125725908658,338024125115,89795707280,212298216457,702755665625,231520639881,114702111567,-20363319615,231875016886,338024125115,0,1
12,5,12,6,5,8492755176,40218963410,-2824425467,32530573133,-59269643250,-75858873700,24534534025,-63952303291,125725908658,-102734864463,88486837316,228460773121,720815572031,245069975251,122206116031,-19708884633,11495522097,125725908658,0,1
13,10,10,9,5,3891062880,21463920902,-27165243100,110014113450,-37660884300,141814586300,-39135264067,-65261173255,275628482174,338024125115,26125909188,62395642941,704863860160,68134086588,33487737423,-52198218661,306826303644,338024125115,0,1
14,4,12,4,5,2823477696,16480422590,-2824425467,32530573133,45857209800,-122436507500,24534534025,155571000967,125725908658,-172991524046,131036466942,298717432704,695089522050,326403969785,162433671670,90052767496,-23632807694,172991524046,0,1
15,1,1,8,4,1924482056,11970732035,90849806600,-181563331700,-9229826633,-111093693033,256776285220,43554955090,-285182652046,-162132241780,213221330130,123050410266,365925516432,250917218106,122400583993,150165620155,-223657446913,285182652046,1,0
16,0,0,7,4,1787572600,11251042693,60477077300,-211252190800,-19354069733,-120989979400,201679395919,25649971417,-352612226540,-184354619475,176029424502,168257607065,488713171388,248275542536,120500119682,113664683668,-268483423008,352612226540,1,0
