observable_id,observable_code,value_x1e12,aux_id
0,0,16,-1
1,1,16,-1
2,2,15,-1
3,3,14,-1
4,4,269936014924,-1
5,5,172424508261,-1
6,6,389782765920,-1
7,7,321097465327,-1
8,8,169799011239,-1
9,9,94652654063,-1
10,10,357920431149,-1
11,11,206224183865,-1
12,12,127563694032,-1
13,13,159064775410,-1
14,14,554951068607,-1
15,15,228645586683,-1
16,16,9,-1
17,17,488542794331,-1
18,18,950955396598,-1
19,19,2431519629877,-1
20,20,718858117457,-1
21,21,2701324116998,-1
22,22,261932815628,-1
23,23,480761936246,-1
24,24,647321036042,-1
25,25,548672938221,-1
26,26,257126409278,-1
27,27,575309726652,-1
28,28,171860556085,-1
29,29,300700062647,-1
