polyline_transition_id,from_boundary_spine_rank,to_boundary_spine_rank,from_boundary_mask_edge_id,to_boundary_mask_edge_id,from_midpoint_x_x1e12,from_midpoint_y_x1e12,to_midpoint_x_x1e12,to_midpoint_y_x1e12,axis_transition_abs_x1e12,residual_transition_abs_x1e12,residual_bend_fraction_x1e12,hyperbolic_transition_length_x1e12
0,1,2,14,15,-38389795438,6534924650,-51926557884,44398623166,35307583361,72277973546,671818556542,80649159853
1,2,3,15,2,-51926557884,44398623166,12765845467,-112928636684,162908064249,300700062647,648608264614,341575066656
2,3,4,2,6,12765845467,-112928636684,2447514846,-82093401650,27382338091,59447544450,684643842768,65665840723
3,4,5,6,3,2447514846,-82093401650,17827967017,-107980493500,36334829927,48336355603,570871369055,60782870989
4,5,6,3,7,17827967017,-107980493500,-11089247600,-44229703134,71642413287,120614329148,627360724105,140881463523
5,6,7,7,8,-11089247600,-44229703134,7509636396,-77145258467,44260075197,61166784698,580182173299,75902462464
6,7,8,8,11,7509636396,-77145258467,-6705892438,49308881200,54408064173,250078183448,821311916062,254895331976
7,8,9,11,9,-6705892438,49308881200,-6027126050,-39281559950,19100480812,177800209902,902994343277,177313764230
8,9,10,9,13,-6027126050,-39281559950,-64096966700,83140393325,141005533680,232814642562,622798493389,271875614033
9,10,11,13,12,-64096966700,83140393325,-20242654884,87172579716,86597469508,17263540885,166217725205,88895511657
10,11,12,12,5,-20242654884,87172579716,-31047034359,-21664150284,654434982,220379494789,997039210303,219342227032
11,12,13,5,10,-31047034359,-21664150284,-32413063700,125914349875,32489334028,295330781547,900892799177,296819425111
12,13,14,10,4,-32413063700,125914349875,21516392166,-44952967184,142250986157,330459111338,699073519032,359923617134
13,14,15,4,1,21516392166,-44952967184,40809989983,-146328512367,60112852659,200024639219,768918919664,208694734432
14,15,16,1,0,40809989983,-146328512367,20561503783,-166121085100,36500936487,44825976095,551182562719,58107027185
