polyline_vertex_rank,boundary_spine_rank,boundary_mask_edge_id,midpoint_x_x1e12,midpoint_y_x1e12,axis_midpoint_x1e12,residual_midpoint_x1e12,edge_entropy_contribution_x1e12,cumulative_entropy_contribution_x1e12
1,1,14,-38389795438,6534924650,-39818306716,67382215697,135084234325,135084234325
2,2,15,-51926557884,44398623166,-75125890077,139660189243,110115416069,245199650394
3,3,2,12765845467,-112928636684,87782174172,-161039873404,88632748377,333832398771
4,4,6,2447514846,-82093401650,60399836081,-101592328954,83622072791,417454471562
5,5,3,17827967017,-107980493500,96734666008,-149928684557,68642448146,486096919708
6,6,7,-11089247600,-44229703134,25092252721,-29314355409,67102808206,553199727914
7,7,8,7509636396,-77145258467,69352327918,-90481140107,64645757642,617845485556
8,8,11,-6705892438,49308881200,14944263745,159597043341,61448773709,679294259265
9,9,9,-6027126050,-39281559950,34044744557,-18203166561,51560650171,730854909436
10,10,13,-64096966700,83140393325,-106960789123,214611476001,51169955752,782024865188
11,11,12,-20242654884,87172579716,-20363319615,231875016886,48958533108,830983398296
12,12,5,-31047034359,-21664150284,-19708884633,11495522097,40218963410,871202361706
13,13,10,-32413063700,125914349875,-52198218661,306826303644,21463920902,892666282608
14,14,4,21516392166,-44952967184,90052767496,-23632807694,16480422590,909146705198
15,15,1,40809989983,-146328512367,150165620155,-223657446913,11970732035,921117437233
16,16,0,20561503783,-166121085100,113664683668,-268483423008,11251042693,932368479926
