prefix_length,last_boundary_mask_edge_id,cumulative_entropy_x1e12,entropy_fraction_of_boundary_crossing_x1e12,cumulative_flux_x1e12,flux_fraction_of_cut_x1e12,edge_entropy_weighted_axis_delta_x1e12,edge_entropy_weighted_residual_delta_x1e12,edge_cloud_bend_fraction_x1e12,edge_entropy_weighted_hyperbolic_length_x1e12,edge_cloud_residual_dominant_flag,polyline_axis_travel_x1e12,polyline_residual_travel_x1e12,polyline_bend_fraction_x1e12,polyline_hyperbolic_length_x1e12,polyline_residual_dominant_flag,central_negative_edge_count,high_negative_edge_count,positive_high_carrier_bitset,positive_central_carrier_bitset,negative_carrier_bitset
1,14,135084234325,144882884003,43567340880,182318772789,269936014924,172424508261,389782765920,321097465327,0,0,0,0,0,0,1,0,0,2048,8192
2,15,245199650394,262985778341,75992891898,318011852725,238223822628,107506641398,310955072186,268146016670,0,35307583361,72277973546,671818556542,80649159853,1,2,0,0,6144,8192
3,2,333832398771,358047709632,99959015928,418304278965,207967513235,91343713318,305179709996,232595479981,0,198215647610,372978036193,652979972940,422224226509,1,3,0,0,6152,8320
4,6,417454471562,447735504310,122094722728,510936852289,180230445138,106203197030,370777665033,221998262052,0,225597985701,432425580643,657158197305,487890067232,1,4,0,0,6152,8320
5,3,486096919708,521357092366,139072996173,581986815772,169799011239,94652654063,357920431149,206224183865,0,261932815628,480761936246,647321036042,548672938221,1,5,0,0,6152,8576
6,7,553199727914,593327359112,155547779433,650929794739,149337790938,120783931044,447146309293,218822144085,0,333575228915,601376265394,643216540168,689554401744,1,6,0,0,6152,8576
7,8,617845485556,662662347407,171229334133,716553304244,139110843644,123140039178,469550522968,211871682322,0,377835304112,662543050092,636828945369,765456864208,1,7,0,0,6152,8576
8,11,679294259265,728568451090,185897720133,777936948054,141037638590,144281755223,505685061554,228204173309,1,432243368285,912621233540,678597111041,1020352196184,1,8,0,0,6152,9088
9,9,730854909436,783869173156,197568917937,826778084961,132429518173,154410841299,538316301037,232457269784,1,451343849097,1090421443442,707255150131,1197665960414,1,9,0,0,6152,9088
10,13,782024865188,838750860872,209125966881,875141536528,132640311530,152292339729,534485391745,229342893415,1,592349382777,1323236086004,690773712564,1469541574447,1,10,0,0,7176,9088
11,12,830983398296,891260715251,220043100981,920827099412,130116062574,155827668724,544959205843,229471198352,1,678946852285,1340499626889,663795570080,1558437086104,1,11,0,0,7176,9088
12,5,871202361706,934397054880,228535856157,956367223506,128194253864,159180768183,553913026432,230191314211,1,679601287267,1560879121678,696671622499,1777779313136,1,12,0,0,7176,9152
13,10,892666282608,957417911295,232426919037,972650379530,125740047942,156853595854,555049978290,226294691718,1,712090621295,1856209903225,722738591338,2074598738247,1,13,0,0,7176,9152
14,4,909146705198,975093779736,235250396733,984465950050,125836057995,159425211598,558874367437,228109407867,1,854341607452,2186669014563,719059972607,2434522355381,1,14,0,0,7176,9168
15,1,921117437233,987932836711,237174878789,992519441487,126971706539,158952489031,555925281923,228405815441,1,914454460111,2386693653782,722988963669,2643217089813,1,14,1,2,7176,9168
16,0,932368479926,1000000000000,238962451389,1000000000000,127563694032,159064775410,554951068607,228645586683,1,950955396598,2431519629877,718858117457,2701324116998,1,14,2,3,7176,9168
