detour_node_rank,carrier_mask_class_id,node_role_code,elbow_region_code,nodal_sign,carrier_atom_mask,carrier_symbol_bitset,carrier_symbol_count,x2_carrier_flag,fan_degree,fan_distance_to_origin,direct_boundary_return_count
0,12,0,1,1,526464,44,3,1,5,0,0
1,4,1,-1,-1,2048,8,1,0,1,1,0
2,2,2,1,1,128,4,1,1,1,1,0
3,3,2,1,1,146,7,3,1,3,1,2
4,10,2,1,1,524416,36,2,1,3,1,2
5,11,2,1,1,524434,39,4,1,5,1,4
6,7,3,-1,-1,6146,25,3,0,2,2,0
7,8,3,-1,-1,6160,26,3,0,2,2,0
8,9,3,-1,-1,524288,32,1,0,2,2,0
9,13,3,-1,-1,528384,48,2,0,2,2,0
