cell_edge_id,source_carrier_mask_class_id,target_carrier_mask_class_id,edge_partition_code,source_region_code,target_region_code,is_region_boundary,is_positive_negative_boundary,shared_atom_count,shared_atom_bitset,shared_symbol_bitset,shared_symbol_count,x2_shared_flag,x4_shared_flag,single_shared_symbol_flag,incident_to_slot_positive_carrier_flag,incident_to_slot_negative_carrier_flag,boundary_realizable_x2_flag,splice_slot_eligible_flag,positive_internal_x2_flag
0,0,3,3,2,1,1,0,1,2,1,1,0,0,1,0,0,0,0,0
1,0,7,4,2,-1,1,1,1,2,1,1,0,0,1,0,0,0,0,0
2,0,11,3,2,1,1,0,1,2,1,1,0,0,1,0,0,0,0,0
3,1,3,3,2,1,1,0,1,16,2,1,0,0,1,0,0,0,0,0
4,1,8,4,2,-1,1,1,1,16,2,1,0,0,1,0,0,0,0,0
5,1,11,3,2,1,1,0,1,16,2,1,0,0,1,0,0,0,0,0
6,2,3,1,1,1,0,0,1,128,4,1,1,0,1,0,0,0,0,1
7,2,10,1,1,1,0,0,1,128,4,1,1,0,1,0,0,0,0,1
8,2,11,1,1,1,0,0,1,128,4,1,1,0,1,0,0,0,0,1
9,2,12,1,1,1,0,0,1,128,4,1,1,0,1,1,0,0,0,1
10,3,7,5,1,-1,1,1,1,2,1,1,0,0,1,0,0,0,0,0
11,3,8,5,1,-1,1,1,1,16,2,1,0,0,1,0,0,0,0,0
12,3,10,1,1,1,0,0,1,128,4,1,1,0,1,0,0,0,0,1
13,3,11,1,1,1,0,0,3,146,7,3,1,0,0,0,0,0,0,1
14,3,12,1,1,1,0,0,1,128,4,1,1,0,1,1,0,0,0,1
15,4,6,2,-1,-1,0,0,1,2048,8,1,0,0,1,0,1,0,0,0
16,4,7,2,-1,-1,0,0,1,2048,8,1,0,0,1,0,1,0,0,0
17,4,8,2,-1,-1,0,0,1,2048,8,1,0,0,1,0,1,0,0,0
18,4,12,5,-1,1,1,1,1,2048,8,1,0,0,1,1,1,0,0,0
19,5,6,2,-1,-1,0,0,1,4096,16,1,0,1,1,0,0,0,0,0
20,5,7,2,-1,-1,0,0,1,4096,16,1,0,1,1,0,0,0,0,0
21,5,8,2,-1,-1,0,0,1,4096,16,1,0,1,1,0,0,0,0,0
22,5,13,2,-1,-1,0,0,1,4096,16,1,0,1,1,0,0,0,0,0
23,6,7,2,-1,-1,0,0,2,6144,24,2,0,1,0,0,0,0,0,0
24,6,8,2,-1,-1,0,0,2,6144,24,2,0,1,0,0,0,0,0,0
25,6,12,5,-1,1,1,1,1,2048,8,1,0,0,1,1,0,0,0,0
26,6,13,2,-1,-1,0,0,1,4096,16,1,0,1,1,0,0,0,0,0
27,7,8,2,-1,-1,0,0,2,6144,24,2,0,1,0,0,0,0,0,0
28,7,11,5,-1,1,1,1,1,2,1,1,0,0,1,0,0,0,0,0
29,7,12,5,-1,1,1,1,1,2048,8,1,0,0,1,1,0,0,0,0
30,7,13,2,-1,-1,0,0,1,4096,16,1,0,1,1,0,0,0,0,0
31,8,11,5,-1,1,1,1,1,16,2,1,0,0,1,0,0,0,0,0
32,8,12,5,-1,1,1,1,1,2048,8,1,0,0,1,1,0,0,0,0
33,8,13,2,-1,-1,0,0,1,4096,16,1,0,1,1,0,0,0,0,0
34,9,10,5,-1,1,1,1,1,524288,32,1,0,0,1,0,0,0,0,0
35,9,11,5,-1,1,1,1,1,524288,32,1,0,0,1,0,0,0,0,0
36,9,12,5,-1,1,1,1,1,524288,32,1,0,0,1,1,0,0,0,0
37,9,13,2,-1,-1,0,0,1,524288,32,1,0,0,1,0,0,0,0,0
38,10,11,1,1,1,0,0,2,524416,36,2,1,0,0,0,0,0,0,1
39,10,12,1,1,1,0,0,2,524416,36,2,1,0,0,1,0,0,0,1
40,10,13,5,1,-1,1,1,1,524288,32,1,0,0,1,0,0,0,0,0
41,11,12,1,1,1,0,0,2,524416,36,2,1,0,0,1,0,0,0,1
42,11,13,5,1,-1,1,1,1,524288,32,1,0,0,1,0,0,0,0,0
43,12,13,5,1,-1,1,1,1,524288,32,1,0,0,1,1,0,0,0,0
