seed_i,seed_j,chart_i_size,chart_j_size,intersection_atom_count,intersection_signature_class_count,signature_deficit,intersection_tensor_path_coefficient_mass,atom_deficit_distance
0,1,13,8,7,225,8,324864,13
0,2,13,14,12,233,0,660544,8
0,3,13,14,12,233,0,660544,8
0,4,13,7,6,221,12,344576,14
0,5,13,14,11,229,4,628288,9
0,6,13,14,12,233,0,660544,8
0,7,13,12,9,221,12,549184,11
0,8,13,11,8,221,12,538560,12
0,9,13,12,9,221,12,549184,11
0,10,13,12,6,221,12,344576,14
0,11,13,7,6,221,12,344576,14
0,12,13,13,12,233,0,660544,8
0,13,13,13,8,233,0,538880,12
0,14,13,14,9,229,4,562624,11
0,15,13,12,9,221,12,549184,11
0,16,13,13,8,233,0,538880,12
0,17,13,14,9,233,0,561856,11
0,18,13,12,9,221,12,549184,11
0,19,13,11,8,221,12,538560,12
1,2,8,14,8,233,0,447744,12
1,3,8,14,8,233,0,447744,12
1,4,8,7,6,211,22,302080,14
1,5,8,14,7,229,4,415488,13
1,6,8,14,8,233,0,447744,12
1,7,8,12,6,215,18,382464,14
1,8,8,11,5,213,20,371840,15
1,9,8,12,6,215,18,382464,14
1,10,8,12,6,211,22,302080,14
1,11,8,7,6,211,22,302080,14
1,12,8,13,8,233,0,447744,12
1,13,8,13,6,219,14,395136,14
1,14,8,14,6,215,18,395904,14
1,15,8,12,6,215,18,382464,14
1,16,8,13,6,219,14,395136,14
1,17,8,14,6,219,14,395136,14
1,18,8,12,6,215,18,382464,14
1,19,8,11,5,213,20,371840,15
2,3,14,14,14,233,0,820288,6
2,4,14,7,7,233,0,467456,13
2,5,14,14,13,229,4,788032,7
2,6,14,14,14,233,0,820288,6
2,7,14,12,10,221,12,672064,10
2,8,14,11,9,221,12,661440,11
2,9,14,12,10,221,12,672064,10
2,10,14,12,7,233,0,467456,13
2,11,14,7,7,233,0,467456,13
2,12,14,13,13,233,0,783424,7
2,13,14,13,9,233,0,661760,11
2,14,14,14,10,229,4,685504,10
2,15,14,12,10,221,12,672064,10
2,16,14,13,9,233,0,661760,11
2,17,14,14,10,233,0,684736,10
2,18,14,12,10,221,12,672064,10
2,19,14,11,9,221,12,661440,11
3,4,14,7,7,233,0,467456,13
3,5,14,14,13,229,4,788032,7
3,6,14,14,14,233,0,820288,6
3,7,14,12,10,221,12,672064,10
3,8,14,11,9,221,12,661440,11
3,9,14,12,10,221,12,672064,10
3,10,14,12,7,233,0,467456,13
3,11,14,7,7,233,0,467456,13
3,12,14,13,13,233,0,783424,7
3,13,14,13,9,233,0,661760,11
3,14,14,14,10,229,4,685504,10
3,15,14,12,10,221,12,672064,10
3,16,14,13,9,233,0,661760,11
3,17,14,14,10,233,0,684736,10
3,18,14,12,10,221,12,672064,10
3,19,14,11,9,221,12,661440,11
4,5,7,14,6,223,10,435200,14
4,6,7,14,7,233,0,467456,13
4,7,7,12,5,209,24,402176,15
4,8,7,11,4,197,36,391552,16
4,9,7,12,5,209,24,402176,15
4,10,7,12,7,233,0,467456,13
4,11,7,7,7,233,0,467456,13
4,12,7,13,7,233,0,467456,13
4,13,7,13,6,219,14,447872,14
4,14,7,14,5,209,24,415616,15
4,15,7,12,5,209,24,402176,15
4,16,7,13,6,219,14,447872,14
4,17,7,14,6,219,14,447872,14
4,18,7,12,5,209,24,402176,15
4,19,7,11,4,197,36,391552,16
5,6,14,14,13,229,4,788032,7
5,7,14,12,11,225,8,738112,9
5,8,14,11,10,225,8,727488,10
5,9,14,12,11,225,8,738112,9
5,10,14,12,7,227,6,501248,13
5,11,14,7,6,223,10,435200,14
5,12,14,13,12,229,4,751168,8
5,13,14,13,9,227,6,695552,11
5,14,14,14,11,233,0,751552,9
5,15,14,12,11,225,8,738112,9
5,16,14,13,9,227,6,695552,11
5,17,14,14,10,227,6,718528,10
5,18,14,12,11,225,8,738112,9
5,19,14,11,10,225,8,727488,10
6,7,14,12,10,221,12,672064,10
6,8,14,11,9,221,12,661440,11
6,9,14,12,10,221,12,672064,10
6,10,14,12,7,233,0,467456,13
6,11,14,7,7,233,0,467456,13
6,12,14,13,13,233,0,783424,7
6,13,14,13,9,233,0,661760,11
6,14,14,14,10,229,4,685504,10
6,15,14,12,10,221,12,672064,10
6,16,14,13,9,233,0,661760,11
6,17,14,14,10,233,0,684736,10
6,18,14,12,10,221,12,672064,10
6,19,14,11,9,221,12,661440,11
7,8,12,11,11,233,0,802752,9
7,9,12,12,12,233,0,813376,8
7,10,12,12,7,221,12,543488,13
7,11,12,7,5,209,24,402176,15
7,12,12,13,10,221,12,672064,10
7,13,12,13,9,221,12,737792,11
7,14,12,14,11,233,0,793792,9
7,15,12,12,12,233,0,813376,8
7,16,12,13,9,221,12,737792,11
7,17,12,14,10,227,6,760768,10
7,18,12,12,12,233,0,813376,8
7,19,12,11,11,233,0,802752,9
8,9,11,12,11,233,0,802752,9
8,10,11,12,6,209,24,532864,14
8,11,11,7,4,197,36,391552,16
8,12,11,13,9,221,12,661440,11
8,13,11,13,8,215,18,727168,12
8,14,11,14,10,227,6,783168,10
8,15,11,12,11,233,0,802752,9
8,16,11,13,8,215,18,727168,12
8,17,11,14,9,221,12,750144,11
8,18,11,12,11,233,0,802752,9
8,19,11,11,11,233,0,802752,9
9,10,12,12,7,221,12,543488,13
9,11,12,7,5,209,24,402176,15
9,12,12,13,10,221,12,672064,10
9,13,12,13,9,221,12,737792,11
9,14,12,14,11,233,0,793792,9
9,15,12,12,12,233,0,813376,8
