signature_vertex_id,signature_class_id,stationary_mass_x1e12,signature_flow_mass_x1e12,stationary_to_flow_delta_x1e12,carrier_atom_mask,active_atom_count,degree,carrier_mask_class_id,stationary_rank,signature_flow_rank
0,0,6326680093,5182662234,1144017859,146,3,137,3,77,97
1,1,6326680092,5182662233,1144017859,146,3,137,3,78,98
2,2,6326680092,5182662233,1144017859,146,3,137,3,79,99
3,3,6326680092,5182662233,1144017859,146,3,137,3,80,100
4,4,6326680092,5182662233,1144017859,146,3,137,3,81,101
5,5,6326680092,5182662233,1144017859,146,3,137,3,82,102
6,6,6326680092,5182662233,1144017859,146,3,137,3,83,103
7,7,6326680092,5182662233,1144017859,146,3,137,3,84,104
8,8,6326680092,5182662233,1144017859,146,3,137,3,85,105
9,9,6326680092,5182662233,1144017859,146,3,137,3,86,106
10,10,6326680092,5182662233,1144017859,146,3,137,3,87,107
11,11,6326680092,5182662233,1144017859,146,3,137,3,88,108
12,12,6326680092,5182662233,1144017859,146,3,137,3,89,109
13,13,6326680092,5182662233,1144017859,146,3,137,3,90,110
14,14,6326680092,5182662233,1144017859,146,3,137,3,91,111
15,15,425340020,1121028888,-695688868,2,1,68,0,200,212
16,16,425340020,1121028888,-695688868,2,1,68,0,201,213
17,17,425340020,1121028888,-695688868,2,1,68,0,202,214
18,18,440398702,1216867285,-776468583,16,1,69,1,186,186
19,19,440398702,1216867285,-776468583,16,1,69,1,187,187
20,20,440398702,1216867285,-776468583,16,1,69,1,188,188
21,21,6326680092,5182662233,1144017859,146,3,137,3,92,112
22,22,6326680092,5182662233,1144017859,146,3,137,3,93,113
23,23,6326680092,5182662233,1144017859,146,3,137,3,94,114
24,24,6326680092,5182662233,1144017859,146,3,137,3,95,115
25,25,6326680092,5182662233,1144017859,146,3,137,3,96,116
26,26,6326680092,5182662233,1144017859,146,3,137,3,97,117
27,27,6326680092,5182662233,1144017859,146,3,137,3,98,118
28,28,1393339061,2844766060,-1451426999,128,1,96,2,134,134
29,29,1393339061,2844766060,-1451426999,128,1,96,2,135,135
30,30,1393339061,2844766060,-1451426999,128,1,96,2,136,136
31,31,1393339061,2844766060,-1451426999,128,1,96,2,137,137
32,32,1393339061,2844766060,-1451426999,128,1,96,2,138,138
33,33,1393339061,2844766060,-1451426999,128,1,96,2,139,139
34,34,1393339061,2844766060,-1451426999,128,1,96,2,140,140
35,35,1393339061,2844766060,-1451426999,128,1,96,2,141,141
36,36,1393339061,2844766060,-1451426999,128,1,96,2,142,142
37,37,1393339061,2844766060,-1451426999,128,1,96,2,143,143
38,38,1393339061,2844766060,-1451426999,128,1,96,2,144,144
39,45,425340020,1121028888,-695688868,2,1,68,0,203,215
40,46,425340020,1121028888,-695688868,2,1,68,0,204,216
41,47,425340020,1121028888,-695688868,2,1,68,0,205,217
42,48,8479604523,7959993994,519610529,6146,3,146,7,21,8
43,49,8479604523,7959993994,519610529,6146,3,146,7,22,9
44,50,8479604523,7959993994,519610529,6146,3,146,7,23,10
45,51,8479604523,7959993994,519610529,6146,3,146,7,24,11
46,52,8479604523,7959993994,519610529,6146,3,146,7,25,12
47,53,8479604523,7959993994,519610529,6146,3,146,7,26,13
48,54,8479604523,7959993994,519610529,6146,3,146,7,27,14
49,55,8479604523,7959993994,519610529,6146,3,146,7,28,15
50,56,8479604523,7959993994,519610529,6146,3,146,7,29,16
51,57,8479604523,7959993994,519610529,6146,3,146,7,30,17
52,58,4752767464,6838965106,-2086197642,6144,2,87,6,106,59
53,59,4752767464,6838965106,-2086197642,6144,2,87,6,107,60
54,60,4752767464,6838965106,-2086197642,6144,2,87,6,108,61
55,61,425340020,1121028888,-695688868,2,1,68,0,206,218
56,62,425340020,1121028888,-695688868,2,1,68,0,207,219
57,63,333457905,1136831639,-803373734,2048,1,52,4,210,200
58,64,333457905,1136831639,-803373734,2048,1,52,4,211,201
59,65,333457905,1136831639,-803373734,2048,1,52,4,212,202
60,66,333457905,1136831639,-803373734,2048,1,52,4,213,203
61,67,333457905,1136831639,-803373734,2048,1,52,4,214,204
62,68,2329219455,5702133467,-3372914012,4096,1,57,5,120,83
63,69,2329219455,5702133467,-3372914012,4096,1,57,5,121,84
64,70,2329219455,5702133467,-3372914012,4096,1,57,5,122,85
65,71,2329219455,5702133467,-3372914012,4096,1,57,5,123,86
66,72,440398702,1216867285,-776468583,16,1,69,1,189,189
67,73,440398702,1216867285,-776468583,16,1,69,1,190,190
68,74,440398702,1216867285,-776468583,16,1,69,1,191,191
69,75,4752767464,6838965106,-2086197642,6144,2,87,6,109,62
70,76,4752767464,6838965106,-2086197642,6144,2,87,6,110,63
71,77,4752767464,6838965106,-2086197642,6144,2,87,6,111,64
72,78,8439115234,8055832391,383282843,6160,3,150,8,31,1
73,79,8439115234,8055832391,383282843,6160,3,150,8,32,2
74,80,8439115234,8055832391,383282843,6160,3,150,8,33,3
75,81,8439115234,8055832391,383282843,6160,3,150,8,34,4
76,82,8439115234,8055832391,383282843,6160,3,150,8,35,5
77,83,8439115234,8055832391,383282843,6160,3,150,8,36,6
78,84,8439115234,8055832391,383282843,6160,3,150,8,37,7
79,85,440398702,1216867285,-776468583,16,1,69,1,192,192
80,86,440398702,1216867285,-776468583,16,1,69,1,193,193
81,87,440398702,1216867285,-776468583,16,1,69,1,194,194
82,88,440398702,1216867285,-776468583,16,1,69,1,195,195
83,89,333457905,1136831639,-803373734,2048,1,52,4,215,205
84,90,2329219455,5702133467,-3372914012,4096,1,57,5,124,87
85,91,2329219455,5702133467,-3372914012,4096,1,57,5,125,88
86,92,2329219455,5702133467,-3372914012,4096,1,57,5,126,89
87,93,6326680092,5182662233,1144017859,146,3,137,3,99,119
88,94,6326680092,5182662233,1144017859,146,3,137,3,100,120
89,95,6326680092,5182662233,1144017859,146,3,137,3,101,121
90,96,6326680092,5182662233,1144017859,146,3,137,3,102,122
91,97,6326680092,5182662233,1144017859,146,3,137,3,103,123
92,98,6326680092,5182662233,1144017859,146,3,137,3,104,124
93,99,6326680092,5182662233,1144017859,146,3,137,3,105,125
94,100,425340020,1121028888,-695688868,2,1,68,0,208,220
95,101,425340020,1121028888,-695688868,2,1,68,0,209,221
96,102,440398702,1216867285,-776468583,16,1,69,1,196,196
97,103,440398702,1216867285,-776468583,16,1,69,1,197,197
98,104,440398702,1216867285,-776468583,16,1,69,1,198,198
99,105,440398702,1216867285,-776468583,16,1,69,1,199,199
100,106,11783387736,6940911420,4842476316,524434,4,188,11,1,39
101,107,11783387736,6940911420,4842476316,524434,4,188,11,2,40
102,108,11783387736,6940911420,4842476316,524434,4,188,11,3,41
103,109,11783387736,6940911420,4842476316,524434,4,188,11,4,42
104,110,11783387736,6940911420,4842476316,524434,4,188,11,5,43
105,111,11783387736,6940911420,4842476316,524434,4,188,11,6,44
