observable_id,observable_code,value_x1e12,aux_id
0,0,221,-1
1,1,13035,-1
2,2,11783387736,-1
3,3,10,-1
4,4,5041380484971,-1
5,5,154683405817640,-1
6,6,412747463786,-1
7,7,587252536214,-1
8,8,173671525179,-1
9,9,239075938607,-1
10,10,2376598370750,-1
11,11,164666435075,-1
12,12,869103997875,-1
13,13,3822657313037,-1
14,14,4950509203807,-1
15,15,4516002566612,-1
16,16,4712025808863,-1
17,17,661404733,-1
18,18,27508677866,-1
19,19,2517490,-1
20,20,390010460,-1
21,21,235667754700,-1
22,22,215486440125,-1
