cut_edge_id,transfer_edge_id,source_signature_class_id,target_signature_class_id,shared_active_atom_count,source_nodal_sign,target_nodal_sign,source_eigenfunction_x1e12,target_eigenfunction_x1e12,undirected_stationary_flux_x1e12,source_carrier_atom_mask,target_carrier_atom_mask
0,41,0,48,1,1,-1,1076857070827,-894848865438,82641807,146,6146
1,42,0,49,1,1,-1,1076857070827,-894848865438,82641807,146,6146
2,43,0,50,1,1,-1,1076857070827,-894848865438,82641807,146,6146
3,44,0,51,1,1,-1,1076857070827,-894848865438,82641807,146,6146
4,45,0,52,1,1,-1,1076857070827,-894848865438,82641807,146,6146
5,46,0,53,1,1,-1,1076857070827,-894848865438,82641807,146,6146
6,47,0,54,1,1,-1,1076857070827,-894848865438,82641807,146,6146
7,48,0,55,1,1,-1,1076857070827,-894848865438,82641807,146,6146
8,49,0,56,1,1,-1,1076857070827,-894848865438,82641807,146,6146
9,50,0,57,1,1,-1,1076857070827,-894848865438,82641807,146,6146
10,56,0,78,1,1,-1,1076857070827,-860433468893,83636815,146,6160
11,57,0,79,1,1,-1,1076857070827,-860433468893,83636815,146,6160
12,58,0,80,1,1,-1,1076857070827,-860433468893,83636815,146,6160
13,59,0,81,1,1,-1,1076857070827,-860433468893,83636815,146,6160
14,60,0,82,1,1,-1,1076857070827,-860433468893,83636815,146,6160
15,61,0,83,1,1,-1,1076857070827,-860433468893,83636815,146,6160
16,62,0,84,1,1,-1,1076857070827,-860433468893,83636815,146,6160
17,177,1,48,1,1,-1,1076857070829,-894848865438,82641807,146,6146
18,178,1,49,1,1,-1,1076857070829,-894848865438,82641807,146,6146
19,179,1,50,1,1,-1,1076857070829,-894848865438,82641807,146,6146
20,180,1,51,1,1,-1,1076857070829,-894848865438,82641807,146,6146
21,181,1,52,1,1,-1,1076857070829,-894848865438,82641807,146,6146
22,182,1,53,1,1,-1,1076857070829,-894848865438,82641807,146,6146
23,183,1,54,1,1,-1,1076857070829,-894848865438,82641807,146,6146
24,184,1,55,1,1,-1,1076857070829,-894848865438,82641807,146,6146
25,185,1,56,1,1,-1,1076857070829,-894848865438,82641807,146,6146
26,186,1,57,1,1,-1,1076857070829,-894848865438,82641807,146,6146
27,192,1,78,1,1,-1,1076857070829,-860433468893,83636815,146,6160
28,193,1,79,1,1,-1,1076857070829,-860433468893,83636815,146,6160
29,194,1,80,1,1,-1,1076857070829,-860433468893,83636815,146,6160
30,195,1,81,1,1,-1,1076857070829,-860433468893,83636815,146,6160
31,196,1,82,1,1,-1,1076857070829,-860433468893,83636815,146,6160
32,197,1,83,1,1,-1,1076857070829,-860433468893,83636815,146,6160
33,198,1,84,1,1,-1,1076857070829,-860433468893,83636815,146,6160
34,312,2,48,1,1,-1,1076857070829,-894848865438,82641807,146,6146
35,313,2,49,1,1,-1,1076857070829,-894848865438,82641807,146,6146
36,314,2,50,1,1,-1,1076857070829,-894848865438,82641807,146,6146
37,315,2,51,1,1,-1,1076857070829,-894848865438,82641807,146,6146
38,316,2,52,1,1,-1,1076857070829,-894848865438,82641807,146,6146
39,317,2,53,1,1,-1,1076857070829,-894848865438,82641807,146,6146
40,318,2,54,1,1,-1,1076857070829,-894848865438,82641807,146,6146
41,319,2,55,1,1,-1,1076857070829,-894848865438,82641807,146,6146
42,320,2,56,1,1,-1,1076857070829,-894848865438,82641807,146,6146
43,321,2,57,1,1,-1,1076857070829,-894848865438,82641807,146,6146
44,327,2,78,1,1,-1,1076857070829,-860433468893,83636815,146,6160
45,328,2,79,1,1,-1,1076857070829,-860433468893,83636815,146,6160
46,329,2,80,1,1,-1,1076857070829,-860433468893,83636815,146,6160
47,330,2,81,1,1,-1,1076857070829,-860433468893,83636815,146,6160
48,331,2,82,1,1,-1,1076857070829,-860433468893,83636815,146,6160
49,332,2,83,1,1,-1,1076857070829,-860433468893,83636815,146,6160
50,333,2,84,1,1,-1,1076857070829,-860433468893,83636815,146,6160
51,446,3,48,1,1,-1,1076857070829,-894848865438,82641807,146,6146
52,447,3,49,1,1,-1,1076857070829,-894848865438,82641807,146,6146
53,448,3,50,1,1,-1,1076857070829,-894848865438,82641807,146,6146
54,449,3,51,1,1,-1,1076857070829,-894848865438,82641807,146,6146
55,450,3,52,1,1,-1,1076857070829,-894848865438,82641807,146,6146
56,451,3,53,1,1,-1,1076857070829,-894848865438,82641807,146,6146
57,452,3,54,1,1,-1,1076857070829,-894848865438,82641807,146,6146
58,453,3,55,1,1,-1,1076857070829,-894848865438,82641807,146,6146
59,454,3,56,1,1,-1,1076857070829,-894848865438,82641807,146,6146
60,455,3,57,1,1,-1,1076857070829,-894848865438,82641807,146,6146
61,461,3,78,1,1,-1,1076857070829,-860433468893,83636815,146,6160
62,462,3,79,1,1,-1,1076857070829,-860433468893,83636815,146,6160
63,463,3,80,1,1,-1,1076857070829,-860433468893,83636815,146,6160
64,464,3,81,1,1,-1,1076857070829,-860433468893,83636815,146,6160
65,465,3,82,1,1,-1,1076857070829,-860433468893,83636815,146,6160
66,466,3,83,1,1,-1,1076857070829,-860433468893,83636815,146,6160
67,467,3,84,1,1,-1,1076857070829,-860433468893,83636815,146,6160
68,579,4,48,1,1,-1,1076857070829,-894848865438,82641807,146,6146
69,580,4,49,1,1,-1,1076857070829,-894848865438,82641807,146,6146
70,581,4,50,1,1,-1,1076857070829,-894848865438,82641807,146,6146
