signature_vertex_id,signature_class_id,nodal_sign,second_eigenfunction_x1e12,stationary_mass_x1e12,carrier_atom_mask,carrier_mask_class_id,degree,signature_flow_rank,stationary_rank
0,0,1,1076857070827,6326680093,146,3,137,97,77
1,1,1,1076857070829,6326680092,146,3,137,98,78
2,2,1,1076857070829,6326680092,146,3,137,99,79
3,3,1,1076857070829,6326680092,146,3,137,100,80
4,4,1,1076857070829,6326680092,146,3,137,101,81
5,5,1,1076857070829,6326680092,146,3,137,102,82
6,6,1,1076857070829,6326680092,146,3,137,103,83
7,7,1,1076857070829,6326680092,146,3,137,104,84
8,8,1,1076857070829,6326680092,146,3,137,105,85
9,9,1,1076857070829,6326680092,146,3,137,106,86
10,10,1,1076857070829,6326680092,146,3,137,107,87
11,11,1,1076857070829,6326680092,146,3,137,108,88
12,12,1,1076857070829,6326680092,146,3,137,109,89
13,13,1,1076857070829,6326680092,146,3,137,110,90
14,14,1,1076857070829,6326680092,146,3,137,111,91
15,15,1,875968500980,425340020,2,0,68,212,200
16,16,1,875968500980,425340020,2,0,68,213,201
17,17,1,875968500980,425340020,2,0,68,214,202
18,18,1,1062963295150,440398702,16,1,69,186,186
19,19,1,1062963295150,440398702,16,1,69,187,187
20,20,1,1062963295150,440398702,16,1,69,188,188
21,21,1,1076857070829,6326680092,146,3,137,112,92
22,22,1,1076857070829,6326680092,146,3,137,113,93
23,23,1,1076857070829,6326680092,146,3,137,114,94
24,24,1,1076857070829,6326680092,146,3,137,115,95
25,25,1,1076857070829,6326680092,146,3,137,116,96
26,26,1,1076857070829,6326680092,146,3,137,117,97
27,27,1,1076857070829,6326680092,146,3,137,118,98
28,28,1,1257836559845,1393339061,128,2,96,134,134
29,29,1,1257836559845,1393339061,128,2,96,135,135
30,30,1,1257836559845,1393339061,128,2,96,136,136
31,31,1,1257836559845,1393339061,128,2,96,137,137
32,32,1,1257836559845,1393339061,128,2,96,138,138
33,33,1,1257836559845,1393339061,128,2,96,139,139
34,34,1,1257836559845,1393339061,128,2,96,140,140
35,35,1,1257836559845,1393339061,128,2,96,141,141
36,36,1,1257836559845,1393339061,128,2,96,142,142
37,37,1,1257836559845,1393339061,128,2,96,143,143
38,38,1,1257836559845,1393339061,128,2,96,144,144
39,45,1,875968500980,425340020,2,0,68,215,203
40,46,1,875968500980,425340020,2,0,68,216,204
41,47,1,875968500980,425340020,2,0,68,217,205
42,48,-1,-894848865438,8479604523,6146,7,146,8,21
43,49,-1,-894848865438,8479604523,6146,7,146,9,22
44,50,-1,-894848865438,8479604523,6146,7,146,10,23
45,51,-1,-894848865438,8479604523,6146,7,146,11,24
46,52,-1,-894848865438,8479604523,6146,7,146,12,25
47,53,-1,-894848865438,8479604523,6146,7,146,13,26
48,54,-1,-894848865438,8479604523,6146,7,146,14,27
49,55,-1,-894848865438,8479604523,6146,7,146,15,28
50,56,-1,-894848865438,8479604523,6146,7,146,16,29
51,57,-1,-894848865438,8479604523,6146,7,146,17,30
52,58,-1,-1842927151914,4752767464,6144,6,87,59,106
53,59,-1,-1842927151914,4752767464,6144,6,87,60,107
54,60,-1,-1842927151914,4752767464,6144,6,87,61,108
55,61,1,875968500980,425340020,2,0,68,218,206
56,62,1,875968500980,425340020,2,0,68,219,207
57,63,-1,-1156260779930,333457905,2048,4,52,200,210
58,64,-1,-1156260779930,333457905,2048,4,52,201,211
59,65,-1,-1156260779930,333457905,2048,4,52,202,212
60,66,-1,-1156260779930,333457905,2048,4,52,203,213
61,67,-1,-1156260779930,333457905,2048,4,52,204,214
62,68,-1,-2348940614478,2329219455,4096,5,57,83,120
63,69,-1,-2348940614478,2329219455,4096,5,57,84,121
64,70,-1,-2348940614478,2329219455,4096,5,57,85,122
65,71,-1,-2348940614478,2329219455,4096,5,57,86,123
66,72,1,1062963295150,440398702,16,1,69,189,189
67,73,1,1062963295150,440398702,16,1,69,190,190
68,74,1,1062963295150,440398702,16,1,69,191,191
69,75,-1,-1842927151914,4752767464,6144,6,87,62,109
70,76,-1,-1842927151914,4752767464,6144,6,87,63,110
71,77,-1,-1842927151914,4752767464,6144,6,87,64,111
72,78,-1,-860433468893,8439115234,6160,8,150,1,31
73,79,-1,-860433468893,8439115234,6160,8,150,2,32
74,80,-1,-860433468893,8439115234,6160,8,150,3,33
75,81,-1,-860433468893,8439115234,6160,8,150,4,34
76,82,-1,-860433468893,8439115234,6160,8,150,5,35
77,83,-1,-860433468893,8439115234,6160,8,150,6,36
78,84,-1,-860433468893,8439115234,6160,8,150,7,37
79,85,1,1062963295150,440398702,16,1,69,192,192
80,86,1,1062963295150,440398702,16,1,69,193,193
81,87,1,1062963295150,440398702,16,1,69,194,194
82,88,1,1062963295150,440398702,16,1,69,195,195
83,89,-1,-1156260779930,333457905,2048,4,52,205,215
84,90,-1,-2348940614478,2329219455,4096,5,57,87,124
85,91,-1,-2348940614478,2329219455,4096,5,57,88,125
86,92,-1,-2348940614478,2329219455,4096,5,57,89,126
87,93,1,1076857070829,6326680092,146,3,137,119,99
88,94,1,1076857070829,6326680092,146,3,137,120,100
89,95,1,1076857070829,6326680092,146,3,137,121,101
90,96,1,1076857070829,6326680092,146,3,137,122,102
91,97,1,1076857070829,6326680092,146,3,137,123,103
92,98,1,1076857070829,6326680092,146,3,137,124,104
93,99,1,1076857070829,6326680092,146,3,137,125,105
94,100,1,875968500980,425340020,2,0,68,220,208
95,101,1,875968500980,425340020,2,0,68,221,209
96,102,1,1062963295150,440398702,16,1,69,196,196
97,103,1,1062963295150,440398702,16,1,69,197,197
98,104,1,1062963295150,440398702,16,1,69,198,198
99,105,1,1062963295150,440398702,16,1,69,199,199
100,106,1,687273682618,11783387736,524434,11,188,39,1
101,107,1,687273682618,11783387736,524434,11,188,40,2
102,108,1,687273682618,11783387736,524434,11,188,41,3
103,109,1,687273682618,11783387736,524434,11,188,42,4
104,110,1,687273682618,11783387736,524434,11,188,43,5
105,111,1,687273682618,11783387736,524434,11,188,44,6
106,112,1,687273682618,11783387736,524434,11,188,45,7
107,113,1,687273682618,11783387736,524434,11,188,46,8
108,114,1,687273682618,11783387736,524434,11,188,47,9
109,115,1,687273682618,11783387736,524434,11,188,48,10
110,116,1,687273682619,11783387734,524434,11,188,49,11
111,117,1,687273682619,11783387734,524434,11,188,50,12
112,118,1,687273682619,11783387734,524434,11,188,51,13
113,119,1,687273682619,11783387734,524434,11,188,52,14
114,120,1,687273682619,11783387734,524434,11,188,53,15
115,121,1,687273682619,11783387734,524434,11,188,54,16
116,122,1,687273682619,11783387734,524434,11,188,55,17
117,123,1,687273682619,11783387734,524434,11,188,56,18
118,124,1,687273682619,11783387734,524434,11,188,57,19
119,125,1,687273682619,11783387734,524434,11,188,58,20
120,126,1,484039536207,4476829990,524416,10,147,126,112
121,127,1,484039536207,4476829989,524416,10,147,127,113
122,128,1,484039536207,4476829989,524416,10,147,128,114
123,129,1,484039536207,4476829989,524416,10,147,129,115
124,130,-1,-293244641042,856982068,524288,9,96,156,156
125,131,-1,-293244641042,856982068,524288,9,96,157,157
126,132,-1,-293244641042,856982068,524288,9,96,158,158
127,133,-1,-293244641042,856982068,524288,9,96,159,159
128,134,1,1257836559845,1393339061,128,2,96,145,145
