contribution_id,node_id,atom_slot_index,atom_id,symbol_id,node_stationary_mass_x1e12,atom_slot_mass_x1e12,node_basin_code
0,10,0,1,0,60964383817,20321461273,10
1,10,1,4,1,60964383817,20321461272,10
2,10,2,19,5,60964383817,20321461272,10
3,13,0,1,0,91448650143,30482883381,43
4,13,1,7,2,91448650143,30482883381,43
5,13,2,12,4,91448650143,30482883381,43
6,17,0,1,0,33776644764,11258881588,10
7,17,1,11,3,33776644764,11258881588,10
8,17,2,19,5,33776644764,11258881588,10
9,19,0,1,0,45863301091,15287767031,0
10,19,1,12,4,45863301091,15287767030,0
11,19,2,19,5,45863301091,15287767030,0
12,28,0,4,1,79786909943,26595636648,43
13,28,1,7,2,79786909943,26595636648,43
14,28,2,12,4,79786909943,26595636647,43
15,32,0,4,1,26617242245,8872414082,10
16,32,1,11,3,26617242245,8872414082,10
17,32,2,19,5,26617242245,8872414081,10
18,34,0,4,1,88173593812,29391197938,0
19,34,1,12,4,88173593812,29391197937,0
20,34,2,19,5,88173593812,29391197937,0
21,38,0,7,2,83222089120,27740696374,43
22,38,1,7,2,83222089120,27740696373,43
23,38,2,12,4,83222089120,27740696373,43
24,41,0,7,2,79481608761,26493869587,43
25,41,1,11,3,79481608761,26493869587,43
26,41,2,12,4,79481608761,26493869587,43
27,42,0,7,2,40880734813,13626911605,0
28,42,1,11,3,40880734813,13626911604,0
29,42,2,19,5,40880734813,13626911604,0
30,43,0,7,2,154410228837,51470076279,43
31,43,1,12,4,154410228837,51470076279,43
32,43,2,12,4,154410228837,51470076279,43
33,44,0,7,2,215374612654,71791537552,0
34,44,1,12,4,215374612654,71791537551,0
35,44,2,19,5,215374612654,71791537551,0
