triple_id,left_symbol_id,middle_symbol_id,right_symbol_id,left_atom_id,middle_atom_id,right_atom_id,canonical_first_symbol_id,canonical_second_symbol_id,canonical_third_symbol_id,left_path_first_rule_id,left_path_second_rule_id,left_path_third_rule_id,right_path_first_rule_id,right_path_second_rule_id,right_path_third_rule_id,left_final_matches_right_final,matches_direct_sorted_normal_form,sector_union_mask,sector_coverage_count,signature_union_count,tensor_path_support_sum,tensor_path_coefficient_mass_sum,word_triple_multiplicity,left_path_swap_count,right_path_swap_count,canonical_triple_id
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,11,3,69,45072,96768,216,0,0,0
1,0,0,1,1,1,4,0,0,1,0,1,0,1,0,1,1,1,15,4,90,40992,97536,216,0,0,1
2,0,0,2,1,1,7,0,0,2,0,2,0,2,0,2,1,1,27,4,117,85536,148224,216,0,0,2
3,0,0,3,1,1,11,0,0,3,0,3,0,3,0,3,1,1,31,5,112,32160,75136,216,0,0,3
4,0,0,4,1,1,12,0,0,4,0,4,0,4,0,4,1,1,47,5,117,36960,84096,216,0,0,4
5,0,0,5,1,1,19,0,0,5,0,5,0,5,0,5,1,1,59,5,146,156000,229888,216,0,0,5
6,0,1,0,1,4,1,0,0,1,1,6,0,6,0,1,1,1,15,4,90,40992,97536,216,1,1,1
7,0,1,1,1,4,4,0,1,1,1,7,1,7,1,7,1,1,15,4,90,36912,98304,216,0,0,6
8,0,1,2,1,4,7,0,1,2,1,8,1,8,1,8,1,1,31,5,138,81456,148992,216,0,0,7
9,0,1,3,1,4,11,0,1,3,1,9,1,9,1,9,1,1,31,5,126,28080,75904,216,0,0,8
10,0,1,4,1,4,12,0,1,4,1,10,1,10,1,10,1,1,47,5,131,32880,84864,216,0,0,9
11,0,1,5,1,4,19,0,1,5,1,11,1,11,1,11,1,1,63,6,167,151920,230656,216,0,0,10
12,0,2,0,1,7,1,0,0,2,2,12,0,12,0,2,1,1,27,4,117,85536,148224,216,1,1,2
13,0,2,1,1,7,4,0,1,2,2,13,1,13,1,8,1,1,31,5,138,81456,148992,216,1,1,7
14,0,2,2,1,7,7,0,2,2,2,14,2,14,2,14,1,1,27,4,117,126000,199680,216,0,0,11
