edge_id,source_vertex_id,target_vertex_id,edge_type_code,source_dual_vertex_id,target_dual_vertex_id
0,0,1,1,0,-1
1,0,2,1,0,-1
2,0,5,0,0,1
3,1,4,1,0,-1
4,1,10,0,0,2
5,2,3,1,0,-1
6,2,15,0,0,3
7,3,4,1,0,-1
8,3,45,0,0,9
9,4,55,0,0,11
10,5,6,1,1,-1
11,5,7,1,1,-1
12,6,9,1,1,-1
13,6,11,0,1,2
14,7,8,1,1,-1
15,7,16,0,1,3
16,8,9,1,1,-1
17,8,20,0,1,4
18,9,35,0,1,7
19,10,11,1,2,-1
20,10,14,1,2,-1
21,11,12,1,2,-1
22,12,13,1,2,-1
23,12,36,0,2,7
24,13,14,1,2,-1
25,13,50,0,2,10
26,14,56,0,2,11
27,15,16,1,3,-1
28,15,19,1,3,-1
29,16,17,1,3,-1
30,17,18,1,3,-1
31,17,21,0,3,4
32,18,19,1,3,-1
33,18,30,0,3,6
34,19,46,0,3,9
35,20,21,1,4,-1
36,20,24,1,4,-1
37,21,23,1,4,-1
38,22,23,1,4,-1
39,22,24,1,4,-1
40,22,25,0,4,5
41,23,31,0,4,6
42,24,37,0,4,7
43,25,26,1,5,-1
44,25,27,1,5,-1
45,26,28,1,5,-1
46,26,32,0,5,6
47,27,29,1,5,-1
48,27,38,0,5,7
49,28,29,1,5,-1
50,28,40,0,5,8
51,29,51,0,5,10
52,30,31,1,6,-1
53,30,34,1,6,-1
54,31,32,1,6,-1
55,32,33,1,6,-1
56,33,34,1,6,-1
57,33,41,0,6,8
58,34,47,0,6,9
59,35,36,1,7,-1
60,35,37,1,7,-1
61,36,39,1,7,-1
62,37,38,1,7,-1
63,38,39,1,7,-1
64,39,52,0,7,10
65,40,41,1,8,-1
66,40,43,1,8,-1
67,41,42,1,8,-1
68,42,44,1,8,-1
69,42,48,0,8,9
70,43,44,1,8,-1
71,43,53,0,8,10
72,44,57,0,8,11
73,45,46,1,9,-1
74,45,49,1,9,-1
75,46,47,1,9,-1
76,47,48,1,9,-1
77,48,49,1,9,-1
78,49,58,0,9,11
79,50,52,1,10,-1
80,50,54,1,10,-1
81,51,52,1,10,-1
82,51,53,1,10,-1
83,53,54,1,10,-1
84,54,59,0,10,11
85,55,56,1,11,-1
86,55,58,1,11,-1
87,56,59,1,11,-1
88,57,58,1,11,-1
89,57,59,1,11,-1
