row_id,fuse_id,face_id,label_mask,order_id,a,b,c,d,left_support,right_support,support_match_flag,left_mult,right_mult,mult_match_flag
0,0,12,30,0,1,2,3,4,186176,121088,0,995328,995328,1
1,0,12,30,1,1,2,4,3,98624,90880,0,884736,884736,1
2,0,12,30,2,1,3,2,4,59904,283456,0,995328,995328,1
3,0,12,30,3,1,3,4,2,98624,90880,0,1179648,1179648,1
4,0,12,30,4,1,4,2,3,59904,283456,0,884736,884736,1
5,0,12,30,5,1,4,3,2,186176,121088,0,1179648,1179648,1
6,0,12,30,6,2,1,3,4,90880,98624,0,884736,884736,1
7,0,12,30,7,2,1,4,3,121088,186176,0,2162688,2162688,1
8,0,12,30,8,2,3,1,4,59904,283456,0,884736,884736,1
9,0,12,30,9,2,3,4,1,121088,186176,0,1179648,1179648,1
10,0,12,30,10,2,4,1,3,59904,283456,0,2162688,2162688,1
11,0,12,30,11,2,4,3,1,90880,98624,0,1179648,1179648,1
12,0,12,30,12,3,1,2,4,90880,98624,0,884736,884736,1
13,0,12,30,13,3,1,4,2,283456,59904,0,2162688,2162688,1
14,0,12,30,14,3,2,1,4,186176,121088,0,884736,884736,1
15,0,12,30,15,3,2,4,1,283456,59904,0,884736,884736,1
16,0,12,30,16,3,4,1,2,186176,121088,0,2162688,2162688,1
17,0,12,30,17,3,4,2,1,90880,98624,0,884736,884736,1
18,0,12,30,18,4,1,2,3,121088,186176,0,884736,884736,1
19,0,12,30,19,4,1,3,2,283456,59904,0,884736,884736,1
20,0,12,30,20,4,2,1,3,98624,90880,0,884736,884736,1
21,0,12,30,21,4,2,3,1,283456,59904,0,995328,995328,1
22,0,12,30,22,4,3,1,2,98624,90880,0,884736,884736,1
23,0,12,30,23,4,3,2,1,121088,186176,0,995328,995328,1
24,1,22,45,0,0,2,3,5,1286656,1001984,0,2654208,2654208,1
25,1,22,45,1,0,2,5,3,1993216,459776,0,2654208,2654208,1
26,1,22,45,2,0,3,2,5,895232,1427456,0,2654208,2654208,1
27,1,22,45,3,0,3,5,2,1993216,459776,0,3538944,3538944,1
28,1,22,45,4,0,5,2,3,895232,1427456,0,2654208,2654208,1
29,1,22,45,5,0,5,3,2,1286656,1001984,0,3538944,3538944,1
30,1,22,45,6,2,0,3,5,459776,1993216,0,4423680,4423680,1
31,1,22,45,7,2,0,5,3,1001984,1286656,0,6488064,6488064,1
32,1,22,45,8,2,3,0,5,895232,1427456,0,4423680,4423680,1
33,1,22,45,9,2,3,5,0,1001984,1286656,0,3538944,3538944,1
34,1,22,45,10,2,5,0,3,895232,1427456,0,6488064,6488064,1
35,1,22,45,11,2,5,3,0,459776,1993216,0,3538944,3538944,1
36,1,22,45,12,3,0,2,5,459776,1993216,0,3538944,3538944,1
37,1,22,45,13,3,0,5,2,1427456,895232,0,6488064,6488064,1
38,1,22,45,14,3,2,0,5,1286656,1001984,0,3538944,3538944,1
39,1,22,45,15,3,2,5,0,1427456,895232,0,2654208,2654208,1
40,1,22,45,16,3,5,0,2,1286656,1001984,0,6488064,6488064,1
41,1,22,45,17,3,5,2,0,459776,1993216,0,2654208,2654208,1
42,1,22,45,18,5,0,2,3,1001984,1286656,0,3538944,3538944,1
43,1,22,45,19,5,0,3,2,1427456,895232,0,4423680,4423680,1
44,1,22,45,20,5,2,0,3,1993216,459776,0,3538944,3538944,1
45,1,22,45,21,5,2,3,0,1427456,895232,0,2654208,2654208,1
46,1,22,45,22,5,3,0,2,1993216,459776,0,4423680,4423680,1
47,1,22,45,23,5,3,2,0,1001984,1286656,0,2654208,2654208,1
48,2,26,51,0,0,1,4,5,971928,927032,0,3145728,3145728,1
49,2,26,51,1,0,1,5,4,1379472,928344,0,4423680,4423680,1
50,2,26,51,2,0,4,1,5,648020,1423160,0,3145728,3145728,1
51,2,26,51,3,0,4,5,1,1379472,928344,0,4718592,4718592,1
52,2,26,51,4,0,5,1,4,648020,1423160,0,4423680,4423680,1
53,2,26,51,5,0,5,4,1,971928,927032,0,4718592,4718592,1
54,2,26,51,6,1,0,4,5,928344,1379472,0,3932160,3932160,1
55,2,26,51,7,1,0,5,4,927032,971928,0,3538944,3538944,1
56,2,26,51,8,1,4,0,5,648020,1423160,0,3932160,3932160,1
57,2,26,51,9,1,4,5,0,927032,971928,0,4718592,4718592,1
58,2,26,51,10,1,5,0,4,648020,1423160,0,3538944,3538944,1
59,2,26,51,11,1,5,4,0,928344,1379472,0,4718592,4718592,1
60,2,26,51,12,4,0,1,5,928344,1379472,0,3244032,3244032,1
61,2,26,51,13,4,0,5,1,1423160,648020,0,3538944,3538944,1
62,2,26,51,14,4,1,0,5,971928,927032,0,3244032,3244032,1
63,2,26,51,15,4,1,5,0,1423160,648020,0,4423680,4423680,1
64,2,26,51,16,4,5,0,1,971928,927032,0,3538944,3538944,1
65,2,26,51,17,4,5,1,0,928344,1379472,0,4423680,4423680,1
66,2,26,51,18,5,0,1,4,927032,971928,0,3244032,3244032,1
67,2,26,51,19,5,0,4,1,1423160,648020,0,3932160,3932160,1
68,2,26,51,20,5,1,0,4,1379472,928344,0,3244032,3244032,1
69,2,26,51,21,5,1,4,0,1423160,648020,0,3145728,3145728,1
70,2,26,51,22,5,4,0,1,1379472,928344,0,3932160,3932160,1
71,2,26,51,23,5,4,1,0,927032,971928,0,3145728,3145728,1
