face_id,face_type_code,source_id,label_count,active_label_count,polarity,weight
0,0,0,1,1,1,1
1,0,1,1,1,1,4
2,0,2,1,1,1,9
3,0,3,1,1,1,16
4,0,4,1,1,1,25
5,0,5,1,0,-1,-36
6,0,6,1,0,-1,-49
7,0,7,1,1,1,64
8,0,8,1,0,-1,-81
9,0,9,1,0,-1,-100
10,0,10,1,0,-1,-121
11,0,11,1,0,-1,-144
12,1,0,3,1,1,169
13,1,1,3,0,-1,-196
14,1,2,3,1,1,225
15,1,3,3,1,1,256
16,1,4,3,1,1,289
17,1,5,3,2,-1,-324
18,1,6,3,2,-1,-361
19,1,7,3,1,1,400
20,1,8,3,1,1,441
21,1,9,3,2,-1,-484
22,1,10,3,1,1,529
23,1,11,3,2,-1,-576
24,1,12,3,2,-1,-625
25,1,13,3,1,1,676
26,1,14,3,1,1,729
27,1,15,3,2,-1,-784
28,1,16,3,2,-1,-841
29,1,17,3,2,-1,-900
30,1,18,3,3,1,961
31,1,19,3,2,-1,-1024
