rank,p12_id,seed_rank,seed_p11_id,extension_p5,p5_a,p5_b,p5_c,p5_d,p5_e,p5_f,face_a,face_b,face_c,face_d,face_e,face_f,mask_a,mask_b,mask_c,mask_d,mask_e,mask_f,same_face_flag,same_mask_flag,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_p11_floor_flag,below_p8_floor_flag,below_p7_floor_flag,below_p6_floor_flag,below_p5_floor_flag,support_equal_flag,joint_mult_value
0,31,0,67415100,32,1,8,32,41,52,54,12,12,12,12,22,22,30,30,30,30,45,45,0,0,360430976,355854208,364858752,365881600,366383744,355854208,366383744,10529536,0,0,0,0,1,0,3928227840
1,153,1,98228502,14,14,25,30,47,70,90,12,12,12,12,22,22,30,30,30,30,45,45,0,0,355854208,360430976,365881600,364858752,366383744,355854208,366383744,10529536,0,0,0,0,1,0,3715891200
2,124,0,67415100,128,1,8,41,52,54,128,12,12,12,22,22,26,30,30,30,45,45,51,0,0,372542656,372944768,374521472,384159744,380397440,372542656,384159744,11617088,0,0,0,0,0,0,4041474048
3,244,1,98228502,110,25,30,47,70,90,110,12,12,12,22,22,26,30,30,30,45,45,51,0,0,372944768,372542656,384159744,374521472,380397440,372542656,384159744,11617088,0,0,0,0,0,0,3866886144
4,42,0,67415100,44,1,8,41,44,52,54,12,12,12,12,22,22,30,30,30,30,45,45,0,0,362608000,362681216,362703104,367736832,374286208,362608000,374286208,11678208,0,0,0,0,0,0,4066246656
5,151,1,98228502,12,12,25,30,47,70,90,12,12,12,12,22,22,30,30,30,30,45,45,0,0,362681216,362608000,367736832,362703104,374286208,362608000,374286208,11678208,0,0,0,0,0,0,3715891200
6,13,0,67415100,14,1,8,14,41,52,54,12,12,12,12,22,22,30,30,30,30,45,45,0,0,354294144,361991040,366208896,364531456,366383744,354294144,366383744,12089600,0,0,0,0,0,0,4041474048
7,169,1,98228502,32,25,30,32,47,70,90,12,12,12,12,22,22,30,30,30,30,45,45,0,0,361991040,354294144,364531456,366208896,366383744,354294144,366383744,12089600,0,0,0,0,0,0,3602644992
8,33,0,67415100,34,1,8,34,41,52,54,12,12,12,12,22,22,30,30,30,30,45,45,0,0,362486656,365884416,355123584,365002496,367619968,355123584,367619968,12496384,0,0,0,0,0,0,3928227840
9,141,1,98228502,2,2,25,30,47,70,90,12,12,12,12,22,22,30,30,30,30,45,45,0,0,365884416,362486656,365002496,355123584,367619968,355123584,367619968,12496384,0,0,0,0,0,0,3772514304
10,2,0,67415100,2,1,2,8,41,52,54,12,12,12,12,22,22,30,30,30,30,45,45,0,0,364324352,364046720,365329792,354796288,367619968,354796288,367619968,12823680,0,0,0,0,0,0,4098097152
11,171,1,98228502,34,25,30,34,47,70,90,12,12,12,12,22,22,30,30,30,30,45,45,0,0,364046720,364324352,354796288,365329792,367619968,354796288,367619968,12823680,0,0,0,0,0,0,3602644992
12,106,0,67415100,110,1,8,41,52,54,110,12,12,12,22,22,26,30,30,30,45,45,51,0,0,371384704,374102720,384487040,374194176,380397440,371384704,384487040,13102336,0,0,0,0,0,0,4192468992
13,262,1,98228502,128,25,30,47,70,90,128,12,12,12,22,22,26,30,30,30,45,45,51,0,0,374102720,371384704,374194176,384487040,380397440,371384704,384487040,13102336,0,0,0,0,0,0,3715891200
