rank,p14_id,p5_a,p5_b,p5_c,p5_d,p5_e,p5_f,face_a,face_b,face_c,face_d,face_e,face_f,mask_a,mask_b,mask_c,mask_d,mask_e,mask_f,same_face_flag,same_mask_flag,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_p13_floor_flag,below_p11_floor_flag,below_p8_floor_flag,below_p7_floor_flag,below_p6_floor_flag,below_p5_floor_flag,support_equal_flag,joint_mult_value
0,21230492,6,12,19,29,94,96,12,12,12,12,22,26,30,30,30,30,45,51,0,0,407816896,408980992,408487488,408772096,408123904,407816896,408980992,1164096,1,1,1,1,1,1,0,4242014208
1,100170951,11,22,37,44,48,142,12,12,12,12,22,26,30,30,30,30,45,51,0,0,408980992,407816896,408772096,408487488,408123904,407816896,408980992,1164096,1,1,1,1,1,1,0,4000186368
2,177692522,22,41,62,118,122,142,12,12,22,26,26,26,30,30,45,51,51,51,0,0,285122912,286266112,285745792,285897984,284918656,284918656,286266112,1347456,1,1,1,1,1,1,0,3645112320
3,187654918,6,25,80,96,102,116,12,12,22,26,26,26,30,30,45,51,51,51,0,0,286266112,285122912,285897984,285745792,284918656,284918656,286266112,1347456,1,1,1,1,1,1,0,3737124864
4,172268438,13,26,56,106,110,126,12,12,22,26,26,26,30,30,45,51,51,51,0,0,296906656,295488704,296266752,296479232,296215872,295488704,296906656,1417952,1,1,1,1,1,1,0,3897556992
5,185373404,20,45,78,104,114,128,12,12,22,26,26,26,30,30,45,51,51,51,0,0,295488704,296906656,296479232,296266752,296215872,295488704,296906656,1417952,1,1,1,1,1,1,0,3324248064
6,203486146,21,27,100,104,126,138,12,12,26,26,26,26,30,30,51,51,51,51,0,0,443566304,443566304,442864000,442864000,444333056,442864000,444333056,1469056,1,1,1,1,1,1,0,4454350848
7,38772586,12,14,24,62,126,133,12,12,12,22,26,26,30,30,30,45,51,51,0,0,614092928,613077312,612694528,612620672,613826688,612620672,614092928,1472256,1,1,1,1,1,1,0,4794089472
8,138914224,32,40,44,80,104,125,12,12,12,22,26,26,30,30,30,45,51,51,0,0,613077312,614092928,612620672,612694528,613826688,612620672,614092928,1472256,1,1,1,1,1,1,0,4220780544
9,5424327,4,10,12,22,24,136,12,12,12,12,12,26,30,30,30,30,30,51,0,0,207418240,206604800,207830144,206252032,206786944,206252032,207830144,1578112,1,1,1,1,1,1,0,3019898880
10,111364236,6,18,40,42,44,120,12,12,12,12,12,26,30,30,30,30,30,51,0,0,206604800,207418240,206252032,207830144,206786944,206252032,207830144,1578112,1,1,1,1,1,1,0,2848849920
11,44605926,18,20,25,48,106,110,12,12,12,22,26,26,30,30,30,45,51,51,0,0,272779104,271567360,271134976,272060928,271907520,271134976,272779104,1644128,1,1,1,1,1,1,0,3784310784
12,118084718,10,26,41,94,114,128,12,12,12,22,26,26,30,30,30,45,51,51,0,0,271567360,272779104,272060928,271134976,271907520,271134976,272779104,1644128,1,1,1,1,1,1,0,3244032000
13,8819112,2,6,14,29,44,104,12,12,12,12,12,26,30,30,30,30,30,51,0,0,215334208,216688768,214891712,215995136,216075008,214891712,216688768,1797056,1,1,1,1,1,1,0,3459907584
14,76423717,12,22,32,34,37,126,12,12,12,12,12,26,30,30,30,30,30,51,0,0,216688768,215334208,215995136,214891712,216075008,214891712,216688768,1797056,1,1,1,1,1,1,0,2739142656
15,83039347,15,16,33,38,96,142,12,12,12,12,26,26,30,30,30,30,51,51,0,0,368839552,368839552,370520640,370520640,370673536,368839552,370673536,1833984,1,0,1,1,1,1,0,4328128512
16,59422487,12,27,28,32,52,130,12,12,12,12,22,26,30,30,30,30,45,51,0,0,308356864,309705280,309392256,309641088,307779776,307779776,309705280,1925504,1,0,1,1,1,1,0,3255828480
17,94903051,14,21,36,44,90,98,12,12,12,12,22,26,30,30,30,30,45,51,0,0,309705280,308356864,309641088,309392256,307779776,307779776,309705280,1925504,1,0,1,1,1,1,0,3781951488
18,44469098,16,20,25,40,122,126,12,12,12,12,26,26,30,30,30,30,51,51,0,0,223816960,223730976,222686720,224055616,224615680,222686720,224615680,1928960,1,0,1,1,1,1,0,3195666432
19,108615815,24,26,38,41,104,116,12,12,12,12,26,26,30,30,30,30,51,51,0,0,223730976,223816960,224055616,222686720,224615680,222686720,224615680,1928960,1,0,1,1,1,1,0,3065905152
20,24997654,6,16,20,22,40,90,12,12,12,12,12,22,30,30,30,30,30,45,0,0,218113920,219838080,219796224,217901760,218249728,217901760,219838080,1936320,1,0,1,1,1,1,0,2983329792
21,37781139,6,22,24,26,38,52,12,12,12,12,12,22,30,30,30,30,30,45,0,0,219838080,218113920,217901760,219796224,218249728,217901760,219838080,1936320,1,0,1,1,1,1,0,2884239360
22,76981166,14,24,32,40,110,128,12,12,12,12,26,26,30,30,30,30,51,51,0,0,138788800,138788800,138383104,138383104,140539392,138383104,140539392,2156288,1,0,1,1,1,1,0,2667184128
23,203176879,15,33,100,110,128,138,12,12,26,26,26,26,30,30,51,51,51,51,0,0,379848928,379848928,380317312,380317312,378157056,378157056,380317312,2160256,1,0,1,1,1,1,0,4454350848
24,36536136,2,19,24,28,29,120,12,12,12,12,12,26,30,30,30,30,30,51,0,0,345137344,343052288,345243712,344889088,345209536,343052288,345243712,2191424,1,0,1,1,1,1,0,3680501760
25,94244728,11,34,36,37,40,136,12,12,12,12,12,26,30,30,30,30,30,51,0,0,343052288,345137344,344889088,345243712,345209536,343052288,345243712,2191424,1,0,1,1,1,1,0,3600285696
26,43216240,10,24,25,54,56,62,12,12,12,22,22,22,30,30,30,45,45,45,0,0,318913536,317367680,317069312,318295040,319272960,317069312,319272960,2203648,1,0,1,1,1,1,0,3963617280
27,119896777,18,40,41,70,78,80,12,12,12,22,22,22,30,30,30,45,45,45,0,0,317367680,318913536,318295040,317069312,319272960,317069312,319272960,2203648,1,0,1,1,1,1,0,3330146304
28,62119109,2,4,29,70,122,134,12,12,12,22,26,26,30,30,30,45,51,51,0,0,297838176,297549072,299756096,299261824,298713344,297549072,299756096,2207024,1,0,1,1,1,1,0,3812622336
