rank,p15_id,mirror_rank,mirror_closed_flag,self_mirror_flag,p5_a,p5_b,p5_c,p5_d,p5_e,p5_f,joint_support_spread,support_equal_flag,eta6_preserved_count,eta6_all_preserved_flag,face12_mask30_count,face22_mask45_count,face26_mask51_count,balanced_222_flag,total_f4_delta,abs_total_f4_delta,per_face_abs_delta_sum,per_face_delta_zero_flag,carrier_neutral_flag,hpol_min_margin,repl_min_margin,carrier_margin_positive_flag
0,58834,0,1,1,1,47,57,79,110,128,492736,0,6,1,2,2,2,1,0,0,0,1,1,1,146,1
1,154192,2,1,0,6,12,19,29,94,96,1164096,0,6,1,4,1,1,0,-239776,239776,329568,0,0,-1,-1,0
2,232509,1,1,0,11,22,37,44,48,142,1164096,0,6,1,4,1,1,0,239776,239776,329568,0,0,-1,-1,0
3,167071,4,1,0,6,25,80,96,102,116,1347456,0,6,1,2,1,3,0,5556,5556,563788,0,0,-1,-1,0
4,365566,3,1,0,22,41,62,118,122,142,1347456,0,6,1,2,1,3,0,-5556,5556,563788,0,0,-1,-1,0
5,263249,6,1,0,13,26,56,106,110,126,1417952,0,6,1,2,1,3,0,458724,458724,1523172,0,0,-1,-1,0
6,351007,5,1,0,20,45,78,104,114,128,1417952,0,6,1,2,1,3,0,-458724,458724,1523172,0,0,-1,-1,0
7,353342,7,1,1,21,27,100,104,126,138,1469056,0,6,1,2,0,4,0,0,0,0,1,1,1,146,1
8,241478,9,1,0,12,14,24,62,126,133,1472256,0,6,1,3,1,2,0,364996,364996,1095492,0,0,-1,-1,0
9,402905,8,1,0,32,40,44,80,104,125,1472256,0,6,1,3,1,2,0,-364996,364996,1095492,0,0,-1,-1,0
10,300230,11,1,0,15,82,116,118,132,137,1492992,0,6,1,1,1,4,0,-2418564,2418564,2418564,0,0,-1,-1,0
11,408265,10,1,0,33,50,102,121,122,124,1492992,0,6,1,1,1,4,0,2418564,2418564,2418564,0,0,-1,-1,0
12,59449,13,1,0,2,3,4,9,50,102,1493376,0,6,1,4,1,1,0,1552952,1552952,2416184,0,0,-1,-1,0
13,399352,12,1,0,31,34,35,42,82,118,1493376,0,6,1,4,1,1,0,-1552952,1552952,2416184,0,0,-1,-1,0
14,23344,15,1,0,0,18,34,66,86,143,1543136,0,6,1,3,2,1,0,194912,194912,300192,0,0,-1,-1,0
15,70492,14,1,0,2,10,46,58,64,97,1543136,0,6,1,3,2,1,0,-194912,194912,300192,0,0,-1,-1,0
