observable_id,observable_code,value,scale_code
0,0,144,0
1,1,487344,0
2,2,11143364232,0
3,3,33554432,0
4,4,81,0
5,5,114454,0
6,6,722138260,0
7,7,337311229,0
8,8,307586410,0
9,9,29724819,0
10,10,36308,0
11,11,11213312,0
12,12,10515968,0
13,13,2601984,0
14,14,2447744,0
15,15,1815040,0
16,16,1164096,0
17,17,492736,0
18,18,1164096,0
19,19,0,0
20,20,0,0
21,21,0,0
22,22,0,0
23,23,240,0
24,24,980,0
25,25,1160,0
26,26,283070,0
27,27,363080,0
28,28,0,0
29,29,0,0
30,30,0,0
31,31,24,0
32,32,98,0
33,33,116,0
34,34,28307,0
35,35,36308,0
36,36,0,0
37,37,6,0
38,38,12,0
39,39,19,0
40,40,29,0
41,41,94,0
42,42,96,0
