rank,p19_id,p5_a,p5_b,p5_c,p5_d,p5_e,p5_f,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_p15_floor_flag,below_p14_floor_flag,below_p11_floor_flag,below_p8_floor_flag,below_p7_floor_flag,below_p6_floor_flag,below_p5_floor_flag,support_equal_flag
0,13316,6,12,19,29,94,96,407816896,408980992,408487488,408772096,408123904,407816896,408980992,1164096,0,0,1,1,1,1,1,0
1,19886,11,22,37,44,48,142,408980992,407816896,408772096,408487488,408123904,407816896,408980992,1164096,0,0,1,1,1,1,1,0
2,14407,6,25,80,96,102,116,286266112,285122912,285897984,285745792,284918656,284918656,286266112,1347456,0,0,1,1,1,1,1,0
3,30924,22,41,62,118,122,142,285122912,286266112,285745792,285897984,284918656,284918656,286266112,1347456,0,0,1,1,1,1,1,0
4,22544,13,26,56,106,110,126,296906656,295488704,296266752,296479232,296215872,295488704,296906656,1417952,0,0,1,1,1,1,1,0
5,29715,20,45,78,104,114,128,295488704,296906656,296479232,296266752,296215872,295488704,296906656,1417952,0,0,1,1,1,1,1,0
6,29921,21,27,100,104,126,138,443566304,443566304,442864000,442864000,444333056,442864000,444333056,1469056,0,0,1,1,1,1,1,0
7,20638,12,14,24,62,126,133,614092928,613077312,612694528,612620672,613826688,612620672,614092928,1472256,0,0,1,1,1,1,1,0
8,33832,32,40,44,80,104,125,613077312,614092928,612620672,612694528,613826688,612620672,614092928,1472256,0,0,1,1,1,1,1,0
9,25545,15,82,116,118,132,137,882048000,881043936,880897792,881250304,880555008,880555008,882048000,1492992,0,0,1,1,1,1,1,0
10,34234,33,50,102,121,122,124,881043936,882048000,881250304,880897792,880555008,880555008,882048000,1492992,0,0,1,1,1,1,1,0
11,5149,2,3,4,9,50,102,381030496,382028960,382498688,381064192,381005312,381005312,382498688,1493376,0,0,1,1,1,1,1,0
12,33553,31,34,35,42,82,118,382028960,381030496,381064192,382498688,381005312,381005312,382498688,1493376,0,0,1,1,1,1,1,0
13,2102,0,18,34,66,86,143,681529280,681749184,682452672,682945856,683072416,681529280,683072416,1543136,0,0,1,1,1,1,1,0
14,6228,2,10,46,58,64,97,681749184,681529280,682945856,682452672,683072416,681529280,683072416,1543136,0,0,1,1,1,1,1,0
15,10172,4,10,12,22,24,136,207418240,206604800,207830144,206252032,206786944,206252032,207830144,1578112,0,0,1,1,1,1,1,0
16,13976,6,18,40,42,44,120,206604800,207418240,206252032,207830144,206786944,206252032,207830144,1578112,0,0,1,1,1,1,1,0
17,18998,10,26,41,94,114,128,271567360,272779104,272060928,271134976,271907520,271134976,272779104,1644128,0,0,1,1,1,1,1,0
18,27336,18,20,25,48,106,110,272779104,271567360,271134976,272060928,271907520,271134976,272779104,1644128,0,0,1,1,1,1,1,0
19,4119,1,14,32,47,57,79,1054627840,1054627840,1056264192,1056264192,1056295424,1054627840,1056295424,1667584,0,0,1,1,1,1,1,0
20,17982,10,12,40,66,124,128,226904768,227446784,228471936,226687104,227771712,226687104,228471936,1784832,0,0,1,1,1,1,1,0
21,27622,18,24,44,58,110,132,227446784,226904768,226687104,228471936,227771712,226687104,228471936,1784832,0,0,1,1,1,1,1,0
22,5600,2,6,14,29,44,104,215334208,216688768,214891712,215995136,216075008,214891712,216688768,1797056,0,0,1,1,1,1,1,0
23,21361,12,22,32,34,37,126,216688768,215334208,215995136,214891712,216075008,214891712,216688768,1797056,0,0,1,1,1,1,1,0
24,2296,0,21,30,74,97,120,756891328,756072640,755877120,757700032,756435648,755877120,757700032,1822912,0,0,0,1,1,1,1,0
25,16463,8,27,46,68,136,143,756072640,756891328,757700032,755877120,756435648,755877120,757700032,1822912,0,0,0,1,1,1,1,0
26,24367,15,16,33,38,96,142,368839552,368839552,370520640,370520640,370673536,368839552,370673536,1833984,0,0,0,1,1,1,1,0
27,13862,6,17,32,62,138,140,335162176,333883136,334934144,335395712,333525888,333525888,335395712,1869824,0,0,0,1,1,1,1,0
28,23628,14,22,39,80,100,108,333883136,335162176,335395712,334934144,333525888,333525888,335395712,1869824,0,0,0,1,1,1,1,0
29,6140,2,10,24,36,66,140,222050048,222293088,220554368,221181312,220420096,220420096,222293088,1872992,0,0,0,1,1,1,1,0
30,27803,18,28,34,40,58,108,222293088,222050048,221181312,220554368,220420096,220420096,222293088,1872992,0,0,0,1,1,1,1,0
31,13458,6,14,16,18,58,76,259456000,261031936,261330656,259827008,260438656,259456000,261330656,1874656,0,0,0,1,1,1,1,0
