circuit_id,v0,v1,v2,v3
0,0,1,2,3
1,0,1,2,4
2,0,1,3,4
3,0,1,5,6
4,0,1,5,10
5,0,1,5,11
6,0,1,6,10
7,0,1,6,11
8,0,1,7,14
9,0,1,8,13
10,0,1,9,12
11,0,1,10,11
12,0,1,15,47
13,0,1,16,17
14,0,1,16,31
15,0,1,16,32
16,0,1,17,31
17,0,1,17,32
18,0,1,20,24
19,0,1,20,46
20,0,1,24,46
21,0,1,25,29
22,0,1,26,28
23,0,1,31,32
24,0,1,33,40
25,0,1,35,36
26,0,1,37,39
27,0,1,42,45
28,0,1,43,44
29,0,2,3,4
30,0,2,5,7
31,0,2,5,15
32,0,2,5,16
33,0,2,6,19
34,0,2,7,15
35,0,2,7,16
36,0,2,8,17
37,0,2,9,18
38,0,2,10,41
39,0,2,11,12
40,0,2,11,40
41,0,2,11,42
42,0,2,11,43
43,0,2,11,46
44,0,2,12,40
45,0,2,12,42
46,0,2,12,43
47,0,2,12,46
48,0,2,13,44
49,0,2,14,45
50,0,2,15,16
51,0,2,20,21
52,0,2,23,24
53,0,2,26,27
54,0,2,28,29
55,0,2,30,31
56,0,2,30,35
57,0,2,30,37
58,0,2,31,35
59,0,2,31,37
60,0,2,32,38
61,0,2,33,39
62,0,2,34,36
63,0,2,35,37
64,0,2,40,42
65,0,2,40,43
66,0,2,40,46
67,0,2,42,43
68,0,2,42,46
69,0,2,43,46
70,0,3,5,8
71,0,3,5,20
72,0,3,5,23
73,0,3,5,31
74,0,3,5,34
75,0,3,5,41
76,0,3,5,43
77,0,3,6,45
78,0,3,7,42
79,0,3,8,20
80,0,3,8,23
81,0,3,8,31
82,0,3,8,34
83,0,3,8,41
84,0,3,8,43
85,0,3,9,44
86,0,3,10,47
87,0,3,11,13
88,0,3,16,19
89,0,3,17,18
90,0,3,20,23
91,0,3,20,31
92,0,3,20,34
93,0,3,20,41
94,0,3,20,43
95,0,3,21,30
96,0,3,22,32
97,0,3,23,31
98,0,3,23,34
99,0,3,23,41
100,0,3,23,43
101,0,3,24,33
102,0,3,25,26
103,0,3,27,28
104,0,3,31,34
105,0,3,31,41
106,0,3,31,43
107,0,3,34,41
108,0,3,34,43
109,0,3,35,38
110,0,3,37,40
111,0,3,41,43
112,0,4,5,9
113,0,4,5,35
114,0,4,5,39
115,0,4,5,46
116,0,4,5,47
117,0,4,9,35
118,0,4,9,39
119,0,4,9,46
120,0,4,9,47
121,0,4,11,14
122,0,4,12,13
123,0,4,15,41
124,0,4,16,18
125,0,4,16,43
126,0,4,16,45
127,0,4,17,44
128,0,4,18,43
129,0,4,18,45
130,0,4,19,42
131,0,4,20,22
132,0,4,23,40
133,0,4,25,28
134,0,4,27,29
135,0,4,30,34
136,0,4,31,33
137,0,4,35,39
138,0,4,35,46
139,0,4,35,47
140,0,4,39,46
141,0,4,39,47
142,0,4,43,45
143,0,4,46,47
144,0,5,6,10
145,0,5,6,11
146,0,5,7,15
147,0,5,7,16
148,0,5,8,20
149,0,5,8,23
150,0,5,8,31
151,0,5,8,34
152,0,5,8,41
153,0,5,8,43
154,0,5,9,35
155,0,5,9,39
156,0,5,9,46
157,0,5,9,47
158,0,5,10,11
159,0,5,12,14
160,0,5,15,16
161,0,5,17,19
162,0,5,20,23
163,0,5,20,31
164,0,5,20,34
165,0,5,20,41
166,0,5,20,43
167,0,5,21,42
168,0,5,22,44
169,0,5,23,31
170,0,5,23,34
171,0,5,23,41
172,0,5,23,43
173,0,5,24,45
174,0,5,26,40
175,0,5,31,34
176,0,5,31,41
177,0,5,31,43
178,0,5,32,33
179,0,5,34,41
180,0,5,34,43
181,0,5,35,39
182,0,5,35,46
183,0,5,35,47
184,0,5,39,46
185,0,5,39,47
186,0,5,41,43
187,0,5,46,47
188,0,6,8,16
189,0,6,9,20
190,0,6,10,11
191,0,6,22,31
192,0,6,26,33
193,0,6,26,35
194,0,6,26,43
195,0,6,28,40
196,0,6,33,35
197,0,6,33,43
198,0,6,34,42
199,0,6,35,43
200,0,6,36,46
201,0,7,8,35
202,0,7,9,11
203,0,7,15,16
204,0,7,20,29
205,0,7,21,31
206,0,7,23,32
207,0,7,30,43
208,0,7,38,46
209,0,8,20,23
210,0,8,20,31
211,0,8,20,34
212,0,8,20,41
213,0,8,20,43
214,0,8,23,31
215,0,8,23,34
216,0,8,23,41
217,0,8,23,43
218,0,8,31,34
219,0,8,31,41
220,0,8,31,43
221,0,8,34,41
222,0,8,34,43
223,0,8,37,46
224,0,8,41,43
225,0,9,22,42
226,0,9,24,31
227,0,9,32,43
228,0,9,35,39
229,0,9,35,46
230,0,9,35,47
231,0,9,39,46
232,0,9,39,47
233,0,9,46,47
234,0,10,12,35
235,0,10,13,46
236,0,10,15,33
237,0,10,16,21
238,0,10,17,23
239,0,10,20,37
240,0,10,26,31
241,0,10,28,32
242,0,11,12,40
243,0,11,12,42
244,0,11,12,43
245,0,11,12,46
246,0,11,15,36
247,0,11,16,20
248,0,11,16,35
249,0,11,17,37
250,0,11,18,38
251,0,11,19,39
