face_id,old_face_id,kind_code,source_id,face_size,cycle_v0,cycle_v1,cycle_v2,cycle_v3,cycle_v4,cycle_v5
0,0,0,0,5,0,1,4,3,2,-1
1,12,0,0,6,0,1,10,11,6,5
2,13,0,1,6,0,2,15,16,7,5
3,23,1,11,5,1,4,47,14,10,-1
4,19,0,7,6,2,3,41,42,19,15
5,28,1,16,5,3,4,47,45,41,-1
6,1,0,1,5,5,6,9,8,7,-1
7,16,0,4,6,6,9,35,36,12,11
8,26,0,14,6,7,8,20,21,17,16
9,20,0,8,6,8,9,35,37,24,20
10,2,0,2,5,10,11,12,13,14,-1
11,22,1,10,5,12,13,46,39,36,-1
12,-1,2,-1,4,13,14,47,46,-1,-1
13,3,0,3,5,15,16,17,18,19,-1
14,27,0,15,6,17,18,30,31,23,21
15,21,0,9,6,18,19,42,43,34,30
16,4,0,4,5,20,21,23,22,24,-1
17,14,0,2,6,22,23,31,32,26,25
18,15,0,3,6,22,24,37,38,27,25
19,5,0,5,5,25,26,28,29,27,-1
20,17,1,5,5,26,28,40,33,32,-1
21,24,1,12,5,27,29,46,39,38,-1
22,-1,2,-1,4,28,29,46,40,-1,-1
23,6,0,6,5,30,31,32,33,34,-1
24,18,1,6,5,33,34,43,44,40,-1
25,7,0,7,5,35,36,39,38,37,-1
26,-1,2,-1,4,40,44,45,47,-1,-1
27,31,3,19,3,40,46,47,-1,-1,-1
28,9,0,9,5,41,42,43,44,45,-1
