support_row_id,face_id,vertex_id,face_type_code,face_size,slack_x1e12,positive_flag
0,0,5,5,5,350487408080,1
1,0,6,5,5,700974816160,1
2,0,7,5,5,700974816160,1
3,0,8,5,5,1268075355061,1
4,0,9,5,5,1268075355061,1
5,0,10,5,5,350487408080,1
6,0,11,5,5,700974816160,1
7,0,12,5,5,1268075355061,1
8,0,13,5,5,1268075355061,1
9,0,14,5,5,700974816158,1
10,0,15,5,5,350487408080,1
11,0,16,5,5,700974816160,1
12,0,17,5,5,1268075355061,1
13,0,18,5,5,1268075355061,1
14,0,19,5,5,700974816158,1
15,0,20,5,5,1835175893962,1
16,0,21,5,5,1835175893962,1
17,0,22,5,5,2752763840943,1
18,0,23,5,5,2402276432863,1
19,0,24,5,5,2402276432864,1
20,0,25,5,5,3103251249022,1
21,0,26,5,5,3103251249022,1
22,0,27,5,5,3103251249022,1
23,0,28,5,5,3103251249021,1
24,0,29,5,5,3103251249022,1
25,0,30,5,5,1835175893961,1
26,0,31,5,5,2402276432864,1
27,0,32,5,5,2752763840942,1
28,0,33,5,5,2402276432862,1
29,0,34,5,5,1835175893961,1
30,0,35,5,5,1835175893962,1
31,0,36,5,5,1835175893962,1
32,0,37,5,5,2402276432864,1
33,0,38,5,5,2752763840943,1
34,0,39,5,5,2402276432863,1
35,0,40,5,5,2402276432862,1
36,0,41,5,5,350487408078,1
37,0,42,5,5,700974816159,1
38,0,43,5,5,1268075355059,1
39,0,44,5,5,1268075355059,1
40,0,45,5,5,700974816158,1
41,0,46,5,5,2402276432864,1
42,0,47,5,5,350487408078,1
43,1,2,6,6,384900179460,1
44,1,3,6,6,622781572642,1
45,1,4,6,6,384900179460,1
46,1,7,6,6,384900179460,1
47,1,8,6,6,622781572642,1
48,1,9,6,6,384900179460,1
49,1,12,6,6,384900179459,1
50,1,13,6,6,622781572642,1
51,1,14,6,6,384900179459,1
52,1,15,6,6,769800358920,1
53,1,16,6,6,769800358920,1
54,1,17,6,6,1392581931562,1
55,1,18,6,6,1777482111022,1
56,1,19,6,6,1392581931562,1
57,1,20,6,6,1245563145284,1
58,1,21,6,6,1630463324744,1
59,1,22,6,6,2253244897386,1
60,1,23,6,6,2253244897385,1
61,1,24,6,6,1630463324743,1
62,1,25,6,6,2638145076845,1
63,1,26,6,6,3023045256305,1
64,1,27,6,6,2400263683663,1
65,1,28,6,6,3023045256305,1
66,1,29,6,6,2638145076845,1
67,1,30,6,6,2400263683663,1
68,1,31,6,6,2638145076846,1
69,1,32,6,6,3023045256305,1
70,1,33,6,6,3023045256305,1
71,1,34,6,6,2638145076846,1
72,1,35,6,6,769800358919,1
73,1,36,6,6,769800358920,1
74,1,37,6,6,1392581931561,1
75,1,38,6,6,1777482111021,1
76,1,39,6,6,1392581931561,1
77,1,40,6,6,3023045256305,1
78,1,41,6,6,1245563145284,1
79,1,42,6,6,1630463324744,1
80,1,43,6,6,2253244897385,1
81,1,44,6,6,2253244897386,1
82,1,45,6,6,1630463324743,1
83,1,46,6,6,1630463324743,1
84,1,47,6,6,769800358919,1
85,2,1,6,6,384900179460,1
86,2,3,6,6,384900179460,1
87,2,4,6,6,622781572642,1
88,2,6,6,6,384900179460,1
89,2,8,6,6,384900179460,1
90,2,9,6,6,622781572642,1
91,2,10,6,6,769800358920,1
92,2,11,6,6,769800358920,1
93,2,12,6,6,1392581931562,1
94,2,13,6,6,1777482111022,1
95,2,14,6,6,1392581931562,1
96,2,17,6,6,384900179459,1
97,2,18,6,6,622781572642,1
98,2,19,6,6,384900179459,1
99,2,20,6,6,769800358919,1
100,2,21,6,6,769800358920,1
101,2,22,6,6,1777482111021,1
102,2,23,6,6,1392581931561,1
103,2,24,6,6,1392581931561,1
104,2,25,6,6,2400263683663,1
105,2,26,6,6,2638145076845,1
106,2,27,6,6,2638145076845,1
107,2,28,6,6,3023045256305,1
108,2,29,6,6,3023045256305,1
109,2,30,6,6,1245563145283,1
110,2,31,6,6,1630463324743,1
111,2,32,6,6,2253244897384,1
112,2,33,6,6,2253244897384,1
113,2,34,6,6,1630463324743,1
114,2,35,6,6,1245563145284,1
115,2,36,6,6,1630463324744,1
116,2,37,6,6,1630463324743,1
117,2,38,6,6,2253244897386,1
118,2,39,6,6,2253244897385,1
119,2,40,6,6,2638145076845,1
120,2,41,6,6,769800358919,1
121,2,42,6,6,769800358920,1
122,2,43,6,6,1392581931561,1
123,2,44,6,6,1777482111021,1
124,2,45,6,6,1392581931561,1
125,2,46,6,6,2638145076846,1
126,2,47,6,6,1245563145284,1
127,3,0,5,5,384900179459,1
128,3,2,5,5,622781572641,1
129,3,3,5,5,384900179460,1
130,3,5,5,5,769800358919,1
131,3,6,5,5,769800358919,1
