rank,p31_id,p25_a,p25_b,p25_c,p25_d,p25_e,p24_a,p24_b,p24_c,p24_d,p24_e,lift_a,lift_b,lift_c,lift_d,lift_e,face_a,face_b,face_c,face_d,face_e,mask_a,mask_b,mask_c,mask_d,mask_e,same_lift_flag,same_face_flag,same_mask_flag,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_p30_floor_flag,below_p29_floor_flag,below_p28_floor_flag,below_p27_floor_flag,below_p25_floor_flag,support_equal_flag,joint_mult_value
0,19527470,1,8,41,52,54,0,4,20,26,27,0,0,0,1,1,12,12,12,22,22,30,30,30,45,45,0,0,0,343672192,345232256,344373632,344046336,345487232,343672192,345487232,1815040,1,1,1,1,1,0,3588489216
1,299460788,25,30,47,70,90,12,15,23,35,45,0,0,0,1,1,12,12,12,22,22,30,30,30,45,45,0,0,0,345232256,343672192,344046336,344373632,345487232,343672192,345487232,1815040,1,1,1,1,1,0,3262906368
2,124786494,8,19,48,78,133,4,9,24,39,66,0,0,1,1,2,12,12,22,22,26,30,30,45,45,51,0,0,0,788732224,786362752,786273664,787944704,786781056,786273664,788732224,2458560,1,0,1,1,1,0,5332008960
3,165143302,11,30,56,94,125,5,15,28,47,62,0,0,1,1,2,12,12,22,22,26,30,30,45,45,51,0,0,0,786362752,788732224,787944704,786273664,786781056,786273664,788732224,2458560,1,0,1,1,1,0,4402446336
4,94031484,6,8,40,114,134,3,4,20,57,67,0,0,0,2,2,12,12,12,26,26,30,30,30,51,51,0,0,0,158286624,159254864,157866112,158531456,160580480,157866112,160580480,2714368,1,0,0,1,1,0,2855927808
5,274040349,22,24,30,106,112,11,12,15,53,56,0,0,0,2,2,12,12,12,26,26,30,30,30,51,51,0,0,0,159254864,158286624,158531456,157866112,160580480,157866112,160580480,2714368,1,0,0,1,1,0,2340421632
6,94980380,6,10,114,128,142,3,5,57,64,71,0,0,2,2,2,12,12,26,26,26,30,30,51,51,51,0,0,0,190782144,189847776,192637952,191692416,190701440,189847776,192637952,2790176,1,0,0,1,1,0,2831155200
7,237964928,18,22,96,106,110,9,11,48,53,55,0,0,2,2,2,12,12,26,26,26,30,30,51,51,51,0,0,0,189847776,190782144,191692416,192637952,190701440,189847776,192637952,2790176,1,0,0,1,1,0,2717908992
8,68328133,4,16,25,43,142,2,8,12,21,71,0,0,0,0,2,12,12,12,12,26,30,30,30,30,51,0,0,0,311630272,311609024,309733760,311252928,308762048,308762048,311630272,2868224,1,0,0,1,1,0,3324248064
9,88440688,5,38,41,42,96,2,19,20,21,48,0,0,0,0,2,12,12,12,12,26,30,30,30,30,51,0,0,0,311609024,311630272,311252928,309733760,308762048,308762048,311630272,2868224,1,0,0,1,1,0,3109552128
