rank,p35_id,source_count,source_min_rank,source_max_rank,p25_a,p25_b,p25_c,p25_d,p25_e,p25_f,p24_a,p24_b,p24_c,p24_d,p24_e,p24_f,lift_a,lift_b,lift_c,lift_d,lift_e,lift_f,face_a,face_b,face_c,face_d,face_e,face_f,mask_a,mask_b,mask_c,mask_d,mask_e,mask_f,same_lift_flag,same_face_flag,same_mask_flag,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_p33_floor_flag,below_p32_floor_flag,below_p31_floor_flag,below_p30_floor_flag,below_p29_floor_flag,below_p28_floor_flag,below_p27_floor_flag,below_p25_floor_flag,support_equal_flag,joint_mult_value
0,42192,1,436,436,12,21,32,36,48,126,6,10,16,18,24,63,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,301283776,300481664,304092288,305071360,304477120,300481664,305071360,4589696,1,1,0,0,0,0,1,1,0,3620339712
1,46823,1,437,437,14,27,28,44,94,104,7,13,14,22,47,52,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,300481664,301283776,305071360,304092288,304477120,300481664,305071360,4589696,1,1,0,0,0,0,1,1,0,3417440256
2,16108,1,341,341,2,45,68,78,112,128,1,22,34,39,56,64,0,0,1,1,2,2,12,12,22,22,26,26,30,30,45,45,51,51,0,0,0,315910512,314272224,315888896,311425024,316579648,311425024,316579648,5154624,1,1,0,0,0,0,1,1,0,3456368640
3,45323,1,340,340,13,34,56,74,110,134,6,17,28,37,55,67,0,0,1,1,2,2,12,12,22,22,26,26,30,30,45,45,51,51,0,0,0,314272224,315910512,311425024,315888896,316579648,311425024,316579648,5154624,1,1,0,0,0,0,1,1,0,4105175040
4,6174,1,408,408,1,9,12,35,50,112,0,4,6,17,25,56,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,437427888,436904160,438787328,438186624,442257408,436904160,442257408,5353248,1,1,0,0,0,0,1,1,0,4426039296
5,18063,1,409,409,3,31,44,47,82,134,1,15,22,23,41,67,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,436904160,437427888,438186624,438787328,442257408,436904160,442257408,5353248,1,1,0,0,0,0,1,1,0,4198367232
6,3303,1,390,390,0,12,22,32,37,140,0,6,11,16,18,70,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,235123712,235434784,239852544,240616640,240345856,235123712,240616640,5492928,1,1,0,0,0,0,1,1,0,3211001856
7,25985,1,391,391,6,14,29,44,46,108,3,7,14,22,23,54,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,235434784,235123712,240616640,239852544,240345856,235123712,240616640,5492928,1,1,0,0,0,0,1,1,0,3428057088
8,18674,1,300,300,3,42,44,56,118,122,1,21,22,28,59,61,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,297343648,295552064,296632832,301038208,301148160,295552064,301148160,5596096,1,1,0,0,0,0,1,1,0,3626237952
9,20776,1,301,301,4,12,35,78,102,116,2,6,17,39,51,58,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,295552064,297343648,301038208,296632832,301148160,295552064,301148160,5596096,1,1,0,0,0,0,1,1,0,3586129920
10,12143,1,450,450,2,14,40,64,80,125,1,7,20,32,40,62,0,0,0,1,1,2,12,12,12,22,22,26,30,30,30,45,45,51,0,0,0,626237184,627527680,631311808,631850240,629845728,626237184,631850240,5613056,1,1,0,0,0,0,1,1,0,4441374720
11,62318,1,451,451,24,32,34,62,86,133,12,16,17,31,43,66,0,0,0,1,1,2,12,12,12,22,22,26,30,30,30,45,45,51,0,0,0,627527680,626237184,631850240,631311808,629845728,626237184,631850240,5613056,1,1,0,0,0,0,1,1,0,4751622144
12,25949,1,446,446,6,14,18,36,66,136,3,7,9,18,33,68,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,238697344,238857792,244444288,242116352,242318592,238697344,244444288,5746944,1,1,0,0,0,0,1,1,0,3327787008
13,35993,1,447,447,10,22,28,32,58,120,5,11,14,16,29,60,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,238857792,238697344,242116352,244444288,242318592,238697344,244444288,5746944,1,1,0,0,0,0,1,1,0,2859466752
