rank,p36_id,source_count,source_min_rank,source_max_rank,p25_a,p25_b,p25_c,p25_d,p25_e,p25_f,p24_a,p24_b,p24_c,p24_d,p24_e,p24_f,lift_a,lift_b,lift_c,lift_d,lift_e,lift_f,face_a,face_b,face_c,face_d,face_e,face_f,mask_a,mask_b,mask_c,mask_d,mask_e,mask_f,same_lift_flag,same_face_flag,same_mask_flag,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_p35_floor_flag,below_p34_floor_flag,below_p33_floor_flag,below_p32_floor_flag,below_p31_floor_flag,below_p30_floor_flag,below_p29_floor_flag,below_p28_floor_flag,below_p27_floor_flag,below_p25_floor_flag,support_equal_flag,joint_mult_value
0,26360,2,1902,1903,1,14,32,47,57,79,0,7,16,23,28,39,0,0,0,0,1,1,12,12,12,12,22,22,30,30,30,30,45,45,0,0,0,1054627840,1054627840,1056264192,1056264192,1056295424,1054627840,1056295424,1667584,1,1,1,1,1,1,1,1,1,1,0,5612765184
1,97363,1,1840,1840,6,14,16,18,58,76,3,7,8,9,29,38,0,0,0,0,1,1,12,12,12,12,22,22,30,30,30,30,45,45,0,0,0,259456000,261031936,261330656,259827008,260438656,259456000,261330656,1874656,1,1,1,1,0,1,1,1,1,1,0,3142582272
2,138307,1,1841,1841,10,22,32,38,66,84,5,11,16,19,33,42,0,0,0,0,1,1,12,12,12,12,22,22,30,30,30,30,45,45,0,0,0,261031936,259456000,259827008,261330656,260438656,259456000,261330656,1874656,1,1,1,1,0,1,1,1,1,1,0,3096576000
3,133535,1,2024,2024,10,14,44,80,94,125,5,7,22,40,47,62,0,0,0,1,1,2,12,12,12,22,22,26,30,30,30,45,45,51,0,0,0,669760000,668996928,670647552,670249600,671411712,668996928,671411712,2414784,1,1,1,1,0,1,1,1,1,1,0,4398907392
4,159640,1,2025,2025,12,18,32,48,62,133,6,9,16,24,31,66,0,0,0,1,1,2,12,12,12,22,22,26,30,30,30,45,45,51,0,0,0,668996928,669760000,670249600,670647552,671411712,668996928,671411712,2414784,1,1,1,1,0,1,1,1,1,1,0,5105516544
5,11975,1,1472,1472,0,15,32,41,94,98,0,7,16,20,47,49,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,330968000,329479168,331428096,331711872,332020480,329479168,332020480,2541312,1,1,1,1,0,1,0,1,1,1,0,3923509248
6,183633,1,1473,1473,14,25,33,46,48,130,7,12,16,23,24,65,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,329479168,330968000,331711872,331428096,332020480,329479168,332020480,2541312,1,1,1,1,0,1,0,1,1,1,0,3960078336
7,57920,1,1680,1680,2,42,44,62,66,143,1,21,22,31,33,71,0,0,0,1,1,2,12,12,12,22,22,26,30,30,30,45,45,51,0,0,0,660733376,661123904,662264128,660749824,663447360,660733376,663447360,2713984,1,1,1,1,0,1,0,0,1,1,0,5239996416
8,76717,1,1681,1681,4,12,34,58,80,97,2,6,17,29,40,48,0,0,0,1,1,2,12,12,12,22,22,26,30,30,30,45,45,51,0,0,0,661123904,660733376,660749824,662264128,663447360,660733376,663447360,2713984,1,1,1,1,0,1,0,0,1,1,0,4388290560
9,48258,1,1817,1817,2,16,22,38,112,134,1,8,11,19,56,67,0,0,0,0,2,2,12,12,12,12,26,26,30,30,30,30,51,51,0,0,0,212570640,211471248,212508736,209783232,211712384,209783232,212570640,2787408,1,1,1,1,0,1,0,0,1,1,0,3252289536
10,99902,1,1816,1816,6,16,34,38,112,134,3,8,17,19,56,67,0,0,0,0,2,2,12,12,12,12,26,26,30,30,30,30,51,51,0,0,0,211471248,212570640,209783232,212508736,211712384,209783232,212570640,2787408,1,1,1,1,0,1,0,0,1,1,0,3139043328
