pair_id,p5_a,p5_b,f4_a,f4_b,face_a,face_b,mask_a,mask_b,same_face_flag,same_mask_flag,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_single_floor_flag,support_equal_flag,joint_mult_value,eta6_preserved_flag
0,0,1,0,0,12,12,30,30,1,1,114017408,71904256,204025344,103519232,134671360,71904256,204025344,132121088,0,0,1358954496,1
1,0,2,0,1,12,12,30,30,1,1,55616000,40841472,75259904,34351104,53612544,34351104,75259904,40908800,0,0,1019215872,1
2,0,3,0,1,12,12,30,30,1,1,96641920,79237888,124646912,64710656,144733696,64710656,144733696,80023040,0,0,1358954496,1
3,0,4,0,2,12,12,30,30,1,1,45859200,75212800,65977344,107053568,68911616,45859200,107053568,61194368,0,0,1019215872,1
4,0,5,0,2,12,12,30,30,1,1,59633024,142398464,93204480,249067008,165046272,59633024,249067008,189433984,0,0,1358954496,1
5,0,6,0,3,12,12,30,30,1,1,43697536,30022400,86988160,48804864,83528192,30022400,86988160,56965760,0,0,1019215872,1
6,0,7,0,3,12,12,30,30,1,1,63860608,47741696,184600064,109363200,277071872,47741696,277071872,229330176,0,0,1358954496,1
7,0,8,0,4,12,12,30,30,1,1,47322496,81343616,61506560,84311296,58032512,47322496,84311296,36988800,0,0,1019215872,1
8,0,9,0,4,12,12,30,30,1,1,72749440,199365888,81503232,226224640,156413440,72749440,226224640,153475200,0,0,1358954496,1
9,0,10,0,5,12,12,30,30,1,1,51368320,32770816,106761088,62800640,85396864,32770816,106761088,73990272,0,0,1019215872,1
10,0,11,0,5,12,12,30,30,1,1,87801216,57692928,227118080,179188224,232686080,57692928,232686080,174993152,0,0,1358954496,1
11,0,12,0,6,12,12,30,30,1,1,52412800,40962816,77994240,41930624,60278784,40962816,77994240,37031424,0,0,962592768,1
12,0,13,0,6,12,12,30,30,1,1,80767360,71733504,113607680,103368704,181421056,71733504,181421056,109687552,0,0,1642070016,1
13,0,14,0,7,12,12,30,30,1,1,45585792,38785792,76139008,44086272,52376320,38785792,76139008,37353216,0,0,962592768,1
14,0,15,0,7,12,12,30,30,1,1,66412928,69636864,140800000,141547520,165741568,66412928,165741568,99328640,0,0,1642070016,1
15,0,16,0,8,12,12,30,30,1,1,46465408,76450560,65180288,96531392,66813888,46465408,96531392,50065984,0,0,962592768,1
