rank,p8_id,p5_a,p5_b,p5_c,p5_d,face_a,face_b,face_c,face_d,mask_a,mask_b,mask_c,mask_d,same_face_flag,same_mask_flag,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_p7_floor_flag,below_p6_floor_flag,below_p5_floor_flag,support_equal_flag,joint_mult_value
0,10063403,28,36,58,66,12,12,22,22,30,30,45,45,0,0,191442368,191442368,193105536,193105536,190657792,190657792,193105536,2447744,1,1,1,0,2261385216
1,3573468,8,12,30,44,12,12,12,12,30,30,30,30,1,1,108060032,108060032,109932928,109932928,110703360,108060032,110703360,2643328,0,1,1,0,1780088832
2,2918091,6,33,96,130,12,12,26,26,30,30,51,51,0,0,220023424,222586880,220904064,220945152,222959104,220023424,222959104,2935680,0,1,1,0,2472542208
3,6221904,15,22,98,142,12,12,26,26,30,30,51,51,0,0,222586880,220023424,220945152,220904064,222959104,220023424,222959104,2935680,0,1,1,0,2944401408
4,15702778,65,76,84,87,22,22,22,22,45,45,45,45,1,1,766295040,766295040,766500960,766500960,769401600,766295040,769401600,3106560,0,1,1,0,3906994176
5,9060901,24,40,116,122,12,12,26,26,30,30,51,51,0,0,116585184,116585184,113637248,113637248,116834304,113637248,116834304,3197056,0,1,1,0,1874460672
6,8214124,21,40,48,98,12,12,22,26,30,30,45,51,0,0,258274048,258140608,255450752,254575104,255761920,254575104,258274048,3698944,0,1,1,0,2978611200
7,8983475,24,27,94,130,12,12,22,26,30,30,45,51,0,0,258140608,258274048,254575104,255450752,255761920,254575104,258274048,3698944,0,1,1,0,2335703040
8,1224130,2,40,106,110,12,12,26,26,30,30,51,51,0,0,105701664,101487104,104601472,105420288,105590784,101487104,105701664,4214560,0,1,1,0,2195324928
9,9027769,24,34,114,128,12,12,26,26,30,30,51,51,0,0,101487104,105701664,105420288,104601472,105590784,101487104,105701664,4214560,0,1,1,0,1736441856
10,1127162,2,24,106,110,12,12,26,26,30,30,51,51,0,0,103423136,103765632,102827136,107194624,105590784,102827136,107194624,4367488,0,1,1,0,2057306112
11,11438352,34,40,114,128,12,12,26,26,30,30,51,51,0,0,103765632,103423136,107194624,102827136,105590784,102827136,107194624,4367488,0,1,1,0,1874460672
12,2050014,4,30,64,125,12,12,22,26,30,30,45,51,0,0,593531264,598103296,594505152,597593856,594457056,593531264,598103296,4572032,0,1,1,0,3340763136
13,3777784,8,42,86,133,12,12,22,26,30,30,45,51,0,0,598103296,593531264,597593856,594505152,594457056,593531264,598103296,4572032,0,1,1,0,4040294400
14,1763190,3,62,104,134,12,22,26,26,30,45,51,51,0,0,210125984,213424688,212880384,211470592,208221056,208221056,213424688,5203632,0,1,1,0,2887778304
15,11779587,35,80,112,126,12,22,26,26,30,45,51,51,0,0,213424688,210125984,211470592,212880384,208221056,208221056,213424688,5203632,0,1,1,0,2472542208
16,5122284,12,16,28,122,12,12,12,26,30,30,30,51,0,0,125386688,127610976,128224896,127201600,122823296,122823296,128224896,5401600,0,1,1,0,1698693120
17,11825927,36,38,44,116,12,12,12,26,30,30,30,51,0,0,127610976,125386688,127201600,128224896,122823296,122823296,128224896,5401600,0,1,1,0,2037252096
18,4653741,10,68,125,132,12,22,26,26,30,45,51,51,0,0,604393472,598904064,604411008,602595840,600199360,598904064,604411008,5506944,0,1,1,0,3755999232
19,7434925,18,74,124,133,12,22,26,26,30,45,51,51,0,0,598904064,604393472,602595840,604411008,600199360,598904064,604411008,5506944,0,1,1,0,3831496704
20,7821152,20,24,40,122,12,12,12,26,30,30,30,51,0,0,102733952,98927584,100055424,97183360,97401152,97183360,102733952,5550592,0,1,1,0,1723465728
21,8972714,24,26,40,116,12,12,12,26,30,30,30,51,0,0,98927584,102733952,97183360,100055424,97401152,97183360,102733952,5550592,0,1,1,0,1761214464
22,9490297,25,98,110,118,12,26,26,26,30,51,51,51,0,0,188745952,183633888,189235968,187647104,187112448,183633888,189235968,5602080,0,1,1,0,2717908992
23,12918522,41,102,128,130,12,26,26,26,30,51,51,51,0,0,183633888,188745952,187647104,189235968,187112448,183633888,189235968,5602080,0,1,1,0,2210660352
24,936072,1,106,110,143,12,26,26,26,30,51,51,51,0,0,625205600,619818048,625278016,625422080,624796672,619818048,625422080,5604032,0,1,1,0,4473225216
25,13841314,47,97,114,128,12,26,26,26,30,51,51,51,0,0,619818048,625205600,625422080,625278016,624796672,619818048,625422080,5604032,0,1,1,0,3569614848
26,5122320,12,16,29,44,12,12,12,12,30,30,30,30,1,1,170064896,170242048,164790720,163926080,165475776,163926080,170242048,6315968,0,1,1,0,2289696768
27,5263756,12,37,38,44,12,12,12,12,30,30,30,30,1,1,170242048,170064896,163926080,164790720,165475776,163926080,170242048,6315968,0,1,1,0,2109210624
28,1080349,2,18,58,132,12,12,22,26,30,30,45,51,0,0,175177344,170848000,177186816,171595648,171732288,170848000,177186816,6338816,0,1,1,0,2481979392
29,4508551,10,34,66,124,12,12,22,26,30,30,45,51,0,0,170848000,175177344,171595648,177186816,171732288,170848000,177186816,6338816,0,1,1,0,1981808640
30,2960179,6,41,64,98,12,12,22,26,30,30,45,51,0,0,199143488,198851520,199534400,195259904,201985120,195259904,201985120,6725216,0,1,1,0,2493775872
31,8414940,22,25,86,130,12,12,22,26,30,30,45,51,0,0,198851520,199143488,195259904,199534400,201985120,195259904,201985120,6725216,0,1,1,0,2448949248
