vertex_id,original_vertex_id,x_x1e12,y_x1e12,z_x1e12
0,0,0,-333333333333,-1618033988750
1,1,-539344662917,-666666666667,-1412022659167
2,2,539344662917,-666666666667,-1412022659167
3,3,333333333333,-1206011329583,-1078689325833
4,4,-333333333333,-1206011329583,-1078689325833
5,5,0,333333333333,-1618033988750
6,6,-539344662917,666666666667,-1412022659167
7,7,539344662917,666666666667,-1412022659167
8,8,333333333333,1206011329583,-1078689325833
9,9,-333333333333,1206011329583,-1078689325833
10,10,-1078689325833,-333333333333,-1206011329583
11,11,-1078689325833,333333333333,-1206011329583
12,12,-1412022659167,539344662917,-666666666667
13,13,-1618033988750,0,-333333333333
14,14,-1412022659167,-539344662917,-666666666667
15,15,1078689325833,-333333333333,-1206011329583
16,16,1078689325833,333333333333,-1206011329583
17,17,1412022659167,539344662917,-666666666667
18,18,1618033988750,0,-333333333333
19,19,1412022659167,-539344662917,-666666666667
20,20,666666666667,1412022659167,-539344662917
21,21,1206011329583,1078689325833,-333333333333
22,22,666666666667,1412022659167,539344662917
23,23,1206011329583,1078689325833,333333333333
24,24,333333333333,1618033988750,0
25,25,333333333333,1206011329583,1078689325833
26,26,539344662917,666666666667,1412022659167
27,27,-333333333333,1206011329583,1078689325833
28,28,0,333333333333,1618033988750
29,29,-539344662917,666666666667,1412022659167
30,30,1618033988750,0,333333333333
31,31,1412022659167,539344662917,666666666667
32,32,1078689325833,333333333333,1206011329583
33,33,1078689325833,-333333333333,1206011329583
34,34,1412022659167,-539344662917,666666666667
35,35,-666666666667,1412022659167,-539344662917
36,36,-1206011329583,1078689325833,-333333333333
37,37,-333333333333,1618033988750,0
38,38,-666666666667,1412022659167,539344662917
39,39,-1206011329583,1078689325833,333333333333
40,40,0,-333333333333,1618033988750
41,41,539344662917,-666666666667,1412022659167
42,42,333333333333,-1206011329583,1078689325833
43,45,666666666667,-1412022659167,-539344662917
44,46,1206011329583,-1078689325833,-333333333333
45,47,1206011329583,-1078689325833,333333333333
46,48,666666666667,-1412022659167,539344662917
47,49,333333333333,-1618033988750,0
48,50,-1618033988750,0,333333333333
49,51,-1078689325833,333333333333,1206011329583
50,52,-1412022659167,539344662917,666666666667
51,55,-666666666667,-1412022659167,-539344662917
52,56,-1206011329583,-1078689325833,-333333333333
53,58,-333333333333,-1618033988750,0
