sample_id,circuit_size,v0,v1,v2,v3,v4,c0,c1,c2,c3,c4,height_value
0,4,0,1,2,3,-1,-530601404491011865451604215300563750,327929702453953618855173225516124375,530601404491087620114015555509830162,-327929702454426030079583736438397963,0,13261350415614187853469032269027061014
1,4,0,1,2,4,-1,530601404491011865451604215300563750,-530601404491087620114015555509830162,-327929702453953618855173225516124375,327929702454426030079583736438397963,0,94442106460733279685972697707530721166
2,4,0,1,3,4,-1,327929702453324520340463014216623750,-530601404490213374362129589357566713,-327929702453953618855173225516124375,530601404491087620114015555509830162,0,166071888637963279372370317546252748834
3,4,0,1,5,6,-1,-666666666667,333333333333,666666666667,-333333333333,0,225000000000740
4,4,0,1,5,10,-1,7387750232804460297891535428750,-7387750232795225610100530719973,-3693875116407116957399470857500,3693875116401037215608462993777,0,9371361170304350687225707028857287
5,4,0,1,5,11,-1,11081625349205497513499998422527,-7387750232795225610100530719973,-7387750232808154173007933851277,3693875116401037215608462993777,0,8832055403309799253746871431765845
6,4,0,1,6,10,-1,465428264666763403298999932011250,-698142396999946343350499900619201,-232714132333648368316166664022500,465428264667228831563666831392049,0,1337873546786005729878147463052040919
7,4,0,1,6,11,-1,465428264666763403298999932011250,-465428264666680998767166732011250,-465428264666913712899499832630451,465428264667228831563666831392049,0,1427003059470218135476707471359150545
8,4,0,1,7,14,-1,306152763904555272261378850154687500,-306152763904366589215790988369186304,-84618542793360806866470104574645625,84618542793203336458333267600554429,0,464978467440293640381378307340616430833
9,4,0,1,8,13,-1,3776201019537542992910553405160502500,-3776201019535705872210853736583348287,-1043716292131105776318657703667940463,1043716292129896290979698074122092176,0,3969247814294354167492880320764363761881
10,4,0,1,9,12,-1,2318495513926840647373591098905000,-2318495513925799918135146570860000,-1159247756964727719591907175639897,1159247756963331434797906187287603,0,2648881124657134820807066806194475191
11,4,0,1,10,11,-1,3693875116397343340492064571250,-7387750232795225610100530719973,7387750232808154173007933851277,-3693875116407116957399470857500,0,9910666937299789763006029774052287
12,4,0,1,15,55,-1,1181057178518704383441163347111501250,-1181057178518663985227451692818142037,-364966739490931658650971241820312500,364966739491183584657847132829788287,0,80815311391099320547640137043426090237712
13,4,0,1,16,17,-1,-44667086280695913875253542531177500,24691358024468623991821305930114375,44667086281010412224355939365188696,-24691358024867301309560224023283179,0,169879286667051627855812955804289288940
14,4,0,1,16,31,-1,164521455817838658392522083939843750,-104594271049095339201975599311991196,-84618542793360806866470104574645625,24691358024867301309560224023283179,0,380979175807046326065808955798580536905
15,4,0,1,16,32,-1,10324694825839247196739417314096250,-6883129883881192208833778591327949,-4617343895508896196749338571875000,1175778953565109586169534477299199,0,16976662663404340215099134669781397915
16,4,0,1,16,40,-1,12676252732949361982944223380513301,-9234687790994032012625663399966250,-4617343895501296519510578742221250,1175778953565109586169534477299199,0,67673899583304862170566497076607169030
17,4,0,1,16,43,-1,12088363256181139896124340543716250,-9234687791005575372364419285937500,-4029454418723968402777774647645449,1175778953565109586169534477299199,0,98059555080232969683328152323883727793
18,4,0,1,16,56,-1,313782813148353633325422751318750000,-313782813148615642585437593720630463,-74074074073871198255762911792187500,74074074074601903928680672069849537,0,17145406663093034052888090232134853944265
19,4,0,1,16,59,-1,493564367453798077769867127092751250,-433637182685375933846363713575000000,-134001258842306899441781416163816713,74074074074601903928680672069849537,0,19248138801258663227395663461708378665299
20,4,0,1,17,31,-1,144545727561868936405447564998437500,-104594271049355110271882651406568179,-84618542793360806866470104574645625,44667086281010412224355939365188696,0,1271382779917055609285370681238335466220
21,4,0,1,17,32,-1,27102323917852601327001816881063750,-20565181977241616416477582357162962,-12120527725710852516467013751171875,5583385785126301528044492420648587,0,164007139536919220861291493093433375395
22,4,0,1,17,40,-1,153076381952183294607895494184593152,-126927814189726558984212924290979375,-48482110902763613454861076793323125,22333543140505206112177969682594348,0,1619006271280953334201701287795572722060
23,4,0,1,17,43,-1,306152763904555272261378850154687500,-266201307392016194573676823159729375,-84618542793203336458333267600554429,44667086281010412224355939365188696,0,4307404409987197943704127533606899208412
