sample_id,slack_row_id,face_id,vertex_id,slack_x1e12,face_weight,post_slack_num,post_slack_den
0,0,0,5,350487408079,1,2694828910485391,7680
1,1,0,6,700974816159,1,5386572204539791,7680
2,2,0,7,700974816159,1,5386572204539791,7680
3,3,0,8,1268075355060,1,9741904343299471,7680
4,4,0,9,1268075355060,1,9741904343299471,7680
5,5,0,10,350487408079,1,2694828910485391,7680
6,6,0,11,700974816159,1,5386572204539791,7680
7,7,0,12,1268075355060,1,9741904343299471,7680
8,8,0,13,1268075355060,1,9741904343299471,7680
9,9,0,14,700974816159,1,5386572204539791,7680
10,10,0,15,350487408079,1,2694828910485391,7680
11,11,0,16,700974816159,1,5386572204539791,7680
12,12,0,17,1268075355060,1,9741904343299471,7680
13,13,0,18,1268075355060,1,9741904343299471,7680
14,14,0,19,700974816159,1,5386572204539791,7680
15,15,0,20,1835175893962,1,14097236482066831,7680
