match_id,orientation_code,visible_index,source_atom_id,target_atom_id,left_step_atom_id,right_step_atom_id,left_basis_id,right_basis_id,transition_id,semantic_transition_flag
0,0,1,1,5,14,21,14,21,43,0
1,0,2,2,11,22,23,22,23,65,0
2,0,3,5,15,12,15,12,15,35,0
3,0,3,5,15,12,22,12,22,37,0
4,0,3,5,15,21,22,21,22,63,0
5,0,5,15,10,1,20,1,20,5,0
6,0,5,15,10,13,18,13,18,39,0
7,0,6,13,16,16,24,16,24,49,0
8,0,7,10,7,8,14,8,14,24,0
9,0,7,10,7,13,18,13,18,39,0
10,0,9,7,18,5,14,5,14,16,0
11,0,9,7,18,18,19,18,19,53,0
12,0,10,19,17,16,24,16,24,49,0
13,0,11,18,14,14,22,14,22,44,0
14,0,12,17,8,4,13,4,13,13,0
15,0,13,14,4,1,2,1,2,3,0
16,0,13,14,4,13,17,13,17,38,0
17,0,15,4,9,13,18,13,18,39,0
18,0,15,4,9,17,18,17,18,50,0
19,0,17,9,12,13,18,13,18,39,0
20,0,18,3,0,0,2,0,2,1,0
21,0,19,12,1,5,14,5,14,16,0
22,0,19,12,1,14,22,14,22,44,0
23,0,19,12,1,18,19,18,19,53,0
24,1,0,0,2,23,22,23,22,65,0
25,1,1,1,5,14,21,14,21,43,0
26,1,1,1,5,22,12,22,12,37,0
27,1,1,1,5,22,21,22,21,63,0
28,1,2,2,11,22,23,22,23,65,0
29,1,3,5,15,12,15,12,15,35,0
30,1,3,5,15,12,22,12,22,37,0
31,1,3,5,15,19,13,19,13,40,0
32,1,3,5,15,21,22,21,22,63,0
33,1,4,11,13,11,4,11,4,12,0
34,1,5,15,10,1,20,1,20,5,0
35,1,5,15,10,13,4,13,4,13,0
36,1,5,15,10,13,18,13,18,39,0
37,1,5,15,10,22,8,22,8,26,0
38,1,6,13,16,16,24,16,24,49,0
39,1,7,10,7,8,3,8,3,10,0
40,1,7,10,7,8,5,8,5,15,0
41,1,7,10,7,8,14,8,14,24,0
42,1,7,10,7,13,18,13,18,39,0
43,1,7,10,7,20,5,20,5,17,0
44,1,7,10,7,20,14,20,14,42,0
45,1,8,16,19,24,16,24,16,49,0
46,1,9,7,18,5,14,5,14,16,0
47,1,9,7,18,14,5,14,5,16,0
48,1,9,7,18,18,19,18,19,53,0
49,1,9,7,18,20,5,20,5,17,0
50,1,9,7,18,20,14,20,14,42,0
51,1,10,19,17,16,6,16,6,19,0
52,1,10,19,17,16,24,16,24,49,0
53,1,11,18,14,5,1,5,1,4,0
54,1,11,18,14,14,22,14,22,44,0
55,1,11,18,14,19,13,19,13,40,0
56,1,12,17,8,4,13,4,13,13,0
57,1,13,14,4,1,0,1,0,0,0
58,1,13,14,4,1,2,1,2,3,0
59,1,13,14,4,13,17,13,17,38,0
60,1,13,14,4,19,13,19,13,40,0
61,1,13,14,4,22,8,22,8,26,0
62,1,14,8,6,10,7,10,7,21,0
63,1,14,8,6,13,4,13,4,13,0
64,1,15,4,9,10,7,10,7,21,0
65,1,15,4,9,13,4,13,4,13,0
66,1,15,4,9,13,18,13,18,39,0
67,1,15,4,9,17,13,17,13,38,0
68,1,15,4,9,17,18,17,18,50,0
69,1,16,6,3,6,3,6,3,9,0
70,1,17,9,12,13,18,13,18,39,0
71,1,17,9,12,20,5,20,5,17,0
72,1,17,9,12,20,14,20,14,42,0
73,1,18,3,0,0,2,0,2,1,0
74,1,18,3,0,2,0,2,0,1,0
75,1,18,3,0,3,0,3,0,2,0
76,1,18,3,0,3,2,3,2,7,0
77,1,19,12,1,5,14,5,14,16,0
78,1,19,12,1,14,5,14,5,16,0
79,1,19,12,1,14,22,14,22,44,0
80,1,19,12,1,18,19,18,19,53,0
81,1,19,12,1,20,5,20,5,17,0
82,1,19,12,1,20,14,20,14,42,0
