addr,section_count,coeff_sum,coeff_square_sum,active_stalk_flag
0,1744,4222,16804,1
1,2751,7587,40071,1
2,4455,11725,56639,1
3,6106,15835,73077,1
4,7078,19132,96194,1
5,8724,23222,112530,1
6,9097,25994,167930,1
7,13953,34658,190138,1
8,18594,42744,208532,1
9,21430,47747,220025,1
10,25963,55754,239614,1
11,30284,63431,258209,1
12,34531,70890,275062,1
13,37084,75515,286253,1
14,39698,80194,297508,1
15,43832,87511,314793,1
16,46194,91900,325158,1
17,49184,99107,348687,1
18,50285,101899,358965,1
19,51564,105013,371915,1
20,54601,111943,392391,1
21,55676,114673,403585,1
22,56939,117700,416222,1
23,58174,120723,428775,1
24,59409,123724,441294,1
25,60673,126743,453977,1
26,61932,129767,466605,1
27,62111,131809,514869,1
28,64723,136302,520684,1
29,68499,143126,538316,1
30,70852,147260,546688,1
31,73303,151508,556072,1
32,74263,154136,569432,1
33,76229,158732,585612,1
34,77985,162904,600932,1
35,80614,169800,632096,1
36,83086,176192,659644,1
37,85522,182488,686776,1
38,87922,188688,713492,1
39,89407,192068,724092,1
40,91007,195856,738036,1
41,92620,199596,751160,1
42,94178,203288,764400,1
43,95720,206932,777480,1
44,97246,210528,790400,1
45,99044,214716,809474,1
46,102068,222136,859062,1
47,103860,225652,871178,1
48,106828,232928,920206,1
49,109852,239544,970666,1
50,112954,246064,1016198,1
51,114756,249268,1022106,1
52,116514,253024,1037846,1
53,120877,259032,1049494,1
54,124206,264320,1062032,1
55,127584,269512,1074072,1
56,131375,274608,1084014,1
57,134346,279608,1096092,1
58,138216,284512,1104240,1
59,141853,289320,1112470,1
60,145283,294032,1122094,1
61,148653,298648,1131550,1
62,151963,303168,1140838,1
63,154738,307592,1151892,1
64,157564,311920,1162444,1
65,160138,316152,1172900,1
66,163700,320288,1177880,1
67,166754,324328,1185424,1
68,169936,328272,1191608,1
69,172814,332120,1198928,1
70,175648,335872,1206712,1
71,178485,339528,1213086,1
72,181099,343088,1220886,1
73,183574,346552,1228256,1
74,186018,349920,1233620,1
75,188390,353192,1238840,1
76,190690,356368,1243916,1
77,191160,356520,1239580,1
78,193584,359516,1244324,1
79,194270,359524,1240172,1
80,196723,362376,1243642,1
81,196888,362240,1240886,1
82,198963,364948,1245214,1
83,199104,364668,1241820,1
84,199782,365324,1242056,1
85,201945,367828,1245440,1
86,202960,369228,1247168,1
87,204130,370532,1247584,1
88,202954,368640,1244244,1
89,205456,371552,1244468,1
90,205144,370772,1240684,1
91,206843,372836,1243408,1
92,207806,373724,1242976,1
93,208821,374516,1241538,1
94,208436,373424,1236392,1
95,209898,375176,1239068,1
96,210779,375704,1236916,1
97,210198,374384,1231872,1
98,210524,374168,1229396,1
99,211911,375632,1231186,1
100,211124,374108,1226120,1
101,212137,375428,1228626,1
102,211342,373760,1222720,1
103,211316,373256,1220712,1
104,211406,372704,1217868,1
105,211304,372104,1215764,1
106,210426,370360,1212864,1
107,212963,372664,1209554,1
108,213268,372752,1207328,1
109,213407,372744,1205126,1
110,213266,372640,1203688,1
111,213407,372440,1200810,1
112,213293,372144,1198302,1
113,212882,371752,1196540,1
114,212548,371264,1194188,1
115,212422,370680,1190608,1
116,211948,370000,1187984,1
117,211397,369224,1184858,1
118,210848,368352,1181408,1
119,210027,367384,1178646,1
120,209209,366320,1175258,1
121,208146,365160,1172808,1
122,207568,363904,1167568,1
123,206497,362552,1163754,1
124,205359,361104,1159854,1
125,204137,359560,1155834,1
126,202882,357920,1151544,1
127,201453,356184,1147294,1
128,200026,354352,1142720,1
129,198200,352424,1139528,1
130,196650,350400,1135000,1
131,195167,348280,1129610,1
132,193333,346064,1124782,1
133,191415,343752,1119834,1
134,189413,341344,1114766,1
135,187378,338840,1109392,1
136,185089,336240,1104686,1
137,182716,333544,1099936,1
138,180494,330752,1094760,1
139,178578,329576,1096112,1
140,180318,333832,1109852,1
141,182022,337992,1123176,1
142,183690,342056,1136084,1
143,184739,344812,1145416,1
144,185837,347556,1154504,1
145,186934,350252,1163292,1
146,187992,352900,1172100,1
147,189005,355500,1180960,1
148,190011,358052,1189552,1
149,191014,360556,1197852,1
150,191976,363012,1206180,1
151,193551,370240,1267000,1
152,193961,372368,1292840,1
153,194993,375374,1307180,1
154,196718,382080,1346936,1
155,197254,383996,1362012,1
156,198281,386716,1372294,1
157,198871,388776,1389944,1
158,199868,391402,1399664,1
159,200737,394072,1418552,1
160,200993,395825,1453651,1
161,201926,398429,1464685,1
162,202162,400132,1499574,1
163,202258,401666,1578192,1
164,202934,403681,1579767,1
165,203546,405663,1593449,1
166,203604,407169,1675613,1
167,205043,411768,1688476,1
168,206755,418776,1755832,1
169,207892,421792,1758592,1
170,209524,428512,1831524,1
171,212944,433488,1821486,1
172,215872,438272,1827430,1
173,218684,442864,1832982,1
174,221380,447264,1838142,1
175,223960,451472,1842910,1
176,226424,455488,1847286,1
177,228772,459312,1851270,1
178,231357,462944,1852876,1
179,233811,466384,1852240,1
180,235784,469632,1853222,1
181,237947,472688,1853848,1
182,239929,475552,1852380,1
183,241069,477264,1846308,1
184,242256,478784,1841360,1
185,243338,480112,1835568,1
186,243995,481248,1831552,1
187,244999,482192,1819972,1
188,244485,480576,1805856,1
189,246093,482768,1806716,1
190,246700,483200,1799160,1
191,247209,483440,1790276,1
192,247648,483488,1779936,1
193,247681,483344,1772360,1
194,246945,480832,1751616,1
195,248667,482608,1749742,1
196,248845,482432,1741774,1
197,249013,482064,1732944,1
198,248843,481504,1722746,1
199,247741,479000,1708142,1
200,247607,477816,1700812,1
201,248219,478240,1698964,1
202,246849,475328,1683632,1
203,247365,475464,1680852,1
204,245739,472264,1663336,1
205,246167,472112,1659064,1
206,245093,470208,1646386,1
207,243959,468112,1634946,1
208,242681,465824,1623210,1
209,241329,463344,1610784,1
210,239639,460672,1596990,1
211,237351,456344,1578952,1
212,236279,453624,1568632,1
213,235143,450808,1558152,1
214,233929,447896,1547544,1
215,233359,446636,1542402,1
216,235390,450244,1551370,1
217,236607,452664,1557686,1
218,237834,455048,1563830,1
219,239783,458452,1572038,1
220,240918,460668,1577594,1
221,242943,463928,1583826,1
222,244983,467032,1587254,1
223,246052,470400,1601004,1
224,247203,473936,1615076,1
225,247992,476200,1623492,1
226,248776,478392,1631200,1
227,248798,479726,1715266,1
228,249220,481635,1724499,1
229,249522,483283,1759397,1
230,249914,485135,1773583,1
231,250188,486739,1808393,1
232,250331,488243,1872847,1
233,252026,496632,1913800,1
234,252082,497590,1967694,1
235,252671,500437,1961953,1
236,253645,503055,1965867,1
237,254292,504867,1972055,1
238,254941,506739,1978773,1
239,255471,509461,1994009,1
240,255535,510641,2068389,1
241,257360,514800,2049724,1
242,258229,516536,2051162,1
243,259782,520104,2059144,1
