pair,source_axis,target_axis,basis_id,source_addr,target_addr,fiber_count,fiber_weight,closure_area,next_source_gap
0,0,1,0,732,0,6,6,722005,139
0,0,1,1,752,139,12,24,637038,76
0,0,1,2,772,215,14,16,595210,76
0,0,1,3,836,291,8,8,580878,240
0,0,1,4,880,531,3,3,399974,170
0,0,1,5,984,701,2,2,279740,284
1,0,2,0,138,0,6,24,136915,139
1,0,2,1,214,139,9,24,181890,76
1,0,2,2,290,215,16,32,224070,76
1,0,2,3,530,291,8,8,368514,240
1,0,2,4,700,531,3,6,318254,170
1,0,2,5,984,701,2,2,279740,284
2,1,2,0,732,0,6,24,722005,33
2,1,2,1,752,33,6,24,716856,12
2,1,2,2,772,45,14,32,726620,8
2,1,2,3,836,53,8,8,780084,24
2,1,2,4,880,77,3,6,799948,30
2,1,2,5,984,107,2,2,864830,878
